FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0.96,0.973,0.966,0.977,0.966,0.971
2,100,50000,40,0.999,1.0,0.999,1.0,0.999,0.999
1,50,200,20,0.857,0.643,0.735,0.929,0.977,0.952
1,20,10000,10,0.927,0.599,0.728,0.958,0.995,0.976
1,20,5000,20,0.957,0.638,0.765,0.916,0.993,0.953
1,1000,50000,40,0.947,0.93,0.938,0.954,0.965,0.96
1,500,500,40,0.837,0.903,0.869,0.936,0.891,0.913
2,20,10000,40,0.998,1.0,0.999,1.0,0.998,0.999
2,1000,10000,30,0.999,0.996,0.998,0.998,0.999,0.999
2,1000,50000,40,0.999,1.0,1.0,1.0,1.0,1.0
2,100,5000,30,0.992,0.983,0.988,0.993,0.997,0.995
2,50,500,50,0.964,0.986,0.975,0.983,0.956,0.97
2,500,5000,50,0.995,0.992,0.994,0.992,0.995,0.994
2,500,200,30,1.0,1.0,1.0,1.0,1.0,1.0
2,20,5000,40,0.999,1.0,1.0,1.0,1.0,1.0
1,100,10000,10,0.9,0.796,0.844,0.978,0.99,0.984
1,500,200,50,0.663,0.908,0.767,0.877,0.588,0.704
2,50,200,5,0.6,0.273,0.375,0.949,0.987,0.967
1,500,200,20,1.0,0.679,0.809,0.937,1.0,0.967
2,500,50000,40,0.999,0.999,0.999,0.999,0.999,0.999
1,500,1000,5,0.604,0.659,0.63,0.98,0.975,0.977
1,20,500,30,0.901,0.658,0.76,0.881,0.972,0.925
2,1000,50000,30,0.999,0.999,0.999,1.0,0.999,1.0
1,100,50000,40,0.949,0.919,0.934,0.946,0.966,0.956
2,100,10000,50,0.998,1.0,0.999,1.0,0.998,0.999
2,500,50000,5,0.993,0.994,0.993,1.0,1.0,1.0
1,1000,500,5,1.0,0.25,0.4,0.97,1.0,0.985
1,1000,10000,5,0.879,0.746,0.807,0.987,0.995,0.991
2,100,5000,50,0.997,0.995,0.996,0.996,0.997,0.996
1,1000,500,20,0.731,0.74,0.735,0.938,0.935,0.937
2,20,50000,5,1.0,1.0,1.0,1.0,1.0,1.0
1,100,5000,40,0.914,0.927,0.92,0.953,0.944,0.949
2,500,1000,5,1.0,0.926,0.962,0.997,1.0,0.999
2,20,10000,20,1.0,1.0,1.0,1.0,1.0,1.0
2,1000,5000,30,0.994,0.978,0.986,0.99,0.997,0.994
1,100,50000,20,0.943,0.865,0.902,0.967,0.987,0.977
1,100,50000,10,0.924,0.844,0.882,0.983,0.992,0.988
1,50,10000,50,0.947,0.935,0.941,0.934,0.946,0.94
1,20,1000,50,0.829,0.865,0.847,0.86,0.823,0.841
1,500,10000,5,0.869,0.777,0.821,0.988,0.994,0.991
1,1000,5000,40,0.934,0.913,0.923,0.944,0.957,0.95
1,20,10000,5,1.0,0.54,0.701,0.975,1.0,0.987
1,100,500,5,1.0,0.611,0.759,0.982,1.0,0.991
2,50,1000,20,0.981,0.952,0.966,0.988,0.995,0.991
2,20,1000,30,1.0,1.0,1.0,1.0,1.0,1.0
2,20,10000,30,1.0,1.0,1.0,1.0,1.0,1.0
2,500,500,5,0.9,0.818,0.857,0.995,0.997,0.996
2,20,50000,20,1.0,1.0,1.0,1.0,1.0,1.0
1,1000,1000,50,0.845,0.974,0.905,0.972,0.838,0.9
1,1000,200,40,0.789,0.949,0.862,0.967,0.853,0.906
1,500,500,10,0.622,0.667,0.644,0.961,0.953,0.957
1,500,5000,5,0.859,0.75,0.801,0.986,0.993,0.99
1,20,200,5,1.0,0.333,0.5,0.962,1.0,0.981
1,50,1000,30,0.893,0.853,0.873,0.937,0.955,0.946
1,50,50000,50,0.955,0.939,0.947,0.939,0.955,0.947
2,50,500,5,0.65,0.565,0.605,0.974,0.981,0.978
1,1000,5000,30,0.932,0.902,0.917,0.958,0.971,0.965
1,100,200,40,0.776,0.613,0.685,0.786,0.889,0.834
2,20,10000,50,0.999,1.0,0.999,1.0,0.999,0.999
2,100,200,50,0.923,0.96,0.941,0.964,0.93,0.947
2,100,50000,30,0.999,1.0,1.0,1.0,1.0,1.0
1,50,1000,50,0.849,0.973,0.907,0.967,0.823,0.889
1,500,200,10,0.52,0.812,0.634,0.978,0.917,0.947
2,50,1000,40,0.955,0.978,0.966,0.985,0.969,0.977
2,50,1000,5,0.962,0.641,0.769,0.982,0.999,0.99
2,20,500,40,0.979,0.993,0.986,0.996,0.988,0.992
1,20,5000,50,0.796,0.876,0.834,0.868,0.784,0.824
2,20,500,30,0.974,1.0,0.987,1.0,0.99,0.995
1,20,10000,30,0.948,0.662,0.779,0.871,0.984,0.924
1,20,50000,30,0.928,0.697,0.796,0.882,0.977,0.927
2,20,200,30,1.0,0.85,0.919,0.953,1.0,0.976
1,1000,10000,50,0.948,0.935,0.942,0.935,0.948,0.942
2,100,50000,50,1.0,1.0,1.0,1.0,1.0,1.0
1,1000,50000,20,0.935,0.875,0.904,0.97,0.985,0.977
1,100,200,30,0.814,0.778,0.795,0.915,0.931,0.923
2,50,50000,50,0.999,1.0,1.0,1.0,0.999,1.0
1,100,5000,10,0.866,0.783,0.823,0.976,0.987,0.982
1,1000,500,40,0.893,0.801,0.844,0.869,0.932,0.899
1,1000,200,50,0.909,0.805,0.854,0.798,0.905,0.848
2,500,10000,20,0.983,0.989,0.986,0.997,0.996,0.996
1,100,5000,30,0.906,0.906,0.906,0.96,0.96,0.96
2,1000,200,10,1.0,0.462,0.632,0.955,1.0,0.977
2,1000,1000,40,0.963,0.981,0.972,0.987,0.975,0.981
2,100,1000,30,0.959,0.973,0.966,0.987,0.98,0.983
1,500,5000,50,0.942,0.931,0.937,0.933,0.943,0.938
2,1000,50000,10,0.999,0.994,0.996,0.999,1.0,1.0
2,50,200,40,0.971,0.985,0.978,0.989,0.979,0.984
2,100,1000,10,0.857,0.909,0.882,0.992,0.986,0.989
2,50,1000,30,0.983,0.959,0.971,0.982,0.993,0.988
1,1000,10000,10,0.915,0.802,0.855,0.977,0.991,0.984
2,1000,200,5,0.0,0.0,0.0,0.963,1.0,0.981
1,500,500,30,0.866,0.718,0.785,0.891,0.954,0.922
2,20,500,10,1.0,0.538,0.7,0.953,1.0,0.976
1,20,500,5,1.0,0.211,0.348,0.962,1.0,0.981
2,50,1000,10,0.967,0.795,0.872,0.98,0.997,0.988
1,1000,5000,50,0.918,0.937,0.927,0.937,0.919,0.928
2,50,200,10,1.0,0.429,0.6,0.948,1.0,0.974
1,100,50000,5,0.926,0.797,0.857,0.99,0.997,0.993
1,20,200,20,0.394,0.31,0.347,0.773,0.832,0.802
1,500,1000,40,0.909,0.918,0.913,0.946,0.94,0.943
1,500,5000,30,0.937,0.853,0.893,0.94,0.976,0.958
2,500,500,40,0.967,0.949,0.958,0.968,0.98,0.974
1,50,5000,5,0.867,0.766,0.813,0.986,0.993,0.99
1,50,200,5,0.0,0.0,0.0,0.975,1.0,0.987
2,1000,200,30,0.829,0.829,0.829,0.952,0.952,0.952
2,100,1000,5,1.0,0.744,0.853,0.987,1.0,0.993
1,20,1000,40,0.792,0.776,0.784,0.838,0.851,0.844
2,1000,5000,10,0.992,0.96,0.976,0.996,0.999,0.997
1,1000,1000,10,0.906,0.632,0.744,0.963,0.993,0.978
2,500,200,5,1.0,0.286,0.444,0.969,1.0,0.984
2,1000,500,40,0.987,0.95,0.968,0.967,0.992,0.979
2,100,50000,10,0.998,1.0,0.999,1.0,1.0,1.0
2,20,200,40,0.969,0.969,0.969,0.979,0.979,0.979
2,100,200,20,0.962,0.862,0.909,0.97,0.992,0.981
1,20,10000,20,0.89,0.671,0.765,0.923,0.979,0.95
1,20,50000,40,0.928,0.724,0.813,0.838,0.962,0.896
2,500,5000,10,0.995,0.977,0.986,0.998,0.999,0.998
2,100,200,30,0.839,0.979,0.904,0.99,0.92,0.954
2,50,50000,10,0.999,1.0,0.999,1.0,1.0,1.0
2,20,10000,10,0.998,1.0,0.999,1.0,1.0,1.0
1,1000,50000,5,0.926,0.77,0.84,0.988,0.997,0.992
2,500,10000,40,0.998,0.996,0.997,0.997,0.999,0.998
1,1000,5000,10,0.89,0.767,0.824,0.974,0.989,0.981
1,20,50000,50,0.888,0.806,0.845,0.822,0.898,0.858
1,500,10000,50,0.919,0.949,0.934,0.949,0.918,0.933
1,20,1000,5,1.0,0.611,0.759,0.982,1.0,0.991
1,50,50000,5,0.94,0.793,0.86,0.989,0.997,0.993
2,500,1000,20,1.0,0.942,0.97,0.984,1.0,0.992
1,1000,200,20,0.646,0.861,0.738,0.956,0.864,0.908
2,50,10000,30,0.994,0.998,0.996,0.999,0.997,0.998
1,50,200,10,0.429,0.6,0.5,0.957,0.918,0.937
1,1000,1000,40,0.887,0.911,0.899,0.938,0.92,0.929
