FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0.95,0.95,0.95,0.95,0.95,0.95
2,100,50000,40,0.999,1,1,1,1,1
1,50,200,20,1,1,1,1,1,1
1,20,10000,10,1,1,1,1,1,1
1,20,5000,20,1,1,1,1,1,1
1,1000,50000,40,1,1,1,1,1,1
1,500,500,40,1,1,1,1,1,1
2,20,10000,40,0.998,1,0.999,1,0.998,0.999
2,1000,10000,30,0.998,0.998,0.998,0.999,0.999,0.999
2,1000,50000,40,0.999,0.999,0.999,1,1,1
2,100,5000,30,1,1,1,1,1,1
2,50,500,50,1,1,1,1,1,1
2,500,5000,50,0.992,1,0.996,1,0.992,0.996
2,500,200,30,1,0.846,0.917,0.931,1,0.964
2,20,5000,40,0.997,0.992,0.995,0.995,0.998,0.997
1,100,10000,10,1,1,1,1,1,1
1,500,200,50,1,1,1,1,1,1
2,50,200,5,1,0.5,0.667,0.974,1,0.987
1,500,200,20,0.833,1,0.909,1,0.971,0.986
2,500,50000,40,1,0.999,1,1,1,1
1,500,1000,5,1,1,1,1,1,1
1,20,500,30,1,1,1,1,1,1
2,1000,50000,30,0.999,0.999,0.999,0.999,1,1
1,100,50000,40,1,1,1,1,1,1
2,100,10000,50,0.997,0.999,0.998,0.999,0.997,0.998
2,500,50000,5,0.975,1,0.987,1,0.999,0.999
1,1000,500,5,1,1,1,1,1,1
1,1000,10000,5,1,1,1,1,1,1
2,100,5000,50,1,0.998,0.999,0.998,1,0.999
1,1000,500,20,0.957,1,0.978,1,0.987,0.994
2,20,50000,5,0.996,0.998,0.997,1,1,1
1,100,5000,40,0.995,1,0.997,1,0.997,0.998
2,500,1000,5,0.667,1,0.8,1,0.967,0.983
2,20,10000,20,0.994,0.997,0.996,0.999,0.999,0.999
2,1000,5000,30,1,1,1,1,1,1
1,100,50000,20,1,1,1,1,1,1
1,100,50000,10,1,1,1,1,1,1
1,50,10000,50,1,1,1,1,1,1
1,20,1000,50,1,1,1,1,1,1
1,500,10000,5,1,1,1,1,1,1
1,1000,5000,40,1,1,1,1,1,1
1,20,10000,5,0.988,1,0.994,1,0.999,1
1,100,500,5,0.833,1,0.909,1,0.989,0.995
2,50,1000,20,0.952,1,0.976,1,0.986,0.993
2,20,1000,30,0.966,1,0.983,1,0.984,0.992
2,20,10000,30,0.995,0.998,0.996,0.999,0.998,0.998
2,500,500,5,1,0.5,0.667,0.99,1,0.995
2,20,50000,20,0.998,1,0.999,1,0.999,1
1,1000,1000,50,1,1,1,1,1,1
1,1000,200,40,1,1,1,1,1,1
1,500,500,10,1,1,1,1,1,1
