FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,100,1000,30,0.974,0.954,0.964,0.981,0.989,0.985
1,500,5000,50,0.993,1.0,0.997,1.0,0.994,0.997
2,1000,50000,10,0.999,0.986,0.993,0.998,1.0,0.999
2,50,200,40,0.846,0.772,0.807,0.881,0.923,0.901
2,100,1000,10,0.983,0.797,0.881,0.98,0.999,0.989
2,50,1000,30,0.991,0.956,0.973,0.983,0.997,0.99
1,1000,10000,10,0.994,1.0,0.997,1.0,0.999,1.0
2,1000,200,5,1.0,0.091,0.167,0.938,1.0,0.968
1,500,500,30,0.871,0.984,0.924,0.992,0.935,0.963
2,20,500,10,0.862,0.658,0.746,0.965,0.989,0.977
1,20,500,5,1.0,0.15,0.261,0.957,1.0,0.978
2,50,1000,10,0.964,0.675,0.794,0.965,0.997,0.981
1,1000,5000,50,0.997,1.0,0.998,1.0,0.996,0.998
2,50,200,10,0.857,0.6,0.706,0.946,0.986,0.965
1,100,50000,5,0.999,1.0,1.0,1.0,1.0,1.0
1,20,200,20,1.0,0.762,0.865,0.966,1.0,0.982
1,500,1000,40,0.966,1.0,0.983,1.0,0.981,0.99
1,500,5000,30,0.987,1.0,0.993,1.0,0.994,0.997
2,500,500,40,0.987,0.981,0.984,0.988,0.992,0.99
1,50,5000,5,1.0,0.792,0.884,0.988,1.0,0.994
1,50,200,5,1.0,0.333,0.5,0.975,1.0,0.987
2,1000,200,30,0.939,0.92,0.929,0.964,0.973,0.969
2,100,1000,5,0.457,0.457,0.457,0.975,0.975,0.975
1,20,1000,40,0.947,0.981,0.963,0.988,0.966,0.976
2,1000,5000,10,0.989,0.971,0.98,0.997,0.999,0.998
1,1000,1000,10,0.958,0.885,0.92,0.988,0.996,0.992
2,500,200,5,0.25,0.167,0.2,0.968,0.981,0.974
2,1000,500,40,0.957,0.95,0.954,0.973,0.977,0.975
2,100,50000,10,0.999,0.99,0.994,0.999,1.0,0.999
2,20,200,40,0.873,0.8,0.835,0.887,0.931,0.908
2,100,200,20,0.864,0.594,0.704,0.906,0.977,0.94
1,20,10000,20,0.995,1.0,0.998,1.0,0.999,0.999
1,20,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
2,500,5000,10,0.992,0.995,0.994,0.999,0.999,0.999
2,100,200,30,0.931,0.885,0.908,0.932,0.96,0.946
2,50,50000,10,0.998,0.994,0.996,0.999,1.0,1.0
2,20,10000,10,0.986,0.974,0.98,0.997,0.998,0.998
1,1000,50000,5,0.998,0.984,0.991,0.999,1.0,1.0
2,500,10000,40,0.998,0.997,0.998,0.998,0.999,0.998
1,1000,5000,10,0.96,0.938,0.949,0.993,0.996,0.995
1,20,50000,50,1.0,1.0,1.0,1.0,1.0,1.0
1,500,10000,50,0.999,1.0,0.999,1.0,0.999,1.0
1,20,1000,5,0.9,0.562,0.692,0.982,0.997,0.99
1,50,50000,5,0.997,1.0,0.999,1.0,1.0,1.0
2,500,1000,20,0.974,0.962,0.968,0.991,0.994,0.992
1,1000,200,20,0.889,0.96,0.923,0.993,0.978,0.985
2,50,10000,30,0.998,0.994,0.996,0.998,0.999,0.998
1,50,200,10,1.0,0.048,0.091,0.875,1.0,0.933
1,1000,1000,40,0.984,1.0,0.992,1.0,0.99,0.995
1,50,50000,30,0.999,1.0,1.0,1.0,1.0,1.0
1,500,5000,10,0.985,1.0,0.992,1.0,0.998,0.999
2,500,200,20,0.6,0.692,0.643,0.939,0.911,0.925
2,100,500,30,0.981,0.922,0.951,0.969,0.993,0.981
1,1000,200,5,0.6,0.375,0.462,0.968,0.987,0.977
2,1000,1000,10,0.962,0.916,0.938,0.99,0.996,0.993
1,50,500,10,0.923,0.649,0.762,0.965,0.995,0.98
2,100,500,40,0.937,0.974,0.955,0.984,0.96,0.972
1,100,50000,50,1.0,1.0,1.0,1.0,1.0,1.0
