FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0,0,0,0.575,1,0.73
2,100,50000,40,0.636,0.616,0.626,0.754,0.77,0.762
1,50,200,20,0.5,0.333,0.4,0.889,0.941,0.914
1,20,10000,10,1,1,1,1,1,1
1,20,5000,20,1,1,1,1,1,1
1,1000,50000,40,0,0,0,0.598,1,0.748
1,500,500,40,0.921,0.875,0.897,0.919,0.95,0.934
2,20,10000,40,1,1,1,1,1,1
2,1000,10000,30,0,0,0,0.713,1,0.832
2,1000,50000,40,0,0,0,0.604,1,0.753
2,100,5000,30,0.417,0.793,0.546,0.813,0.448,0.577
2,50,500,50,1,0.979,0.989,0.977,1,0.988
2,500,5000,50,0,0,0,0.491,1,0.659
2,500,200,30,0,0,0,0.825,1,0.904
2,20,5000,40,1,1,1,1,1,1
1,100,10000,10,0.835,0.995,0.908,0.999,0.976,0.987
1,500,200,50,0.593,0.941,0.727,0.923,0.522,0.667
2,50,200,5,1,0.8,0.889,0.972,1,0.986
1,500,200,20,0,0,0,0.875,1,0.933
2,500,50000,40,0,0,0,0.603,1,0.752
1,500,1000,5,0.387,0.923,0.545,0.994,0.896,0.942
1,20,500,30,1,0.808,0.894,0.937,1,0.967
2,1000,50000,30,0,0,0,0.697,1,0.822
1,100,50000,40,1,1,1,1,1,1
2,100,10000,50,0.812,0.625,0.707,0.706,0.862,0.776
2,500,50000,5,0,0,0,0.951,1,0.975
1,1000,500,5,0.3,0.5,0.375,0.967,0.926,0.946
1,1000,10000,5,0,0,0,0.951,1,0.975
2,100,5000,50,0.539,0.98,0.695,0.894,0.169,0.284
1,1000,500,20,0.917,0.917,0.917,0.974,0.974,0.974
2,20,50000,5,1,1,1,1,1,1
1,100,5000,40,0.882,1,0.937,1,0.905,0.95
2,500,1000,5,0,0,0,0.985,1,0.992
2,20,10000,20,1,1,1,1,1,1
2,1000,5000,30,0,0,0,0.692,1,0.818
1,100,50000,20,0.766,0.98,0.86,0.995,0.926,0.959
1,100,50000,10,0.696,0.928,0.796,0.992,0.956,0.973
1,50,10000,50,0.913,0.993,0.951,0.992,0.897,0.942
1,20,1000,50,1,1,1,1,1,1
