FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,1.0,0.941,0.97,0.958,1.0,0.979
2,100,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
1,50,200,20,0.444,0.8,0.571,0.968,0.857,0.909
1,20,10000,10,1.0,1.0,1.0,1.0,1.0,1.0
1,20,5000,20,0.995,1.0,0.997,1.0,0.999,0.999
1,1000,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
1,500,500,40,0.724,0.84,0.778,0.81,0.68,0.739
2,20,10000,40,1.0,1.0,1.0,1.0,1.0,1.0
2,1000,10000,30,0.998,1.0,0.999,1.0,0.999,1.0
2,1000,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
2,100,5000,30,1.0,1.0,1.0,1.0,1.0,1.0
2,50,500,50,1.0,1.0,1.0,1.0,1.0,1.0
2,500,5000,50,1.0,1.0,1.0,1.0,1.0,1.0
2,500,200,30,1.0,0.818,0.9,0.935,1.0,0.967
2,20,5000,40,1.0,1.0,1.0,1.0,1.0,1.0
1,100,10000,10,1.0,1.0,1.0,1.0,1.0,1.0
1,500,200,50,0.676,0.958,0.793,0.833,0.312,0.455
2,50,200,5,0.5,0.5,0.5,0.974,0.974,0.974
1,500,200,20,0.636,0.875,0.737,0.966,0.875,0.918
2,500,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
1,500,1000,5,0.889,0.8,0.842,0.99,0.995,0.992
1,20,500,30,0.568,0.875,0.689,0.943,0.758,0.84
2,1000,50000,30,1.0,1.0,1.0,1.0,1.0,1.0
1,100,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
2,100,10000,50,1.0,1.0,1.0,1.0,1.0,1.0
2,500,50000,5,1.0,0.996,0.998,1.0,1.0,1.0
1,1000,500,5,0.286,0.8,0.421,0.988,0.895,0.939
1,1000,10000,5,0.991,1.0,0.995,1.0,0.999,1.0
2,100,5000,50,1.0,1.0,1.0,1.0,1.0,1.0
1,1000,500,20,0.538,0.875,0.667,0.973,0.857,0.911
2,20,50000,5,1.0,1.0,1.0,1.0,1.0,1.0
1,100,5000,40,0.998,1.0,0.999,1.0,0.998,0.999
2,500,1000,5,0.9,1.0,0.947,1.0,0.995,0.997
2,20,10000,20,1.0,1.0,1.0,1.0,1.0,1.0
2,1000,5000,30,1.0,1.0,1.0,1.0,1.0,1.0
1,100,50000,20,0.999,1.0,0.999,1.0,1.0,1.0
1,100,50000,10,0.999,1.0,0.999,1.0,1.0,1.0
1,50,10000,50,0.998,1.0,0.999,1.0,0.998,0.999
1,20,1000,50,0.788,0.853,0.819,0.805,0.725,0.763
1,500,10000,5,0.988,1.0,0.994,1.0,0.999,1.0
1,1000,5000,40,0.992,0.99,0.991,0.993,0.995,0.994
1,20,10000,5,1.0,1.0,1.0,1.0,1.0,1.0
1,100,500,5,0.8,0.8,0.8,0.988,0.988,0.988
2,50,1000,20,1.0,1.0,1.0,1.0,1.0,1.0
2,20,1000,30,0.943,0.98,0.962,0.992,0.977,0.984
2,20,10000,30,1.0,1.0,1.0,1.0,1.0,1.0
2,500,500,5,1.0,0.833,0.909,0.989,1.0,0.995
2,20,50000,20,1.0,1.0,1.0,1.0,1.0,1.0
1,1000,1000,50,0.96,0.922,0.941,0.921,0.959,0.939
1,1000,200,40,1.0,0.812,0.897,0.889,1.0,0.941
1,500,500,10,0.833,0.938,0.882,0.988,0.964,0.976
1,500,5000,5,0.906,1.0,0.95,1.0,0.995,0.997
1,20,200,5,0.25,0.25,0.25,0.917,0.917,0.917
