FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0,0,0,0.575,1,0.73
2,100,50000,40,0,0,0,0.598,1,0.749
1,50,200,20,1,0.8,0.889,0.972,1,0.986
1,20,10000,10,1,1,1,1,1,1
1,20,5000,20,1,1,1,1,1,1
1,1000,50000,40,0,0,0,0.595,1,0.746
1,500,500,40,0,0,0,0.5,1,0.667
2,20,10000,40,1,1,1,1,1,1
2,1000,10000,30,0,0,0,0.7,1,0.824
2,1000,50000,40,0,0,0,0.601,1,0.751
2,100,5000,30,0.741,0.544,0.627,0.82,0.916,0.865
2,50,500,50,1,0.978,0.989,0.978,1,0.989
2,500,5000,50,0,0,0,0.486,1,0.654
2,500,200,30,0,0,0,0.725,1,0.841
2,20,5000,40,1,1,1,1,1,1
1,100,10000,10,1,1,1,1,1,1
1,500,200,50,0,0,0,0.4,1,0.571
2,50,200,5,1,1,1,1,1,1
1,500,200,20,0.381,1,0.552,1,0.594,0.745
2,500,50000,40,0,0,0,0.6,1,0.75
1,500,1000,5,0,0,0,0.949,1,0.974
1,20,500,30,0.962,1,0.98,1,0.987,0.993
2,1000,50000,30,0,0,0,0.595,1,0.746
1,100,50000,40,0.995,0.984,0.989,0.989,0.996,0.993
2,100,10000,50,0.231,0.954,0.372,0.997,0.839,0.911
2,500,50000,5,0,0,0,0.799,1,0.888
1,1000,500,5,0,0,0,0.95,1,0.974
1,1000,10000,5,0,0,0,0.9,1,0.947
2,100,5000,50,0.963,0.923,0.943,0.991,0.996,0.993
1,1000,500,20,0,0,0,0.84,1,0.913
2,20,50000,5,0.988,1,0.994,1,0.999,1
1,100,5000,40,0.963,0.923,0.943,0.991,0.996,0.993
2,500,1000,5,0,0,0,0.959,1,0.979
2,20,10000,20,1,1,1,1,1,1
2,1000,5000,30,0,0,0,0.802,1,0.89
1,100,50000,20,0.988,0.918,0.952,0.98,0.997,0.988
1,100,50000,10,0.166,0.247,0.199,0.96,0.935,0.947
1,50,10000,50,1,1,1,1,1,1
1,20,1000,50,1,0.991,0.995,0.989,1,0.995
1,500,10000,5,0,0,0,0.702,1,0.825
1,1000,5000,40,0,0,0,0.509,1,0.675
1,20,10000,5,1,1,1,1,1,1
1,100,500,5,0.385,1,0.556,1,0.916,0.956
2,50,1000,20,1,1,1,1,1,1
2,20,1000,30,1,1,1,1,1,1
2,20,10000,30,1,1,1,1,1,1
2,500,500,5,0,0,0,0.94,1,0.969
2,20,50000,20,1,1,1,1,1,1
1,1000,1000,50,0,0,0,0.492,1,0.66
1,1000,200,40,0,0,0,0.6,1,0.75
1,500,500,10,0,0,0,0.55,1,0.71
1,500,5000,5,0,0,0,0.509,1,0.675
1,20,200,5,0.25,0.75,0.375,0.964,0.75,0.844
1,50,1000,30,0.594,1,0.745,1,0.799,0.888
1,50,50000,50,1,1,1,1,1,1
2,50,500,5,0.03,0.75,0.058,0,0,0
1,1000,5000,30,0,0,0,0.509,1,0.675
1,100,200,40,0.625,0.333,0.435,0.688,0.88,0.772
2,20,10000,50,1,1,1,1,1,1
2,100,200,50,1,0.4,0.571,0.735,1,0.847
2,100,50000,30,0.987,0.861,0.92,0.944,0.995,0.969
1,50,1000,50,0.79,1,0.883,1,0.681,0.81
1,500,200,10,0.286,0.571,0.381,0.885,0.697,0.78
2,50,1000,40,1,1,1,1,1,1
2,50,1000,5,0.714,1,0.833,1,0.976,0.988
2,20,500,40,1,1,1,1,1,1
1,20,5000,50,1,1,1,1,1,1
2,20,500,30,1,0.972,0.986,0.985,1,0.992
1,20,10000,30,1,1,1,1,1,1
1,20,50000,30,1,1,1,1,1,1
2,20,200,30,1,1,1,1,1,1
1,1000,10000,50,0,0,0,0.491,1,0.659
2,100,50000,50,0.955,0.879,0.915,0.888,0.959,0.922
1,1000,50000,20,0,0,0,0.794,1,0.885
1,100,200,30,0.5,0.889,0.64,0.958,0.742,0.836
2,50,50000,50,1,0.999,0.999,0.999,1,0.999
1,100,5000,10,0.414,0.963,0.579,0.996,0.876,0.932
1,1000,500,40,0,0,0,0.63,1,0.773
1,1000,200,50,0,0,0,0.625,1,0.769
2,500,10000,20,0,0,0,0.803,1,0.891
1,100,5000,30,0.935,1,0.967,1,0.97,0.985
2,1000,200,10,0,0,0,0.925,1,0.961
2,1000,1000,40,0,0,0,0.579,1,0.734
2,100,1000,30,0.98,0.873,0.923,0.947,0.992,0.969
1,500,5000,50,0,0,0,0.509,1,0.675
2,1000,50000,10,0,0,0,0.897,1,0.946
2,50,200,40,1,0.87,0.93,0.85,1,0.919
2,100,1000,10,0,0,0,0.878,1,0.935
2,50,1000,30,1,1,1,1,1,1
1,1000,10000,10,0,0,0,0.909,1,0.952
2,1000,200,5,0,0,0,0.95,1,0.974
1,500,500,30,0,0,0,0.71,1,0.83
2,20,500,10,1,1,1,1,1,1
1,20,500,5,0.133,1,0.235,1,0.729,0.843
2,50,1000,10,1,1,1,1,1,1
1,1000,5000,50,0,0,0,0.506,1,0.672
2,50,200,10,0.3,0.75,0.429,0.967,0.806,0.879
1,100,50000,5,1,1,1,1,1,1
1,20,200,20,0.6,0.375,0.462,0.857,0.938,0.896
1,500,1000,40,0,0,0,0.59,1,0.742
1,500,5000,30,0,0,0,0.718,1,0.836
2,500,500,40,0,0,0,0.59,1,0.742
1,50,5000,5,0.393,1,0.564,1,0.922,0.96
1,50,200,5,0,0,0,0.967,0.744,0.841
2,1000,200,30,0,0,0,0.75,1,0.857
2,100,1000,5,1,0.875,0.933,0.994,1,0.997
1,20,1000,40,1,1,1,1,1,1
2,1000,5000,10,0,0,0,0.887,1,0.94
1,1000,1000,10,0,0,0,0.908,1,0.952
2,500,200,5,0,0,0,0.975,1,0.987
2,1000,500,40,0,0,0,0.6,1,0.75
2,100,50000,10,0.947,0.949,0.948,0.995,0.994,0.994
2,20,200,40,1,0.941,0.97,0.958,1,0.979
2,100,200,20,1,0.4,0.571,0.921,1,0.959
1,20,10000,20,1,1,1,1,1,1
1,20,50000,40,1,1,1,1,1,1
2,500,5000,10,0.03,0.75,0.058,0,0,0
2,100,200,30,1,0.688,0.815,0.828,1,0.906
2,50,50000,10,1,1,1,1,1,1
2,20,10000,10,1,1,1,1,1,1
1,1000,50000,5,0,0,0,0.954,1,0.977
2,500,10000,40,0,0,0,0.587,1,0.74
1,1000,5000,10,0,0,0,0.908,1,0.952
1,20,50000,50,1,1,1,1,1,1
1,500,10000,50,0,0,0,0.502,1,0.668
1,20,1000,5,1,0.778,0.875,0.988,1,0.994
1,50,50000,5,0.622,1,0.767,1,0.97,0.985
2,500,1000,20,0,0,0,0.826,1,0.904
1,1000,200,20,0,0,0,0.6,1,0.75
