FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,1,1,1,1,1,1
2,100,50000,40,1,1,1,1,1,1
1,50,200,20,0.625,0.833,0.714,0.969,0.912,0.939
1,20,10000,10,1,1,1,1,1,1
1,20,5000,20,1,1,1,1,1,1
1,1000,50000,40,0.999,1,1,1,0.999,1
1,500,500,40,1,1,1,1,1,1
2,20,10000,40,1,1,1,1,1,1
2,1000,10000,30,1,1,1,1,1,1
2,1000,50000,40,1,1,1,1,1,1
2,100,5000,30,1,0.997,0.998,0.998,1,0.999
2,50,500,50,1,0.979,0.989,0.977,1,0.988
2,500,5000,50,1,1,1,1,1,1
2,500,200,30,1,1,1,1,1,1
2,20,5000,40,1,1,1,1,1,1
1,100,10000,10,0.995,1,0.997,1,0.999,1
1,500,200,50,0.565,0.765,0.65,0.765,0.565,0.65
2,50,200,5,1,0.6,0.75,0.946,1,0.972
1,500,200,20,0.571,0.8,0.667,0.97,0.914,0.941
2,500,50000,40,1,1,1,1,1,1
1,500,1000,5,0.632,0.923,0.75,0.994,0.962,0.978
1,20,500,30,0.958,0.885,0.92,0.961,0.986,0.973
2,1000,50000,30,1,1,1,1,1,1
1,100,50000,40,1,1,1,1,1,1
2,100,10000,50,1,1,1,1,1,1
2,500,50000,5,1,1,1,1,1,1
1,1000,500,5,1,1,1,1,1,1
1,1000,10000,5,0.97,1,0.985,1,0.998,0.999
2,100,5000,50,1,1,1,1,1,1
1,1000,500,20,0.957,0.917,0.936,0.974,0.987,0.98
2,20,50000,5,1,1,1,1,1,1
1,100,5000,40,1,1,1,1,1,1
2,500,1000,5,1,1,1,1,1,1
2,20,10000,20,1,1,1,1,1,1
2,1000,5000,30,1,1,1,1,1,1
1,100,50000,20,0.999,1,1,1,1,1
1,100,50000,10,1,1,1,1,1,1
1,50,10000,50,1,1,1,1,1,1
1,20,1000,50,0.98,1,0.99,1,0.98,0.99
1,500,10000,5,0.944,1,0.971,1,0.997,0.998
1,1000,5000,40,1,1,1,1,1,1
1,20,10000,5,1,1,1,1,1,1
1,100,500,5,1,0.667,0.8,0.99,1,0.995
2,50,1000,20,1,1,1,1,1,1
2,20,1000,30,1,1,1,1,1,1
2,20,10000,30,1,1,1,1,1,1
2,500,500,5,0.8,0.8,0.8,0.989,0.989,0.989
2,20,50000,20,1,1,1,1,1,1
1,1000,1000,50,0.947,0.989,0.967,0.99,0.952,0.971
1,1000,200,40,0.824,1,0.903,1,0.885,0.939
1,500,500,10,0.75,0.692,0.72,0.955,0.966,0.96
1,500,5000,5,1,0.946,0.972,0.997,1,0.998
1,20,200,5,1,1,1,1,1,1
1,50,1000,30,1,1,1,1,1,1
1,50,50000,50,1,1,1,1,1,1
2,50,500,5,1,0.857,0.923,0.989,1,0.995
1,1000,5000,30,0.997,1,0.998,1,0.999,0.999
1,100,200,40,0.714,0.909,0.8,0.962,0.862,0.909
2,20,10000,50,1,1,1,1,1,1
2,100,200,50,1,0.889,0.941,0.917,1,0.957
2,100,50000,30,1,1,1,1,1,1
1,50,1000,50,0.99,1,0.995,1,0.99,0.995
1,500,200,10,1,0.833,0.909,0.971,1,0.986
2,50,1000,40,1,0.988,0.994,0.991,1,0.996
2,50,1000,5,1,1,1,1,1,1
2,20,500,40,1,1,1,1,1,1
1,20,5000,50,1,1,1,1,1,1
2,20,500,30,1,1,1,1,1,1
1,20,10000,30,1,1,1,1,1,1
1,20,50000,30,1,1,1,1,1,1
2,20,200,30,1,1,1,1,1,1
1,1000,10000,50,1,1,1,1,1,1
2,100,50000,50,1,1,1,1,1,1
1,1000,50000,20,0.999,1,1,1,1,1
1,100,200,30,0.818,0.9,0.857,0.966,0.933,0.949
2,50,50000,50,1,1,1,1,1,1
1,100,5000,10,1,1,1,1,1,1
1,1000,500,40,1,0.975,0.987,0.984,1,0.992
1,1000,200,50,1,1,1,1,1,1
2,500,10000,20,1,1,1,1,1,1
1,100,5000,30,1,1,1,1,1,1
2,1000,200,10,0.8,1,0.889,1,0.972,0.986
2,1000,1000,40,0.989,0.989,0.989,0.99,0.99,0.99
2,100,1000,30,1,0.983,0.992,0.992,1,0.996
1,500,5000,50,1,1,1,1,1,1
2,1000,50000,10,1,0.999,0.999,1,1,1
2,50,200,40,1,1,1,1,1,1
2,100,1000,10,0.938,0.938,0.938,0.994,0.994,0.994
2,50,1000,30,0.983,1,0.991,1,0.992,0.996
1,1000,10000,10,0.986,1,0.993,1,0.998,0.999
2,1000,200,5,1,1,1,1,1,1
1,500,500,30,0.933,1,0.966,1,0.972,0.986
2,20,500,10,1,1,1,1,1,1
1,20,500,5,1,1,1,1,1,1
2,50,1000,10,1,1,1,1,1,1
1,1000,5000,50,1,1,1,1,1,1
2,50,200,10,1,1,1,1,1,1
1,100,50000,5,1,1,1,1,1,1
1,20,200,20,0.938,0.938,0.938,0.958,0.958,0.958
1,500,1000,40,0.94,0.987,0.963,0.991,0.957,0.974
1,500,5000,30,1,1,1,1,1,1
2,500,500,40,1,0.967,0.983,0.986,1,0.993
1,50,5000,5,1,1,1,1,1,1
1,50,200,5,1,0.5,0.667,0.974,1,0.987
2,1000,200,30,0.833,0.909,0.87,0.964,0.931,0.947
2,100,1000,5,1,1,1,1,1,1
1,20,1000,40,1,1,1,1,1,1
2,1000,5000,10,1,1,1,1,1,1
1,1000,1000,10,0.947,1,0.973,1,0.994,0.997
2,500,200,5,0.333,1,0.5,1,0.949,0.974
2,1000,500,40,1,1,1,1,1,1
2,100,50000,10,1,1,1,1,1,1
2,20,200,40,0.952,1,0.976,1,0.95,0.974
2,100,200,20,1,1,1,1,1,1
1,20,10000,20,1,1,1,1,1,1
1,20,50000,40,1,1,1,1,1,1
2,500,5000,10,1,0.99,0.995,0.999,1,0.999
2,100,200,30,1,0.923,0.96,0.964,1,0.982
2,50,50000,10,1,1,1,1,1,1
2,20,10000,10,1,1,1,1,1,1
1,1000,50000,5,0.994,1,0.997,1,1,1
2,500,10000,40,0.999,1,0.999,1,0.999,1
1,1000,5000,10,1,1,1,1,1,1
1,20,50000,50,1,1,1,1,1,1
1,500,10000,50,0.999,1,1,1,0.999,0.999
1,20,1000,5,0.875,0.875,0.875,0.994,0.994,0.994
1,50,50000,5,1,1,1,1,1,1
2,500,1000,20,1,1,1,1,1,1
1,1000,200,20,0.8,1,0.889,1,0.938,0.968
2,50,10000,30,1,1,1,1,1,1
1,50,200,10,1,0.571,0.727,0.917,1,0.957
1,1000,1000,40,0.975,0.952,0.963,0.965,0.982,0.973
1,50,50000,30,1,1,1,1,1,1
1,500,5000,10,1,1,1,1,1,1
2,500,200,20,1,0.833,0.909,0.971,1,0.986
2,100,500,30,1,1,1,1,1,1
1,1000,200,5,0,0,0,1,0.75,0.857
2,1000,1000,10,1,1,1,1,1,1
1,50,500,10,1,0.667,0.8,0.968,1,0.984
2,100,500,40,1,1,1,1,1,1
1,100,50000,50,1,1,1,1,1,1
1,50,10000,10,0.989,1,0.994,1,0.999,0.999
1,20,50000,10,1,1,1,1,1,1
2,20,50000,30,1,1,1,1,1,1
2,50,10000,10,1,1,1,1,1,1
2,50,200,30,1,1,1,1,1,1
2,100,10000,40,1,1,1,1,1,1
2,20,5000,5,1,1,1,1,1,1
2,500,200,10,1,0.875,0.933,0.97,1,0.985
2,50,5000,30,1,1,1,1,1,1
1,1000,50000,30,0.998,1,0.999,1,0.999,1
1,500,50000,40,1,1,1,1,1,1
2,100,10000,5,1,1,1,1,1,1
2,100,1000,50,1,1,1,1,1,1
1,1000,50000,50,1,1,1,1,1,1
1,50,5000,50,0.998,1,0.999,1,0.998,0.999
2,500,10000,50,0.999,0.999,0.999,0.999,0.999,0.999
1,50,500,20,1,0.913,0.955,0.975,1,0.987
1,50,5000,30,1,1,1,1,1,1
1,500,1000,30,0.883,1,0.938,1,0.951,0.975
1,100,500,30,1,0.923,0.96,0.974,1,0.987
2,1000,10000,5,1,1,1,1,1,1
1,100,500,50,1,1,1,1,1,1
1,20,1000,30,1,1,1,1,1,1
2,50,5000,10,0.99,1,0.995,1,0.999,0.999
1,100,1000,10,0.905,1,0.95,1,0.988,0.994
1,50,5000,10,1,1,1,1,1,1
2,100,1000,40,1,1,1,1,1,1
1,100,10000,50,0.997,1,0.998,1,0.997,0.998
2,50,50000,30,1,1,1,1,1,1
2,20,5000,10,1,1,1,1,1,1
1,50,1000,20,1,0.972,0.986,0.993,1,0.997
1,500,50000,5,0.994,1,0.997,1,1,1
2,20,10000,5,1,1,1,1,1,1
2,20,500,20,1,1,1,1,1,1
2,20,500,5,1,1,1,1,1,1
1,20,1000,20,1,1,1,1,1,1
1,1000,1000,5,1,1,1,1,1,1
1,100,1000,40,1,1,1,1,1,1
2,50,50000,20,1,1,1,1,1,1
1,50,1000,5,0.778,0.778,0.778,0.988,0.988,0.988
1,500,200,40,1,0.889,0.941,0.917,1,0.957
2,50,200,50,1,1,1,1,1,1
1,100,500,10,0.833,0.909,0.87,0.989,0.978,0.983
1,50,200,40,0.944,1,0.971,1,0.957,0.978
2,1000,500,30,1,1,1,1,1,1
2,20,5000,30,1,1,1,1,1,1
2,500,50000,50,1,1,1,1,1,1
1,1000,1000,20,0.98,0.941,0.96,0.979,0.993,0.986
1,1000,50000,10,0.995,1,0.998,1,0.999,1
1,1000,10000,30,0.998,1,0.999,1,0.999,1
2,20,5000,50,1,1,1,1,1,1
1,100,10000,40,1,1,1,1,1,1
1,20,5000,30,1,1,1,1,1,1
1,20,5000,10,1,1,1,1,1,1
2,100,50000,5,1,1,1,1,1,1
2,100,5000,40,1,1,1,1,1,1
2,1000,5000,40,1,1,1,1,1,1
1,50,5000,40,0.995,1,0.998,1,0.997,0.998
2,100,5000,10,1,0.989,0.994,0.999,1,0.999
1,50,1000,40,1,1,1,1,1,1
1,20,5000,5,1,1,1,1,1,1
1,100,1000,20,1,1,1,1,1,1
2,500,5000,20,1,1,1,1,1,1
2,500,50000,10,1,1,1,1,1,1
2,20,200,10,1,1,1,1,1,1
2,500,5000,40,1,1,1,1,1,1
1,100,5000,5,1,1,1,1,1,1
1,500,200,30,0.545,0.6,0.571,0.862,0.833,0.847
1,20,50000,5,1,1,1,1,1,1
1,500,50000,30,0.999,1,0.999,1,0.999,1
2,1000,500,50,0.978,0.957,0.968,0.963,0.981,0.972
1,500,200,5,0.167,0.5,0.25,0.971,0.868,0.917
2,500,5000,5,1,1,1,1,1,1
1,20,200,10,1,0.833,0.909,0.971,1,0.986
1,50,10000,5,1,1,1,1,1,1
1,100,500,40,0.929,0.963,0.945,0.984,0.968,0.976
1,20,200,30,1,1,1,1,1,1
1,1000,500,50,0.979,1,0.989,1,0.981,0.99
1,50,200,50,1,0.923,0.96,0.964,1,0.982
2,1000,50000,5,1,1,1,1,1,1
2,1000,500,20,0.944,0.944,0.944,0.988,0.988,0.988
1,1000,200,30,0.917,0.917,0.917,0.964,0.964,0.964
1,500,1000,20,0.932,1,0.965,1,0.981,0.99
2,50,5000,5,1,0.982,0.991,0.999,1,0.999
2,1000,1000,50,0.978,0.989,0.983,0.991,0.981,0.986
1,100,10000,30,1,1,1,1,1,1
1,500,5000,40,1,1,1,1,1,1
2,100,500,10,1,0.889,0.941,0.989,1,0.995
2,20,50000,10,1,1,1,1,1,1
2,20,5000,20,1,1,1,1,1,1
1,100,50000,30,1,1,1,1,1,1
1,50,10000,20,1,1,1,1,1,1
1,100,1000,5,0.917,1,0.957,1,0.994,0.997
2,20,50000,40,1,1,1,1,1,1
1,50,5000,20,1,1,1,1,1,1
2,50,500,40,0.972,1,0.986,1,0.982,0.991
1,50,1000,10,1,1,1,1,1,1
2,500,50000,30,1,1,1,1,1,1
2,500,50000,20,1,1,1,1,1,1
1,20,10000,40,1,1,1,1,1,1
2,50,1000,50,1,0.99,0.995,0.99,1,0.995
2,20,1000,50,1,1,1,1,1,1
2,20,1000,10,1,1,1,1,1,1
2,100,5000,20,1,1,1,1,1,1
2,100,500,50,1,1,1,1,1,1
2,20,200,20,1,0.8,0.889,0.972,1,0.986
2,1000,200,20,1,1,1,1,1,1
1,20,500,50,1,1,1,1,1,1
2,500,1000,50,1,0.99,0.995,0.99,1,0.995
2,1000,500,5,1,0.667,0.8,0.968,1,0.984
1,500,5000,20,1,1,1,1,1,1
2,1000,10000,40,1,1,1,1,1,1
2,1000,5000,5,1,1,1,1,1,1
2,500,200,50,1,1,1,1,1,1
1,50,500,50,0.935,1,0.966,1,0.936,0.967
1,500,1000,10,1,1,1,1,1,1
2,20,1000,40,1,1,1,1,1,1
1,1000,5000,5,1,1,1,1,1,1
2,1000,10000,10,1,1,1,1,1,1
1,500,500,5,1,0.6,0.75,0.979,1,0.99
2,100,10000,20,1,1,1,1,1,1
2,500,500,10,1,0.917,0.957,0.989,1,0.994
2,500,10000,10,1,1,1,1,1,1
1,500,50000,10,1,1,1,1,1,1
2,50,10000,20,1,1,1,1,1,1
1,50,500,40,0.973,1,0.986,1,0.981,0.991
1,1000,1000,30,0.958,1,0.978,1,0.976,0.988
2,1000,50000,50,1,1,1,1,1,1
1,500,10000,10,0.986,1,0.993,1,0.998,0.999
2,50,500,10,0.889,1,0.941,1,0.989,0.995
2,100,10000,10,1,0.994,0.997,0.999,1,1
2,50,5000,40,1,1,1,1,1,1
2,1000,500,10,1,0.615,0.762,0.946,1,0.972
1,1000,200,10,1,1,1,1,1,1
1,100,10000,20,1,1,1,1,1,1
1,1000,10000,20,0.995,1,0.997,1,0.999,0.999
1,50,50000,10,1,1,1,1,1,1
1,1000,500,10,1,0.8,0.889,0.978,1,0.989
2,1000,10000,20,1,1,1,1,1,1
2,100,200,10,1,0.667,0.8,0.974,1,0.987
1,20,1000,10,1,0.955,0.977,0.994,1,0.997
