FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0.686,1,0.814,1,0.312,0.476
2,100,50000,40,0.394,1,0.565,0,0,0
1,50,200,20,0.364,1,0.533,1,0.806,0.892
1,20,10000,10,0.995,1,0.997,1,0.999,1
1,20,5000,20,0.995,1,0.997,1,0.999,0.999
1,1000,50000,40,0,0,0,0.601,1,0.751
1,500,500,40,0.731,0.974,0.835,0.979,0.77,0.862
2,20,10000,40,0.993,0.997,0.995,0.998,0.996,0.997
2,1000,10000,30,0.961,1,0.98,1,0.981,0.99
2,1000,50000,40,0,0,0,0.605,1,0.754
2,100,5000,30,0.99,0.993,0.992,0.997,0.995,0.996
2,50,500,50,0.915,1,0.956,1,0.861,0.925
2,500,5000,50,0.996,0.939,0.966,0.944,0.996,0.969
2,500,200,30,0,0,0,0.8,1,0.889
2,20,5000,40,0,0,0,0.594,1,0.745
1,100,10000,10,0.971,1,0.985,1,0.997,0.998
1,500,200,50,0.842,0.696,0.762,0.667,0.824,0.737
2,50,200,5,0.025,1,0.049,0,0,0
1,500,200,20,0.75,1,0.857,1,0.903,0.949
2,500,50000,40,0.4,1,0.572,0,0,0
1,500,1000,5,0.111,1,0.2,1,0.746,0.855
1,20,500,30,0.955,0.955,0.955,0.987,0.987,0.987
2,1000,50000,30,0.99,0.999,0.995,1,0.996,0.998
1,100,50000,40,0.402,1,0.573,0,0,0
2,100,10000,50,0.992,0.995,0.993,0.995,0.992,0.993
2,500,50000,5,0.887,1,0.94,1,0.993,0.997
1,1000,500,5,0,0,0,0.936,0.936,0.936
1,1000,10000,5,0,0,0,0.951,1,0.975
2,100,5000,50,0.987,0.994,0.99,0.994,0.989,0.991
1,1000,500,20,0.548,1,0.708,1,0.831,0.908
2,20,50000,5,0,0,0,0.948,1,0.973
1,100,5000,40,0,0,0,0.595,1,0.746
2,500,1000,5,0.147,0.5,0.227,0.969,0.843,0.902
2,20,10000,20,0,0,0,0.806,1,0.893
2,1000,5000,30,0.951,1,0.975,1,0.981,0.99
1,100,50000,20,0.197,1,0.329,0,0,0
1,100,50000,10,0.102,1,0.185,0,0,0
1,50,10000,50,0.812,1,0.896,1,0.784,0.879
1,20,1000,50,1,1,1,1,1,1
1,500,10000,5,0.625,1,0.769,1,0.97,0.985
1,1000,5000,40,0.393,1,0.564,0,0,0
1,20,10000,5,0,0,0,0.955,1,0.977
1,100,500,5,0.571,1,0.727,1,0.969,0.984
2,50,1000,20,0.935,0.967,0.951,0.993,0.987,0.99
2,20,1000,30,0,0,0,0.633,1,0.776
2,20,10000,30,0.991,0.996,0.993,0.998,0.996,0.997
2,500,500,5,0.111,0.2,0.143,0.956,0.916,0.935
2,20,50000,20,0.993,1,0.997,1,0.998,0.999
1,1000,1000,50,0.754,0.99,0.856,0.986,0.687,0.81
1,1000,200,40,0,0,0,0.725,1,0.841
1,500,500,10,0,0,0,0.88,1,0.936
1,500,5000,5,0.795,1,0.885,1,0.984,0.992
1,20,200,5,1,1,1,1,1,1
1,50,1000,30,0.912,1,0.954,1,0.961,0.98
1,50,50000,50,0.987,1,0.994,1,0.987,0.993
2,50,500,5,0.09,1,0.165,0,0,0
1,1000,5000,30,0,0,0,0.721,1,0.838
1,100,200,40,1,0.929,0.963,0.963,1,0.981
2,20,10000,50,0.988,0.998,0.993,0.998,0.988,0.993
2,100,200,50,0.6,1,0.75,0,0,0
2,100,50000,30,0.898,1,0.946,1,0.95,0.974
1,50,1000,50,0.875,0.706,0.782,0.714,0.879,0.788
1,500,200,10,0,0,0,0.9,1,0.947
2,50,1000,40,0.827,1,0.905,1,0.842,0.914
2,50,1000,5,0,0,0,0.944,1,0.971
2,20,500,40,0.756,0.971,0.85,0.978,0.8,0.88
1,20,5000,50,0.998,1,0.999,1,0.998,0.999
2,20,500,30,1,0.966,0.982,0.986,1,0.993
1,20,10000,30,0.998,1,0.999,1,0.999,1
1,20,50000,30,0.995,1,0.997,1,0.998,0.999
2,20,200,30,0.824,0.933,0.875,0.957,0.88,0.917
1,1000,10000,50,0,0,0,0.495,1,0.662
2,100,50000,50,0.982,0.999,0.991,0.999,0.981,0.99
1,1000,50000,20,0.956,1,0.977,1,0.989,0.994
1,100,200,30,0.737,0.933,0.824,0.952,0.8,0.87
2,50,50000,50,0.992,1,0.996,1,0.992,0.996
1,100,5000,10,0.12,1,0.214,0,0,0
1,1000,500,40,0.714,1,0.833,1,0.673,0.804
1,1000,200,50,0.4,1,0.571,0,0,0
2,500,10000,20,0,0,0,0.789,1,0.882
1,100,5000,30,0.947,1,0.973,1,0.976,0.988
2,1000,200,10,0,0,0,0.925,1,0.961
2,1000,1000,40,0,0,0,0.6,1,0.75
2,100,1000,30,0.896,0.977,0.935,0.992,0.963,0.978
1,500,5000,50,0,0,0,0.508,1,0.674
2,1000,50000,10,0.934,1,0.966,1,0.992,0.996
2,50,200,40,0.632,0.857,0.727,0.905,0.731,0.809
2,100,1000,10,0,0,0,0.922,1,0.96
2,50,1000,30,0.843,1,0.915,1,0.942,0.97
1,1000,10000,10,0.871,1,0.931,1,0.984,0.992
2,1000,200,5,0,0,0,0.95,1,0.974
1,500,500,30,0.69,0.741,0.714,0.901,0.877,0.889
2,20,500,10,0.583,1,0.737,1,0.884,0.938
1,20,500,5,0.429,0.75,0.545,0.989,0.958,0.974
2,50,1000,10,0,0,0,0.894,1,0.944
1,1000,5000,50,0,0,0,0.526,1,0.689
2,50,200,10,0,0,0,0.85,1,0.919
1,100,50000,5,0,0,0,0.95,1,0.974
1,20,200,20,0,0,0,0.8,1,0.889
1,500,1000,40,0.763,0.986,0.861,0.99,0.821,0.898
1,500,5000,30,0,0,0,0.7,1,0.824
2,500,500,40,0.864,0.95,0.905,0.964,0.9,0.931
1,50,5000,5,0.846,1,0.917,1,0.991,0.996
1,50,200,5,0,0,0,0.925,1,0.961
2,1000,200,30,0,0,0,0.725,1,0.841
2,100,1000,5,0,0,0,0.972,1,0.986
1,20,1000,40,0.45,1,0.621,0,0,0
2,1000,5000,10,0.941,0.96,0.95,0.996,0.993,0.994
1,1000,1000,10,0.123,1,0.219,0,0,0
2,500,200,5,0,0,0,0.975,1,0.987
2,1000,500,40,0,0,0,0.55,1,0.71
2,100,50000,10,0.873,0.995,0.93,0.999,0.984,0.992
2,20,200,40,0.545,0.353,0.429,0.621,0.783,0.692
2,100,200,20,0,0,0,0.85,1,0.919
1,20,10000,20,1,1,1,1,1,1
1,20,50000,40,0.999,1,0.999,1,0.999,1
2,500,5000,10,0.836,0.979,0.902,0.998,0.98,0.989
2,100,200,30,0.636,0.778,0.7,0.931,0.871,0.9
2,50,50000,10,0.994,0.999,0.996,1,0.999,1
2,20,10000,10,0.935,1,0.967,1,0.993,0.996
1,1000,50000,5,0.051,1,0.097,0,0,0
2,500,10000,40,0.978,0.991,0.985,0.994,0.985,0.989
1,1000,5000,10,0.95,1,0.975,1,0.994,0.997
1,20,50000,50,0.998,1,0.999,1,0.998,0.999
1,500,10000,50,0,0,0,0.516,1,0.681
1,20,1000,5,0.875,1,0.933,1,0.994,0.997
1,50,50000,5,0.888,1,0.941,1,0.994,0.997
2,500,1000,20,0.604,0.762,0.674,0.93,0.863,0.895
1,1000,200,20,0,0,0,0.75,1,0.857
2,50,10000,30,0,0,0,0.698,1,0.822
1,50,200,10,0,0,0,0.85,1,0.919
1,1000,1000,40,0.379,1,0.55,0,0,0
1,50,50000,30,0.892,1,0.943,1,0.95,0.974
1,500,5000,10,0.096,1,0.175,0,0,0
2,500,200,20,0,0,0,0.825,1,0.904
2,100,500,30,0.727,0.923,0.814,0.97,0.878,0.922
1,1000,200,5,0.25,0.5,0.333,0.972,0.921,0.946
2,1000,1000,10,0.143,0.333,0.2,0.952,0.869,0.909
1,50,500,10,0,0,0,0.85,1,0.919
2,100,500,40,0.9,0.659,0.761,0.767,0.939,0.844
1,100,50000,50,0.503,1,0.669,0,0,0
1,50,10000,10,0.9,1,0.947,1,0.988,0.994
1,20,50000,10,0.995,1,0.997,1,0.999,1
2,20,50000,30,0.988,0.998,0.993,0.999,0.995,0.997
2,50,10000,10,0.961,0.983,0.972,0.998,0.996,0.997
2,50,200,30,0.425,1,0.596,0,0,0
2,100,10000,40,0.984,0.996,0.99,0.997,0.989,0.993
2,20,5000,5,0.707,0.911,0.796,0.996,0.981,0.988
2,500,200,10,0,0,0,0.95,1,0.974
2,50,5000,30,0,0,0,0.685,1,0.813
1,1000,50000,30,0,0,0,0.702,1,0.825
1,500,50000,40,0.994,1,0.997,1,0.996,0.998
2,100,10000,5,0.912,0.963,0.936,0.998,0.994,0.996
2,100,1000,50,0.928,0.989,0.957,0.99,0.936,0.962
1,1000,50000,50,0.994,1,0.997,1,0.994,0.997
1,50,5000,50,0.994,1,0.997,1,0.994,0.997
2,500,10000,50,0,0,0,0.5,1,0.667
1,50,500,20,0,0,0,0.74,1,0.851
1,50,5000,30,0.98,1,0.99,1,0.991,0.995
1,500,1000,30,0.421,1,0.593,1,0.404,0.576
1,100,500,30,0.814,1,0.897,1,0.877,0.934
2,1000,10000,5,0.704,1,0.826,1,0.975,0.987
1,100,500,50,1,1,1,1,1,1
1,20,1000,30,1,1,1,1,1,1
2,50,5000,10,0,0,0,0.898,1,0.946
1,100,1000,10,0.773,0.944,0.85,0.994,0.969,0.981
1,50,5000,10,0,0,0,0.893,1,0.943
2,100,1000,40,0.958,0.896,0.926,0.938,0.976,0.956
1,100,10000,50,0.964,1,0.982,1,0.962,0.98
2,50,50000,30,0.994,0.999,0.996,1,0.997,0.998
2,20,5000,10,0.899,1,0.947,1,0.989,0.994
1,50,1000,20,0.82,0.932,0.872,0.977,0.934,0.955
1,500,50000,5,0,0,0,0.95,1,0.975
2,20,10000,5,0.989,1,0.994,1,0.999,1
2,20,500,20,0.714,0.625,0.667,0.886,0.921,0.903
2,20,500,5,0,0,0,0.98,1,0.99
1,20,1000,20,1,1,1,1,1,1
1,1000,1000,5,0.062,1,0.116,0,0,0
1,100,1000,40,0.874,1,0.933,1,0.911,0.954
2,50,50000,20,0.994,0.997,0.995,0.999,0.998,0.999
1,50,1000,5,0.667,1,0.8,1,0.964,0.982
1,500,200,40,0,0,0,0.575,1,0.73
2,50,200,50,0,0,0,0.55,1,0.71
1,100,500,10,0,0,0,0.89,1,0.942
1,50,200,40,0.425,1,0.596,0,0,0
2,1000,500,30,0.929,0.565,0.703,0.884,0.987,0.933
2,20,5000,30,0.983,0.99,0.986,0.996,0.993,0.994
2,500,50000,50,0,0,0,0.496,1,0.663
1,1000,1000,20,0,0,0,0.8,1,0.889
1,1000,50000,10,0,0,0,0.896,1,0.945
1,1000,10000,30,0,0,0,0.693,1,0.818
2,20,5000,50,0.965,1,0.982,1,0.967,0.983
1,100,10000,40,0,0,0,0.603,1,0.752
1,20,5000,30,0.996,1,0.998,1,0.999,0.999
1,20,5000,10,0.962,0.99,0.976,0.999,0.995,0.997
2,100,50000,5,0.525,1,0.689,1,0.951,0.975
2,100,5000,40,0.968,1,0.984,1,0.978,0.989
2,1000,5000,40,0.948,0.995,0.971,0.997,0.966,0.981
1,50,5000,40,0.676,1,0.807,1,0.641,0.781
2,100,5000,10,0.779,0.911,0.84,0.988,0.966,0.977
1,50,1000,40,0,0,0,0.61,1,0.758
1,20,5000,5,0.978,1,0.989,1,0.999,0.999
1,100,1000,20,0,0,0,0.811,1,0.896
2,500,5000,20,0.938,1,0.968,1,0.984,0.992
2,500,50000,10,0.963,1,0.981,1,0.996,0.998
2,20,200,10,0,0,0,0.95,1,0.974
2,500,5000,40,0,0,0,0.62,1,0.765
1,100,5000,5,0.867,1,0.929,1,0.991,0.996
1,500,200,30,0,0,0,0.65,1,0.788
1,20,50000,5,0.99,1,0.995,1,0.999,1
1,500,50000,30,0.302,1,0.464,0,0,0
2,1000,500,50,0.939,0.868,0.902,0.863,0.936,0.898
1,500,200,5,0,0,0,0,0,0
2,500,5000,5,0,0,0,0.948,1,0.973
1,20,200,10,0,0,0,0.8,1,0.889
1,50,10000,5,0.755,1,0.86,1,0.984,0.992
1,100,500,40,0,0,0,0.633,1,0.776
1,20,200,30,0,0,0,0.775,1,0.873
1,1000,500,50,0.841,0.949,0.892,0.964,0.885,0.923
1,50,200,50,0,0,0,0.475,1,0.644
2,1000,50000,5,0.051,1,0.097,0,0,0
2,1000,500,20,0.833,0.909,0.87,0.974,0.949,0.961
1,1000,200,30,0.857,0.667,0.75,0.909,0.968,0.937
1,500,1000,20,0,0,0,0.831,1,0.908
2,50,5000,5,0.818,1,0.9,1,0.987,0.993
2,1000,1000,50,0.655,0.958,0.778,0.929,0.52,0.667
1,100,10000,30,0.625,1,0.769,1,0.751,0.858
1,500,5000,40,0.981,1,0.99,1,0.986,0.993
2,100,500,10,0,0,0,0.93,1,0.964
2,20,50000,10,0.991,0.999,0.995,1,0.999,0.999
2,20,5000,20,0.954,0.995,0.974,0.999,0.988,0.993
1,100,50000,30,0.981,1,0.99,1,0.992,0.996
1,50,10000,20,0.823,1,0.903,1,0.949,0.974
1,100,1000,5,0.273,0.75,0.4,0.987,0.907,0.945
2,20,50000,40,0.997,0.997,0.997,0.998,0.998,0.998
1,50,5000,20,0.659,1,0.794,1,0.871,0.931
2,50,500,40,0.977,0.84,0.903,0.83,0.975,0.897
1,50,1000,10,0.71,0.957,0.815,0.993,0.943,0.967
