FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0,0,0,0.425,1,0.596
2,100,50000,40,0.999,0.997,0.998,0.998,0.999,0.999
1,50,200,20,0,0,0,0.85,1,0.919
1,20,10000,10,0.966,0.994,0.98,0.999,0.996,0.998
1,20,5000,20,0,0,0,0.811,1,0.896
1,1000,50000,40,0.995,1,0.997,1,0.997,0.998
1,500,500,40,0.941,0.821,0.877,0.894,0.967,0.929
2,20,10000,40,0.99,0.981,0.985,0.987,0.993,0.99
2,1000,10000,30,0.906,0.995,0.948,0.998,0.956,0.976
2,1000,50000,40,0.996,0.995,0.995,0.996,0.997,0.997
2,100,5000,30,0.945,1,0.972,1,0.975,0.987
2,50,500,50,0.478,1,0.647,0,0,0
2,500,5000,50,0.514,1,0.679,0,0,0
2,500,200,30,1,0.778,0.875,0.939,1,0.969
2,20,5000,40,0.976,0.981,0.978,0.986,0.983,0.984
1,100,10000,10,0.973,0.973,0.973,0.997,0.997,0.997
1,500,200,50,0.425,1,0.596,0,0,0
2,50,200,5,0,0,0,0.925,1,0.961
1,500,200,20,0.75,0.857,0.8,0.969,0.939,0.954
2,500,50000,40,0.99,0.995,0.993,0.996,0.993,0.995
1,500,1000,5,0,0,0,0.969,1,0.984
1,20,500,30,0.812,0.963,0.881,0.985,0.918,0.95
2,1000,50000,30,0.996,0.995,0.995,0.998,0.998,0.998
1,100,50000,40,0.998,1,0.999,1,0.999,0.999
2,100,10000,50,0.997,0.988,0.992,0.988,0.997,0.992
2,500,50000,5,0.904,0.998,0.949,1,0.994,0.997
1,1000,500,5,0.6,0.6,0.6,0.979,0.979,0.979
1,1000,10000,5,0.046,1,0.089,0,0,0
2,100,5000,50,0.994,0.992,0.993,0.992,0.994,0.993
1,1000,500,20,0,0,0,0.82,1,0.901
2,20,50000,5,0.974,0.991,0.983,1,0.999,0.999
1,100,5000,40,0.99,1,0.995,1,0.993,0.997
2,500,1000,5,0.072,1,0.134,0,0,0
2,20,10000,20,0.983,0.973,0.978,0.993,0.996,0.994
2,1000,5000,30,0,0,0,0.703,1,0.826
1,100,50000,20,0.995,1,0.997,1,0.999,0.999
1,100,50000,10,0.985,1,0.992,1,0.998,0.999
1,50,10000,50,0,0,0,0.51,1,0.675
1,20,1000,50,0.435,1,0.606,0,0,0
1,500,10000,5,0.745,1,0.854,1,0.986,0.993
1,1000,5000,40,0,0,0,0.601,1,0.751
1,20,10000,5,0.884,1,0.939,1,0.994,0.997
1,100,500,5,0.867,1,0.929,1,0.977,0.988
2,50,1000,20,0,0,0,0.767,1,0.868
2,20,1000,30,0.957,0.698,0.807,0.858,0.983,0.916
2,20,10000,30,0.983,0.985,0.984,0.994,0.993,0.993
2,500,500,5,0.154,0.5,0.235,0.977,0.885,0.929
2,20,50000,20,0.993,0.994,0.993,0.998,0.998,0.998
1,1000,1000,50,0.497,1,0.664,0,0,0
1,1000,200,40,0,0,0,0.7,1,0.824
1,500,500,10,0.389,1,0.56,1,0.882,0.937
1,500,5000,5,0.983,1,0.992,1,0.999,0.999
1,20,200,5,1,0.5,0.667,0.974,1,0.987
1,50,1000,30,0,0,0,0.644,1,0.784
1,50,50000,50,0,0,0,0.499,1,0.666
2,50,500,5,0.667,0.5,0.571,0.979,0.99,0.984
1,1000,5000,30,0.984,1,0.992,1,0.993,0.996
1,100,200,40,0,0,0,0.675,1,0.806
2,20,10000,50,0.992,0.988,0.99,0.988,0.992,0.99
2,100,200,50,0.4,1,0.571,0,0,0
2,100,50000,30,0.995,0.997,0.996,0.999,0.998,0.998
1,50,1000,50,0.485,1,0.653,0,0,0
1,500,200,10,0,0,0,0.921,0.946,0.933
2,50,1000,40,0,0,0,0.59,1,0.742
2,50,1000,5,0,0,0,0.956,1,0.977
2,20,500,40,0.775,1,0.873,1,0.847,0.917
1,20,5000,50,0.988,1,0.994,1,0.988,0.994
2,20,500,30,0,0,0,0.73,1,0.844
1,20,10000,30,0,0,0,0.696,1,0.82
1,20,50000,30,1,1,1,1,1,1
2,20,200,30,0.391,0.9,0.545,0.941,0.533,0.681
1,1000,10000,50,0.934,1,0.966,1,0.931,0.964
2,100,50000,50,0.998,0.999,0.999,0.999,0.998,0.999
1,1000,50000,20,0.984,1,0.992,1,0.996,0.998
1,100,200,30,0.933,0.933,0.933,0.96,0.96,0.96
2,50,50000,50,0.998,0.998,0.998,0.998,0.998,0.998
1,100,5000,10,0.947,1,0.973,1,0.993,0.996
1,1000,500,40,0,0,0,0.66,1,0.795
1,1000,200,50,0.957,1,0.978,1,0.944,0.971
2,500,10000,20,0.985,0.983,0.984,0.996,0.996,0.996
1,100,5000,30,1,1,1,1,1,1
2,1000,200,10,0,0,0,0.85,1,0.919
2,1000,1000,40,0.932,0.724,0.815,0.846,0.966,0.902
2,100,1000,30,0.909,0.943,0.926,0.976,0.961,0.968
1,500,5000,50,0.955,0.917,0.936,0.918,0.955,0.936
2,1000,50000,10,0.098,1,0.179,0,0,0
2,50,200,40,0.909,0.625,0.741,0.793,0.958,0.868
2,100,1000,10,0.8,0.706,0.75,0.97,0.982,0.976
2,50,1000,30,0,0,0,0.706,1,0.827
1,1000,10000,10,0.111,1,0.2,0,0,0
2,1000,200,5,0,0,0,1,0.875,0.933
1,500,500,30,0.615,0.593,0.604,0.851,0.863,0.857
2,20,500,10,1,0.364,0.533,0.927,1,0.962
1,20,500,5,0,0,0,0.95,1,0.974
2,50,1000,10,0.442,0.792,0.567,0.964,0.846,0.901
1,1000,5000,50,0.952,1,0.975,1,0.947,0.973
2,50,200,10,0,0,0,0.875,1,0.933
1,100,50000,5,0.972,1,0.986,1,0.999,0.999
1,20,200,20,0,0,0,0.925,1,0.961
1,500,1000,40,0,0,0,0.641,1,0.781
1,500,5000,30,0,0,0,0.708,1,0.829
2,500,500,40,0.852,0.676,0.754,0.849,0.939,0.892
1,50,5000,5,0.553,1,0.712,1,0.954,0.976
1,50,200,5,0,0,0,0.95,1,0.974
2,1000,200,30,0.917,0.786,0.846,0.893,0.962,0.926
2,100,1000,5,0,0,0,0.944,1,0.971
1,20,1000,40,0.848,1,0.918,1,0.885,0.939
2,1000,5000,10,0.941,0.99,0.964,0.999,0.993,0.996
1,1000,1000,10,0.082,1,0.152,0,0,0
2,500,200,5,0,0,0,0.975,1,0.987
2,1000,500,40,0.33,1,0.496,0,0,0
2,100,50000,10,0.973,0.997,0.985,1,0.997,0.998
2,20,200,40,0,0,0,0.525,1,0.689
2,100,200,20,0,0,0,0.9,1,0.947
1,20,10000,20,0.929,1,0.963,1,0.982,0.991
1,20,50000,40,0.999,1,1,1,0.999,1
2,500,5000,10,0.957,0.936,0.946,0.993,0.996,0.994
2,100,200,30,0.3,1,0.462,0,0,0
2,50,50000,10,0.989,0.988,0.988,0.999,0.999,0.999
2,20,10000,10,0.93,1,0.964,1,0.991,0.996
1,1000,50000,5,0.049,1,0.093,0,0,0
2,500,10000,40,0.413,1,0.585,0,0,0
1,1000,5000,10,0.953,1,0.976,1,0.996,0.998
1,20,50000,50,0.995,1,0.998,1,0.995,0.998
1,500,10000,50,0.986,0.963,0.974,0.962,0.986,0.974
1,20,1000,5,0.185,0.5,0.27,0.967,0.871,0.916
