FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
1,20,10000,20,1,1,1,1,1,1
1,20,50000,40,1,1,1,1,1,1
2,500,5000,10,0.979,0.979,0.979,0.998,0.998,0.998
2,100,200,30,0.6,1,0.75,1,0.806,0.893
2,50,50000,10,0.998,0.997,0.997,1,1,1
2,20,10000,10,0.989,1,0.994,1,0.999,0.999
1,1000,50000,5,0.051,1,0.097,0,0,0
2,500,10000,40,0.996,0.996,0.996,0.997,0.997,0.997
1,1000,5000,10,0,0,0,0.904,1,0.95
1,20,50000,50,1,1,1,1,1,1
1,500,10000,50,0.993,1,0.996,1,0.993,0.997
1,20,1000,5,1,1,1,1,1,1
1,50,50000,5,1,1,1,1,1,1
2,500,1000,20,0.482,0.952,0.64,0.982,0.719,0.83
1,1000,200,20,1,0.9,0.947,0.968,1,0.984
2,50,10000,30,0.996,1,0.998,1,0.998,0.999
1,50,200,10,1,0.833,0.909,0.971,1,0.986
1,1000,1000,40,0.768,0.851,0.808,0.903,0.843,0.872
1,50,50000,30,0.999,1,1,1,1,1
1,500,5000,10,1,1,1,1,1,1
2,500,200,20,0,0,0,0.825,1,0.904
2,100,500,30,0.828,0.923,0.873,0.972,0.932,0.952
1,1000,200,5,0,0,0,0.946,0.921,0.933
2,1000,1000,10,0.423,0.917,0.579,0.994,0.918,0.955
1,50,500,10,0.938,1,0.968,1,0.988,0.994
2,100,500,40,0.953,1,0.976,1,0.959,0.979
1,100,50000,50,0.999,1,1,1,0.999,0.999
1,50,10000,10,0.984,1,0.992,1,0.998,0.999
1,20,50000,10,1,1,1,1,1,1
2,20,50000,30,0.998,1,0.999,1,0.999,0.999
2,50,10000,10,0.983,1,0.992,1,0.998,0.999
2,50,200,30,0.938,0.882,0.909,0.917,0.957,0.936
2,100,10000,40,1,0.997,0.999,0.998,1,0.999
2,20,5000,5,0.978,0.978,0.978,0.999,0.999,0.999
2,500,200,10,0,0,0,0.95,1,0.974
2,50,5000,30,0.984,1,0.992,1,0.992,0.996
1,1000,50000,30,0,0,0,0.702,1,0.825
1,500,50000,40,0.998,1,0.999,1,0.999,0.999
2,100,10000,5,0.991,0.991,0.991,0.999,0.999,0.999
2,100,1000,50,0.968,1,0.984,1,0.972,0.986
1,1000,50000,50,0,0,0,0.496,1,0.663
1,50,5000,50,1,1,1,1,1,1
2,500,10000,50,0.986,1,0.993,1,0.986,0.993
1,50,500,20,1,1,1,1,1,1
1,50,5000,30,0.997,1,0.998,1,0.998,0.999
1,500,1000,30,0.73,0.915,0.812,0.959,0.853,0.903
1,100,500,30,1,1,1,1,1,1
2,1000,10000,5,0.991,0.982,0.987,0.999,0.999,0.999
1,100,500,50,1,1,1,1,1,1
1,20,1000,30,1,1,1,1,1,1
2,50,5000,10,0.98,1,0.99,1,0.998,0.999
1,100,1000,10,1,1,1,1,1,1
1,50,5000,10,0.972,1,0.986,1,0.996,0.998
2,100,1000,40,0.986,0.948,0.967,0.968,0.992,0.98
1,100,10000,50,0.998,1,0.999,1,0.998,0.999
2,50,50000,30,1,0.999,0.999,0.999,1,1
2,20,5000,10,0.957,1,0.978,1,0.995,0.998
1,50,1000,20,1,1,1,1,1,1
1,500,50000,5,0.89,1,0.942,1,0.994,0.997
2,20,10000,5,0.967,1,0.983,1,0.998,0.999
2,20,500,20,0.96,1,0.98,1,0.987,0.993
2,20,500,5,0.2,0.5,0.286,0.989,0.959,0.974
1,20,1000,20,0.964,1,0.982,1,0.993,0.997
1,1000,1000,5,0.407,0.917,0.564,0.994,0.913,0.952
1,100,1000,40,0.916,1,0.956,1,0.944,0.971
2,50,50000,20,1,1,1,1,1,1
1,50,1000,5,1,1,1,1,1,1
1,500,200,40,0.5,0.588,0.541,0.65,0.565,0.605
2,50,200,50,0.895,0.944,0.919,0.952,0.909,0.93
1,100,500,10,0.909,0.909,0.909,0.989,0.989,0.989
1,50,200,40,0.895,1,0.944,1,0.913,0.955
2,1000,500,30,0.833,0.87,0.851,0.961,0.948,0.954
2,20,5000,30,0.99,1,0.995,1,0.996,0.998
2,500,50000,50,0.999,1,1,1,0.999,0.999
1,1000,1000,20,0.818,0.923,0.867,0.98,0.949,0.964
1,1000,50000,10,0,0,0,0.896,1,0.945
1,1000,10000,30,0.307,1,0.47,0,0,0
2,20,5000,50,1,1,1,1,1,1
1,100,10000,40,1,1,1,1,1,1
1,20,5000,30,0.993,1,0.996,1,0.997,0.999
1,20,5000,10,0.99,1,0.995,1,0.999,0.999
2,100,50000,5,0.985,1,0.992,1,0.999,1
2,100,5000,40,0.983,1,0.991,1,0.988,0.994
2,1000,5000,40,0.99,1,0.995,1,0.994,0.997
1,50,5000,40,0.998,1,0.999,1,0.998,0.999
2,100,5000,10,1,1,1,1,1,1
1,50,1000,40,1,1,1,1,1,1
1,20,5000,5,1,1,1,1,1,1
1,100,1000,20,1,1,1,1,1,1
2,500,5000,20,1,0.99,0.995,0.998,1,0.999
2,500,50000,10,0.995,0.992,0.993,0.999,0.999,0.999
2,20,200,10,1,0.5,0.667,0.974,1,0.987
2,500,5000,40,0.987,1,0.993,1,0.992,0.996
1,100,5000,5,0.962,0.981,0.971,0.999,0.998,0.998
1,500,200,30,0.929,0.929,0.929,0.962,0.962,0.962
1,20,50000,5,1,1,1,1,1,1
1,500,50000,30,0.998,1,0.999,1,0.999,1
2,1000,500,50,1,0.717,0.835,0.758,1,0.862
1,500,200,5,0,0,0,1,0.975,0.987
2,500,5000,5,0.962,0.962,0.962,0.998,0.998,0.998
1,20,200,10,1,1,1,1,1,1
1,50,10000,5,1,1,1,1,1,1
1,100,500,40,0.917,1,0.957,1,0.947,0.973
1,20,200,30,0.9,1,0.947,1,0.968,0.984
1,1000,500,50,0.951,1,0.975,1,0.967,0.983
1,50,200,50,0.875,1,0.933,1,0.842,0.914
2,1000,50000,5,0.971,1,0.986,1,0.998,0.999
2,1000,500,20,0.64,0.727,0.681,0.92,0.885,0.902
1,1000,200,30,1,0.778,0.875,0.939,1,0.969
1,500,1000,20,0.721,0.939,0.816,0.987,0.926,0.955
2,50,5000,5,1,0.981,0.991,0.999,1,0.999
2,1000,1000,50,0.816,0.979,0.89,0.975,0.79,0.873
1,100,10000,30,1,1,1,1,1,1
1,500,5000,40,0.993,1,0.996,1,0.995,0.997
2,100,500,10,0.6,0.857,0.706,0.989,0.957,0.973
2,20,50000,10,0.995,1,0.997,1,0.999,1
2,20,5000,20,1,1,1,1,1,1
1,100,50000,30,0.993,1,0.997,1,0.997,0.999
1,50,10000,20,0.997,1,0.999,1,0.999,1
1,100,1000,5,0.8,1,0.889,1,0.988,0.994
2,20,50000,40,0.999,1,0.999,1,1,1
1,50,5000,20,1,1,1,1,1,1
2,50,500,40,0.98,1,0.99,1,0.975,0.987
1,50,1000,10,0.958,1,0.979,1,0.994,0.997
2,500,50000,30,0.998,1,0.999,1,0.999,1
2,500,50000,20,0.995,0.968,0.981,0.992,0.999,0.995
1,20,10000,40,1,1,1,1,1,1
2,50,1000,50,0.991,0.991,0.991,0.989,0.989,0.989
2,20,1000,50,1,1,1,1,1,1
2,20,1000,10,0.905,1,0.95,1,0.988,0.994
2,100,5000,20,0.995,1,0.998,1,0.999,0.999
2,100,500,50,0.958,0.958,0.958,0.952,0.952,0.952
2,20,200,20,1,1,1,1,1,1
2,1000,200,20,0.333,0.167,0.222,0.865,0.941,0.901
1,20,500,50,1,1,1,1,1,1
2,500,1000,50,0.956,0.747,0.839,0.827,0.972,0.894
2,1000,500,5,0.286,1,0.444,1,0.949,0.974
1,500,5000,20,1,1,1,1,1,1
2,1000,10000,40,0.992,1,0.996,1,0.995,0.998
2,1000,5000,5,0.942,0.98,0.961,0.999,0.997,0.998
2,500,200,50,0.95,0.905,0.927,0.9,0.947,0.923
1,50,500,50,1,1,1,1,1,1
1,500,1000,10,0.468,1,0.637,1,0.801,0.89
2,20,1000,40,1,1,1,1,1,1
1,1000,5000,5,0.933,1,0.966,1,0.997,0.998
2,1000,10000,10,0.103,1,0.187,0,0,0
1,500,500,5,0.714,0.714,0.714,0.978,0.978,0.978
2,100,10000,20,0.995,1,0.997,1,0.999,0.999
2,500,500,10,0.643,0.692,0.667,0.953,0.943,0.948
2,500,10000,10,0.98,1,0.99,1,0.998,0.999
1,500,50000,10,0.988,1,0.994,1,0.999,0.999
2,50,10000,20,1,0.992,0.996,0.998,1,0.999
1,50,500,40,0.95,1,0.974,1,0.962,0.98
1,1000,1000,30,0.533,1,0.695,1,0.475,0.644
2,1000,50000,50,0.504,1,0.67,0,0,0
1,500,10000,10,0.975,1,0.988,1,0.997,0.999
2,50,500,10,0.667,0.6,0.632,0.956,0.967,0.961
2,100,10000,10,1,1,1,1,1,1
2,50,5000,40,0.992,1,0.996,1,0.995,0.997
2,1000,500,10,0.714,0.714,0.714,0.978,0.978,0.978
1,1000,200,10,1,1,1,1,1,1
1,100,10000,20,0.994,1,0.997,1,0.999,0.999
1,1000,10000,20,0.97,1,0.985,1,0.992,0.996
1,50,50000,10,0.991,1,0.996,1,0.999,0.999
1,1000,500,10,1,0.8,0.889,0.99,1,0.995
2,1000,10000,20,0.998,1,0.999,1,0.999,1
2,100,200,10,0.625,1,0.769,1,0.914,0.955
1,20,1000,10,1,0.938,0.968,0.994,1,0.997
1,500,10000,40,0.994,1,0.997,1,0.996,0.998
2,20,200,50,0.654,1,0.791,1,0.609,0.757
1,500,10000,20,0,0,0,0.796,1,0.886
2,1000,1000,30,0.667,0.93,0.777,0.978,0.868,0.92
2,50,200,20,0.9,1,0.947,1,0.968,0.984
1,500,1000,50,0.916,0.888,0.902,0.89,0.918,0.904
2,100,500,20,0.839,1,0.912,1,0.932,0.965
2,20,1000,5,0.667,0.857,0.75,0.994,0.983,0.988
2,1000,1000,20,0.833,0.946,0.886,0.987,0.956,0.971
1,100,1000,30,1,1,1,1,1,1
1,100,5000,20,0.994,1,0.997,1,0.999,0.999
1,20,10000,50,0.997,1,0.999,1,0.997,0.998
1,100,200,50,0.895,0.85,0.872,0.857,0.9,0.878
2,100,10000,30,1,0.998,0.999,0.999,1,1
2,100,500,5,0.6,0.429,0.5,0.958,0.978,0.968
1,20,200,40,0.917,1,0.957,1,0.889,0.941
2,50,10000,40,1,1,1,1,1,1
2,50,500,20,0.909,1,0.952,1,0.975,0.987
2,100,200,40,1,0.923,0.96,0.964,1,0.982
2,500,200,40,1,0.905,0.95,0.905,1,0.95
1,50,200,30,0.846,1,0.917,1,0.931,0.964
1,50,10000,30,1,1,1,1,1,1
2,500,10000,5,0.909,0.99,0.948,0.999,0.995,0.997
2,1000,5000,20,0.99,0.995,0.993,0.999,0.997,0.998
2,1000,10000,50,0.992,0.987,0.989,0.989,0.992,0.99
1,20,500,10,1,1,1,1,1,1
1,20,50000,20,0.998,1,0.999,1,1,1
1,50,500,30,0.973,0.973,0.973,0.984,0.984,0.984
2,500,500,30,1,0.963,0.981,0.986,1,0.993
1,500,10000,30,0.993,1,0.997,1,0.997,0.999
2,50,50000,5,0.996,1,0.998,1,1,1
1,100,200,5,0.333,1,0.5,1,0.949,0.974
1,50,500,5,1,0.333,0.5,0.98,1,0.99
1,50,10000,40,1,1,1,1,1,1
1,1000,10000,40,0,0,0,0.602,1,0.752
1,100,10000,5,0.989,1,0.995,1,0.999,1
1,20,500,20,0.947,1,0.973,1,0.988,0.994
2,20,500,50,0.911,1,0.953,1,0.872,0.932
1,20,5000,40,1,1,1,1,1,1
2,100,200,5,1,1,1,1,1,1
2,100,50000,20,0.998,1,0.999,1,1,1
1,100,5000,50,1,1,1,1,1,1
2,100,1000,20,0.921,0.972,0.946,0.993,0.979,0.986
2,1000,50000,20,0.998,1,0.999,1,0.999,1
2,1000,5000,50,1,0.99,0.995,0.99,1,0.995
1,500,500,20,1,1,1,1,1,1
1,100,500,20,0.85,1,0.919,1,0.964,0.982
2,20,1000,20,1,1,1,1,1,1
1,100,1000,50,1,1,1,1,1,1
1,100,200,10,1,0.75,0.857,0.973,1,0.986
1,500,50000,50,0.986,1,0.993,1,0.985,0.993
