FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,1,1,1,1,1,1
2,100,50000,40,1,1,1,1,1,1
1,50,200,20,0.667,0.333,0.444,0.892,0.971,0.93
1,20,10000,10,1,1,1,1,1,1
1,20,5000,20,1,1,1,1,1,1
1,1000,50000,40,0,0,0,0.598,1,0.748
1,500,500,40,0,0,0,0.6,1,0.75
2,20,10000,40,1,1,1,1,1,1
2,1000,10000,30,1,1,1,1,1,1
2,1000,50000,40,0,0,0,0.604,1,0.753
2,100,5000,30,1,1,1,1,1,1
2,50,500,50,1,0.958,0.979,0.955,1,0.977
2,500,5000,50,1,1,1,1,1,1
2,500,200,30,1,1,1,1,1,1
2,20,5000,40,1,1,1,1,1,1
1,100,10000,10,0.995,1,0.997,1,0.999,1
1,500,200,50,0.933,0.824,0.875,0.88,0.957,0.917
2,50,200,5,0,0,0,0.875,1,0.933
1,500,200,20,0.8,0.8,0.8,0.971,0.971,0.971
2,500,50000,40,1,1,1,1,1,1
1,500,1000,5,0.211,0.923,0.343,0.993,0.753,0.856
1,20,500,30,0.889,0.923,0.906,0.973,0.959,0.966
2,1000,50000,30,1,1,1,1,1,1
1,100,50000,40,1,1,1,1,1,1
2,100,10000,50,1,1,1,1,1,1
2,500,50000,5,1,1,1,1,1,1
1,1000,500,5,0,0,0,0.94,1,0.969
1,1000,10000,5,0.949,0.949,0.949,0.997,0.997,0.997
2,100,5000,50,1,1,1,1,1,1
1,1000,500,20,0,0,0,0.76,1,0.864
2,20,50000,5,1,1,1,1,1,1
1,100,5000,40,1,1,1,1,1,1
2,500,1000,5,1,1,1,1,1,1
2,20,10000,20,1,1,1,1,1,1
2,1000,5000,30,1,1,1,1,1,1
1,100,50000,20,0.999,1,1,1,1,1
1,100,50000,10,1,1,1,1,1,1
1,50,10000,50,1,1,1,1,1,1
1,20,1000,50,0.98,1,0.99,1,0.98,0.99
1,500,10000,5,0.612,1,0.759,1,0.966,0.983
1,1000,5000,40,0.995,1,0.997,1,0.997,0.998
1,20,10000,5,1,1,1,1,1,1
1,100,500,5,1,0.667,0.8,0.99,1,0.995
2,50,1000,20,1,1,1,1,1,1
2,20,1000,30,1,1,1,1,1,1
2,20,10000,30,1,1,1,1,1,1
2,500,500,5,1,1,1,1,1,1
2,20,50000,20,1,1,1,1,1,1
1,1000,1000,50,0.851,0.444,0.584,0.662,0.933,0.775
1,1000,200,40,0,0,0,0.65,1,0.788
1,500,500,10,0,0,0,0.87,1,0.93
1,500,5000,5,0.981,0.929,0.954,0.996,0.999,0.997
1,20,200,5,0.5,0.5,0.5,0.974,0.974,0.974
1,50,1000,30,0.967,1,0.983,1,0.983,0.992
1,50,50000,50,1,1,1,1,1,1
2,50,500,5,1,0.857,0.923,0.989,1,0.995
1,1000,5000,30,0.31,1,0.473,0,0,0
1,100,200,40,0.524,1,0.688,1,0.655,0.792
2,20,10000,50,1,1,1,1,1,1
2,100,200,50,1,1,1,1,1,1
2,100,50000,30,1,1,1,1,1,1
1,50,1000,50,0.96,0.99,0.974,0.99,0.962,0.976
1,500,200,10,0.857,1,0.923,1,0.971,0.985
2,50,1000,40,1,1,1,1,1,1
2,50,1000,5,1,1,1,1,1,1
2,20,500,40,1,1,1,1,1,1
1,20,5000,50,1,1,1,1,1,1
2,20,500,30,1,1,1,1,1,1
1,20,10000,30,1,1,1,1,1,1
1,20,50000,30,1,1,1,1,1,1
2,20,200,30,1,1,1,1,1,1
1,1000,10000,50,0.898,0.989,0.941,0.988,0.884,0.933
2,100,50000,50,1,1,1,1,1,1
1,1000,50000,20,0.207,1,0.343,0,0,0
1,100,200,30,0.818,0.9,0.857,0.966,0.933,0.949
2,50,50000,50,1,1,1,1,1,1
1,100,5000,10,1,1,1,1,1,1
1,1000,500,40,0.949,0.925,0.937,0.951,0.967,0.959
1,1000,200,50,0.87,0.909,0.889,0.882,0.833,0.857
2,500,10000,20,1,1,1,1,1,1
1,100,5000,30,1,1,1,1,1,1
2,1000,200,10,1,0.75,0.857,0.973,1,0.986
2,1000,1000,40,0.954,0.883,0.917,0.898,0.96,0.928
2,100,1000,30,1,0.983,0.992,0.992,1,0.996
1,500,5000,50,0.49,1,0.658,0,0,0
2,1000,50000,10,0.098,1,0.179,0,0,0
2,50,200,40,1,1,1,1,1,1
2,100,1000,10,0.941,1,0.97,1,0.994,0.997
2,50,1000,30,1,1,1,1,1,1
1,1000,10000,10,0.927,1,0.962,1,0.991,0.996
2,1000,200,5,1,1,1,1,1,1
1,500,500,30,0.794,0.964,0.871,0.985,0.903,0.942
2,20,500,10,1,1,1,1,1,1
1,20,500,5,0.833,0.833,0.833,0.989,0.989,0.989
2,50,1000,10,1,0.952,0.976,0.994,1,0.997
1,1000,5000,50,0.51,1,0.675,0,0,0
2,50,200,10,1,1,1,1,1,1
1,100,50000,5,1,1,1,1,1,1
1,20,200,20,1,0.812,0.897,0.889,1,0.941
1,500,1000,40,0.868,0.835,0.852,0.891,0.914,0.902
1,500,5000,30,0.987,1,0.994,1,0.994,0.997
2,500,500,40,1,0.967,0.983,0.986,1,0.993
1,50,5000,5,1,1,1,1,1,1
1,50,200,5,1,0.5,0.667,0.974,1,0.987
2,1000,200,30,0.917,1,0.957,1,0.966,0.982
2,100,1000,5,1,1,1,1,1,1
1,20,1000,40,1,1,1,1,1,1
2,1000,5000,10,1,1,1,1,1,1
1,1000,1000,10,0.2,0.889,0.327,0.983,0.638,0.774
2,500,200,5,1,1,1,1,1,1
2,1000,500,40,1,1,1,1,1,1
2,100,50000,10,1,1,1,1,1,1
2,20,200,40,1,1,1,1,1,1
2,100,200,20,1,1,1,1,1,1
1,20,10000,20,1,1,1,1,1,1
1,20,50000,40,1,1,1,1,1,1
2,500,5000,10,1,0.99,0.995,0.999,1,0.999
2,100,200,30,1,0.923,0.96,0.964,1,0.982
2,50,50000,10,1,1,1,1,1,1
2,20,10000,10,1,1,1,1,1,1
1,1000,50000,5,0.994,1,0.997,1,1,1
2,500,10000,40,1,0.999,0.999,0.999,1,1
1,1000,5000,10,1,1,1,1,1,1
1,20,50000,50,1,1,1,1,1,1
1,500,10000,50,0.993,1,0.997,1,0.993,0.996
1,20,1000,5,0.889,1,0.941,1,0.994,0.997
1,50,50000,5,0.99,1,0.995,1,0.999,1
2,500,1000,20,1,1,1,1,1,1
1,1000,200,20,0.533,1,0.696,1,0.781,0.877
2,50,10000,30,1,1,1,1,1,1
1,50,200,10,0.75,0.429,0.545,0.889,0.97,0.928
1,1000,1000,40,0.762,0.964,0.851,0.967,0.777,0.861
1,50,50000,30,1,1,1,1,1,1
1,500,5000,10,1,1,1,1,1,1
2,500,200,20,1,1,1,1,1,1
2,100,500,30,1,1,1,1,1,1
1,1000,200,5,0,0,0,1,0.95,0.974
2,1000,1000,10,1,1,1,1,1,1
1,50,500,10,0.889,0.889,0.889,0.989,0.989,0.989
2,100,500,40,1,1,1,1,1,1
1,100,50000,50,1,1,1,1,1,1
1,50,10000,10,1,1,1,1,1,1
1,20,50000,10,1,1,1,1,1,1
2,20,50000,30,1,1,1,1,1,1
2,50,10000,10,1,1,1,1,1,1
2,50,200,30,1,1,1,1,1,1
2,100,10000,40,1,1,1,1,1,1
2,20,5000,5,1,1,1,1,1,1
2,500,200,10,1,0.875,0.933,0.97,1,0.985
2,50,5000,30,1,1,1,1,1,1
1,1000,50000,30,0.999,1,1,1,1,1
1,500,50000,40,0,0,0,0.596,1,0.747
2,100,10000,5,1,1,1,1,1,1
2,100,1000,50,1,1,1,1,1,1
1,1000,50000,50,1,1,1,1,1,1
1,50,5000,50,1,1,1,1,1,1
2,500,10000,50,1,1,1,1,1,1
1,50,500,20,1,0.957,0.978,0.987,1,0.994
1,50,5000,30,0.996,1,0.998,1,0.999,0.999
1,500,1000,30,0.694,0.943,0.8,0.976,0.845,0.906
1,100,500,30,0.8,0.615,0.696,0.875,0.946,0.909
2,1000,10000,5,1,1,1,1,1,1
1,100,500,50,0.979,1,0.989,1,0.977,0.989
1,20,1000,30,1,1,1,1,1,1
2,50,5000,10,1,1,1,1,1,1
1,100,1000,10,0.9,0.947,0.923,0.994,0.988,0.991
1,50,5000,10,0.989,1,0.995,1,0.999,0.999
2,100,1000,40,1,1,1,1,1,1
1,100,10000,50,0.997,1,0.998,1,0.997,0.998
2,50,50000,30,1,1,1,1,1,1
2,20,5000,10,1,1,1,1,1,1
1,50,1000,20,0.972,0.972,0.972,0.993,0.993,0.993
1,500,50000,5,0.97,1,0.985,1,0.998,0.999
2,20,10000,5,1,1,1,1,1,1
2,20,500,20,1,1,1,1,1,1
2,20,500,5,1,1,1,1,1,1
1,20,1000,20,1,1,1,1,1,1
1,1000,1000,5,0.444,0.8,0.571,0.995,0.974,0.984
1,100,1000,40,1,1,1,1,1,1
2,50,50000,20,1,1,1,1,1,1
1,50,1000,5,0.429,0.667,0.522,0.982,0.953,0.967
1,500,200,40,0.944,0.944,0.944,0.955,0.955,0.955
2,50,200,50,1,1,1,1,1,1
1,100,500,10,0.818,0.818,0.818,0.978,0.978,0.978
1,50,200,40,0.895,1,0.944,1,0.913,0.955
2,1000,500,30,1,1,1,1,1,1
2,20,5000,30,1,1,1,1,1,1
2,500,50000,50,1,1,1,1,1,1
1,1000,1000,20,0,0,0,0.738,1,0.85
1,1000,50000,10,0.995,1,0.998,1,0.999,1
1,1000,10000,30,0.987,1,0.994,1,0.994,0.997
2,20,5000,50,1,1,1,1,1,1
1,100,10000,40,1,1,1,1,1,1
1,20,5000,30,1,1,1,1,1,1
1,20,5000,10,1,1,1,1,1,1
2,100,50000,5,1,1,1,1,1,1
2,100,5000,40,1,0.998,0.999,0.998,1,0.999
2,1000,5000,40,1,0.992,0.996,0.995,1,0.998
1,50,5000,40,0.998,1,0.999,1,0.998,0.999
2,100,5000,10,1,1,1,1,1,1
1,50,1000,40,1,0.987,0.993,0.992,1,0.996
1,20,5000,5,1,1,1,1,1,1
1,100,1000,20,1,1,1,1,1,1
2,500,5000,20,1,1,1,1,1,1
2,500,50000,10,1,1,1,1,1,1
2,20,200,10,1,1,1,1,1,1
2,500,5000,40,1,1,1,1,1,1
1,100,5000,5,1,1,1,1,1,1
1,500,200,30,0,0,0,0.75,1,0.857
1,20,50000,5,1,1,1,1,1,1
1,500,50000,30,0.999,1,0.999,1,0.999,1
2,1000,500,50,0.958,0.979,0.968,0.981,0.962,0.971
1,500,200,5,0.05,1,0.095,0,0,0
2,500,5000,5,1,1,1,1,1,1
1,20,200,10,1,0.333,0.5,0.895,1,0.944
1,50,10000,5,1,1,1,1,1,1
1,100,500,40,0.923,0.889,0.906,0.953,0.968,0.961
1,20,200,30,1,1,1,1,1,1
1,1000,500,50,0,0,0,0.53,1,0.693
1,50,200,50,0.812,1,0.897,1,0.889,0.941
2,1000,50000,5,1,1,1,1,1,1
2,1000,500,20,1,1,1,1,1,1
1,1000,200,30,0.667,0.333,0.444,0.765,0.929,0.839
1,500,1000,20,0.544,0.756,0.633,0.928,0.831,0.877
2,50,5000,5,1,0.982,0.991,0.999,1,0.999
2,1000,1000,50,0.962,0.864,0.91,0.897,0.972,0.933
1,100,10000,30,1,1,1,1,1,1
1,500,5000,40,1,1,1,1,1,1
2,100,500,10,1,1,1,1,1,1
2,20,50000,10,1,1,1,1,1,1
2,20,5000,20,1,1,1,1,1,1
1,100,50000,30,1,1,1,1,1,1
1,50,10000,20,0.98,1,0.99,1,0.995,0.998
1,100,1000,5,1,1,1,1,1,1
2,20,50000,40,1,1,1,1,1,1
1,50,5000,20,1,1,1,1,1,1
2,50,500,40,0.972,1,0.986,1,0.982,0.991
1,50,1000,10,1,0.941,0.97,0.994,1,0.997
2,500,50000,30,1,1,1,1,1,1
2,500,50000,20,1,1,1,1,1,1
1,20,10000,40,1,1,1,1,1,1
2,50,1000,50,1,0.99,0.995,0.99,1,0.995
2,20,1000,50,1,1,1,1,1,1
2,20,1000,10,1,1,1,1,1,1
2,100,5000,20,1,1,1,1,1,1
2,100,500,50,1,1,1,1,1,1
2,20,200,20,1,0.8,0.889,0.972,1,0.986
2,1000,200,20,1,1,1,1,1,1
1,20,500,50,0.976,1,0.988,1,0.98,0.99
2,500,1000,50,1,0.969,0.984,0.971,1,0.985
2,1000,500,5,1,0.889,0.941,0.989,1,0.995
1,500,5000,20,0.991,1,0.995,1,0.997,0.999
2,1000,10000,40,1,0.999,0.999,0.999,1,1
2,1000,5000,5,1,1,1,1,1,1
2,500,200,50,1,1,1,1,1,1
1,50,500,50,0.956,1,0.977,1,0.957,0.978
1,500,1000,10,0.559,1,0.717,1,0.915,0.955
2,20,1000,40,1,1,1,1,1,1
1,1000,5000,5,1,1,1,1,1,1
2,1000,10000,10,1,1,1,1,1,1
1,500,500,5,0.429,0.6,0.5,0.978,0.958,0.968
2,100,10000,20,1,1,1,1,1,1
2,500,500,10,0.917,0.917,0.917,0.989,0.989,0.989
2,500,10000,10,1,1,1,1,1,1
1,500,50000,10,0.995,1,0.998,1,0.999,1
2,50,10000,20,1,1,1,1,1,1
1,50,500,40,0.973,1,0.986,1,0.981,0.991
1,1000,1000,30,0,0,0,0.651,1,0.789
2,1000,50000,50,0,0,0,0.498,1,0.665
1,500,10000,10,0.102,1,0.185,0,0,0
2,50,500,10,1,1,1,1,1,1
2,100,10000,10,1,0.994,0.997,0.999,1,1
2,50,5000,40,1,1,1,1,1,1
2,1000,500,10,1,1,1,1,1,1
1,1000,200,10,0.75,1,0.857,1,0.973,0.986
1,100,10000,20,1,1,1,1,1,1
1,1000,10000,20,0.976,1,0.988,1,0.994,0.997
1,50,50000,10,1,1,1,1,1,1
1,1000,500,10,0.875,0.7,0.778,0.967,0.989,0.978
