FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0.0,0.0,0.0,0.575,1.0,0.73
2,100,50000,40,0.541,0.986,0.699,0.979,0.438,0.605
1,50,200,20,0.667,0.4,0.5,0.919,0.971,0.944
1,20,10000,10,0.561,0.636,0.596,0.961,0.947,0.954
1,20,5000,20,0.633,0.777,0.698,0.941,0.887,0.913
1,1000,50000,40,0.0,0.0,0.0,0.595,1.0,0.746
1,500,500,40,0.0,0.0,0.0,0.5,1.0,0.667
2,20,10000,40,1.0,1.0,1.0,1.0,1.0,1.0
2,1000,10000,30,0.0,0.0,0.0,0.7,1.0,0.824
2,1000,50000,40,0.0,0.0,0.0,0.601,1.0,0.751
2,100,5000,30,0.582,0.942,0.719,0.965,0.701,0.812
2,50,500,50,1.0,0.978,0.989,0.978,1.0,0.989
2,500,5000,50,0.0,0.0,0.0,0.486,1.0,0.654
2,500,200,30,0.0,0.0,0.0,0.725,1.0,0.841
2,20,5000,40,1.0,1.0,1.0,1.0,1.0,1.0
1,100,10000,10,0.304,0.995,0.466,0.999,0.73,0.843
1,500,200,50,0.857,0.5,0.632,0.538,0.875,0.667
2,50,200,5,0.0,0.0,0.0,0.95,1.0,0.974
1,500,200,20,0.2,1.0,0.333,0.0,0.0,0.0
2,500,50000,40,0.0,0.0,0.0,0.6,1.0,0.75
1,500,1000,5,0.5,1.0,0.667,1.0,0.947,0.973
1,20,500,30,0.609,0.56,0.583,0.857,0.88,0.868
2,1000,50000,30,0.0,0.0,0.0,0.705,1.0,0.827
1,100,50000,40,0.83,1.0,0.907,1.0,0.866,0.928
2,100,10000,50,0.817,0.995,0.897,0.994,0.789,0.88
2,500,50000,5,0.0,0.0,0.0,0.955,1.0,0.977
1,1000,500,5,0.2,0.2,0.2,0.958,0.958,0.958
1,1000,10000,5,0.541,1.0,0.702,1.0,0.953,0.976
2,100,5000,50,0.927,0.892,0.909,0.89,0.925,0.907
1,1000,500,20,0.833,0.312,0.455,0.883,0.988,0.933
2,20,50000,5,1.0,1.0,1.0,1.0,1.0,1.0
1,100,5000,40,0.878,0.993,0.932,0.994,0.901,0.945
2,500,1000,5,0.0,0.0,0.0,0.955,1.0,0.977
2,20,10000,20,1.0,1.0,1.0,1.0,1.0,1.0
2,1000,5000,30,0.0,0.0,0.0,0.719,1.0,0.837
1,100,50000,20,0.632,0.774,0.696,0.941,0.888,0.914
1,100,50000,10,0.998,1.0,0.999,1.0,1.0,1.0
1,50,10000,50,0.896,0.893,0.894,0.895,0.898,0.896
1,20,1000,50,0.653,0.431,0.519,0.516,0.725,0.603
1,500,10000,5,0.0,0.0,0.0,0.959,1.0,0.979
