FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0.0,0.0,0.0,0.525,1.0,0.689
2,100,50000,40,0.605,0.915,0.729,0.916,0.61,0.732
1,50,200,20,0.5,0.125,0.2,0.816,0.969,0.886
1,20,10000,10,0.995,1.0,0.997,1.0,0.999,1.0
1,20,5000,20,0.973,1.0,0.986,1.0,0.994,0.997
1,1000,50000,40,0.0,0.0,0.0,0.601,1.0,0.751
1,500,500,40,0.778,0.538,0.636,0.753,0.902,0.821
2,20,10000,40,0.999,1.0,0.999,1.0,0.999,1.0
2,1000,10000,30,0.0,0.0,0.0,0.727,1.0,0.842
2,1000,50000,40,0.0,0.0,0.0,0.604,1.0,0.753
2,100,5000,30,0.683,0.888,0.772,0.948,0.833,0.887
2,50,500,50,0.769,0.426,0.548,0.578,0.86,0.692
2,500,5000,50,0.0,0.0,0.0,0.467,1.0,0.637
2,500,200,30,0.0,0.0,0.0,0.775,1.0,0.873
2,20,5000,40,0.982,0.997,0.99,0.998,0.988,0.993
1,100,10000,10,0.188,0.789,0.304,0.967,0.643,0.772
1,500,200,50,0.484,0.625,0.545,0.0,0.0,0.0
2,50,200,5,0.0,0.0,0.0,1.0,0.475,0.644
1,500,200,20,0.75,0.6,0.667,0.875,0.933,0.903
2,500,50000,40,0.0,0.0,0.0,0.597,1.0,0.748
1,500,1000,5,0.13,0.7,0.219,0.979,0.753,0.851
1,20,500,30,1.0,0.5,0.667,0.864,1.0,0.927
2,1000,50000,30,0.0,0.0,0.0,0.705,1.0,0.827
1,100,50000,40,0.633,0.938,0.755,0.937,0.63,0.754
2,100,10000,50,0.778,0.764,0.771,0.75,0.765,0.758
2,500,50000,5,0.0,0.0,0.0,0.95,1.0,0.974
1,1000,500,5,0.0,0.0,0.0,0.96,1.0,0.98
1,1000,10000,5,0.0,0.0,0.0,0.948,1.0,0.973
2,100,5000,50,0.695,0.563,0.622,0.645,0.762,0.699
1,1000,500,20,0.0,0.0,0.0,0.83,1.0,0.907
2,20,50000,5,0.976,1.0,0.988,1.0,0.999,0.999
1,100,5000,40,0.724,0.918,0.81,0.935,0.771,0.845
2,500,1000,5,0.0,0.0,0.0,0.96,1.0,0.98
2,20,10000,20,0.941,0.992,0.966,0.998,0.984,0.991
2,1000,5000,30,0.0,0.0,0.0,0.711,1.0,0.831
1,100,50000,20,0.573,0.488,0.527,0.882,0.913,0.898
1,100,50000,10,0.203,0.457,0.281,0.936,0.815,0.871
1,50,10000,50,0.875,0.913,0.893,0.913,0.876,0.894
1,20,1000,50,0.551,0.663,0.602,0.677,0.568,0.618
1,500,10000,5,0.0,0.0,0.0,0.948,1.0,0.973
1,1000,5000,40,0.651,0.43,0.518,0.677,0.838,0.749
1,20,10000,5,0.96,1.0,0.98,1.0,0.998,0.999
1,100,500,5,0.077,0.167,0.105,0.943,0.872,0.906
2,50,1000,20,0.682,1.0,0.811,1.0,0.907,0.951
2,20,1000,30,0.72,1.0,0.838,1.0,0.77,0.87
2,20,10000,30,0.961,0.998,0.979,0.999,0.982,0.991
2,500,500,5,0.0,0.0,0.0,0.95,1.0,0.974
2,20,50000,20,0.994,1.0,0.997,1.0,0.998,0.999
1,1000,1000,50,0.719,0.804,0.759,0.767,0.673,0.717
1,1000,200,40,0.733,0.647,0.688,0.76,0.826,0.792
1,500,500,10,0.326,1.0,0.492,1.0,0.635,0.777
1,500,5000,5,0.0,0.0,0.0,0.957,1.0,0.978
1,20,200,5,0.077,0.5,0.133,0.963,0.684,0.8
1,50,1000,30,0.794,0.982,0.878,0.991,0.888,0.937
1,50,50000,50,0.911,1.0,0.953,1.0,0.903,0.949
2,50,500,5,0.207,1.0,0.343,1.0,0.755,0.861
1,1000,5000,30,0.626,0.671,0.648,0.862,0.837,0.849
1,100,200,40,0.3,0.158,0.207,0.467,0.667,0.549
2,20,10000,50,0.989,0.999,0.994,0.999,0.99,0.995
2,100,200,50,0.655,0.905,0.76,0.818,0.474,0.6
2,100,50000,30,0.589,0.458,0.516,0.79,0.865,0.826
1,50,1000,50,0.848,0.824,0.836,0.822,0.847,0.834
1,500,200,10,0.429,0.5,0.462,0.909,0.882,0.896
2,50,1000,40,0.784,0.644,0.707,0.746,0.855,0.797
2,50,1000,5,0.176,0.75,0.286,0.986,0.837,0.906
2,20,500,40,0.766,1.0,0.867,1.0,0.796,0.887
1,20,5000,50,0.99,1.0,0.995,1.0,0.99,0.995
2,20,500,30,0.738,0.838,0.785,0.897,0.825,0.86
1,20,10000,30,0.992,1.0,0.996,1.0,0.997,0.998
1,20,50000,30,0.999,1.0,0.999,1.0,0.999,1.0
2,20,200,30,0.652,0.833,0.732,0.824,0.636,0.718
1,1000,10000,50,0.585,0.501,0.539,0.589,0.669,0.627
2,100,50000,50,0.639,0.783,0.703,0.729,0.569,0.639
1,1000,50000,20,0.0,0.0,0.0,0.801,1.0,0.89
1,100,200,30,0.5,0.5,0.5,0.667,0.667,0.667
2,50,50000,50,0.865,0.812,0.838,0.819,0.87,0.844
1,100,5000,10,0.189,0.978,0.317,0.996,0.556,0.714
1,1000,500,40,0.87,0.93,0.899,0.944,0.895,0.919
1,1000,200,50,0.778,0.467,0.583,0.742,0.92,0.821
2,500,10000,20,0.0,0.0,0.0,0.8,1.0,0.889
1,100,5000,30,0.509,0.745,0.605,0.851,0.67,0.75
2,1000,200,10,0.0,0.0,0.0,0.875,1.0,0.933
2,1000,1000,40,0.0,0.0,0.0,0.575,1.0,0.73
