FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0.829,0.978,0.897,0.964,0.75,0.844
2,100,50000,40,0.996,0.999,0.998,0.999,0.998,0.998
1,50,200,20,0.828,0.923,0.873,0.985,0.963,0.974
1,20,10000,10,0.996,1.0,0.998,1.0,1.0,1.0
1,20,5000,20,0.988,0.995,0.991,0.999,0.997,0.998
1,1000,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
1,500,500,40,0.852,0.955,0.901,0.969,0.893,0.93
2,20,10000,40,0.979,0.997,0.988,0.998,0.985,0.991
2,1000,10000,30,0.974,0.984,0.979,0.993,0.989,0.991
2,1000,50000,40,0.997,0.999,0.998,0.999,0.998,0.999
2,100,5000,30,0.975,0.982,0.979,0.992,0.989,0.991
2,50,500,50,0.886,0.965,0.924,0.961,0.874,0.916
2,500,5000,50,0.987,0.992,0.99,0.993,0.987,0.99
2,500,200,30,0.725,0.725,0.725,0.873,0.873,0.873
2,20,5000,40,0.965,0.997,0.981,0.998,0.976,0.987
1,100,10000,10,0.989,0.972,0.98,0.997,0.999,0.998
1,500,200,50,0.736,0.975,0.839,0.964,0.654,0.779
2,50,200,5,0.0,0.0,0.0,0.981,1.0,0.991
1,500,200,20,0.706,0.8,0.75,0.953,0.924,0.938
2,500,50000,40,0.996,0.999,0.998,0.999,0.998,0.998
1,500,1000,5,0.923,0.414,0.571,0.978,0.999,0.988
1,20,500,30,0.881,0.881,0.881,0.951,0.951,0.951
2,1000,50000,30,0.994,0.997,0.996,0.999,0.997,0.998
1,100,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
2,100,10000,50,0.982,0.998,0.99,0.999,0.982,0.99
2,500,50000,5,0.97,0.962,0.966,0.998,0.998,0.998
1,1000,500,5,1.0,0.238,0.385,0.96,1.0,0.979
1,1000,10000,5,0.968,0.929,0.948,0.996,0.998,0.997
2,100,5000,50,0.981,0.999,0.99,0.998,0.981,0.99
1,1000,500,20,0.894,0.756,0.819,0.943,0.978,0.96
2,20,50000,5,0.971,0.973,0.972,0.999,0.999,0.999
1,100,5000,40,0.997,0.996,0.996,0.997,0.998,0.997
2,500,1000,5,0.667,0.205,0.314,0.961,0.995,0.977
2,20,10000,20,0.965,0.994,0.979,0.999,0.991,0.995
2,1000,5000,30,0.972,0.984,0.978,0.993,0.988,0.991
1,100,50000,20,0.999,0.999,0.999,1.0,1.0,1.0
1,100,50000,10,0.999,0.997,0.998,1.0,1.0,1.0
1,50,10000,50,0.998,1.0,0.999,1.0,0.998,0.999
1,20,1000,50,0.976,1.0,0.988,1.0,0.975,0.987
1,500,10000,5,0.997,0.972,0.984,0.999,1.0,0.999
1,1000,5000,40,0.998,0.999,0.998,0.999,0.998,0.999
1,20,10000,5,0.986,0.969,0.978,0.999,0.999,0.999
1,100,500,5,1.0,0.476,0.645,0.972,1.0,0.986
2,50,1000,20,0.924,0.868,0.895,0.966,0.981,0.973
2,20,1000,30,0.853,0.96,0.903,0.981,0.926,0.953
2,20,10000,30,0.987,0.993,0.99,0.997,0.994,0.996
2,500,500,5,1.0,0.391,0.562,0.964,1.0,0.982
2,20,50000,20,0.99,0.995,0.993,0.999,0.998,0.998
1,1000,1000,50,0.932,0.99,0.96,0.989,0.927,0.957
1,1000,200,40,0.885,0.885,0.885,0.93,0.93,0.93
1,500,500,10,0.6,0.5,0.545,0.943,0.961,0.952
1,500,5000,5,1.0,0.836,0.911,0.991,1.0,0.995
1,20,200,5,1.0,0.429,0.6,0.975,1.0,0.987
1,50,1000,30,0.942,0.981,0.961,0.993,0.978,0.985
1,50,50000,50,1.0,1.0,1.0,1.0,1.0,1.0
2,50,500,5,0.867,0.52,0.65,0.969,0.995,0.982
1,1000,5000,30,0.993,0.995,0.994,0.998,0.997,0.997
1,100,200,40,0.845,0.938,0.889,0.956,0.887,0.92
2,20,10000,50,0.992,0.998,0.995,0.998,0.992,0.995
2,100,200,50,0.825,0.964,0.889,0.953,0.782,0.859
2,100,50000,30,0.994,0.998,0.996,0.999,0.998,0.998
1,50,1000,50,0.981,1.0,0.99,1.0,0.979,0.99
1,500,200,10,0.769,0.476,0.588,0.926,0.979,0.951
2,50,1000,40,0.922,0.988,0.954,0.991,0.94,0.965
2,50,1000,5,0.773,0.395,0.523,0.967,0.993,0.98
2,20,500,40,0.757,1.0,0.861,1.0,0.822,0.902
1,20,5000,50,0.998,1.0,0.999,1.0,0.998,0.999
2,20,500,30,0.76,0.983,0.857,0.992,0.869,0.926
1,20,10000,30,0.997,1.0,0.998,1.0,0.999,0.999
1,20,50000,30,1.0,1.0,1.0,1.0,1.0,1.0
2,20,200,30,0.806,1.0,0.893,1.0,0.879,0.935
1,1000,10000,50,0.998,1.0,0.999,1.0,0.997,0.999
2,100,50000,50,0.997,0.999,0.998,0.999,0.997,0.998
1,1000,50000,20,0.998,1.0,0.999,1.0,0.999,1.0
1,100,200,30,0.782,0.843,0.811,0.925,0.891,0.907
2,50,50000,50,0.996,0.999,0.997,0.999,0.996,0.997
1,100,5000,10,0.993,0.935,0.963,0.992,0.999,0.996
1,1000,500,40,0.917,1.0,0.957,1.0,0.936,0.967
1,1000,200,50,0.973,0.922,0.947,0.932,0.976,0.953
2,500,10000,20,0.971,0.992,0.981,0.998,0.992,0.995
1,100,5000,30,0.997,1.0,0.999,1.0,0.999,0.999
2,1000,200,10,0.261,0.375,0.308,0.928,0.883,0.905
2,1000,1000,40,0.955,0.967,0.961,0.98,0.972,0.976
2,100,1000,30,0.866,0.98,0.92,0.993,0.948,0.97
1,500,5000,50,0.993,0.997,0.995,0.997,0.993,0.995
2,1000,50000,10,0.987,0.981,0.984,0.998,0.999,0.998
2,50,200,40,0.822,0.952,0.882,0.966,0.867,0.914
2,100,1000,10,0.843,0.855,0.849,0.986,0.985,0.986
2,50,1000,30,0.911,0.884,0.897,0.953,0.965,0.959
1,1000,10000,10,1.0,0.994,0.997,0.999,1.0,1.0
2,1000,200,5,0.5,0.286,0.364,0.968,0.987,0.977
1,500,500,30,0.921,0.955,0.938,0.983,0.969,0.976
2,20,500,10,0.633,0.795,0.705,0.977,0.95,0.964
1,20,500,5,0.667,0.522,0.585,0.971,0.984,0.978
2,50,1000,10,0.781,0.676,0.725,0.967,0.981,0.974
1,1000,5000,50,0.995,1.0,0.997,1.0,0.995,0.998
2,50,200,10,0.385,0.357,0.37,0.939,0.946,0.942
1,100,50000,5,0.998,1.0,0.999,1.0,1.0,1.0
1,20,200,20,1.0,0.781,0.877,0.949,1.0,0.974
1,500,1000,40,0.959,1.0,0.979,1.0,0.974,0.987
1,500,5000,30,0.976,0.98,0.978,0.992,0.99,0.991
2,500,500,40,0.83,0.993,0.904,0.996,0.882,0.935
1,50,5000,5,0.982,0.831,0.9,0.991,0.999,0.995
1,50,200,5,1.0,0.143,0.25,0.963,1.0,0.981
2,1000,200,30,0.794,0.659,0.72,0.89,0.942,0.915
2,100,1000,5,0.667,0.318,0.431,0.962,0.991,0.976
1,20,1000,40,0.983,1.0,0.991,1.0,0.987,0.993
2,1000,5000,10,0.983,0.886,0.932,0.988,0.998,0.993
1,1000,1000,10,0.818,0.621,0.706,0.955,0.983,0.969
2,500,200,5,0.0,0.0,0.0,0.969,1.0,0.984
2,1000,500,40,0.987,0.901,0.942,0.93,0.991,0.96
2,100,50000,10,0.988,0.977,0.983,0.997,0.999,0.998
2,20,200,40,0.762,0.924,0.836,0.938,0.8,0.864
2,100,200,20,0.69,0.769,0.727,0.955,0.933,0.944
1,20,10000,20,0.995,1.0,0.997,1.0,0.999,0.999
1,20,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
2,500,5000,10,0.935,0.947,0.941,0.994,0.993,0.993
2,100,200,30,0.778,0.894,0.832,0.953,0.895,0.923
2,50,50000,10,0.987,0.976,0.981,0.997,0.998,0.998
2,20,10000,10,0.94,0.991,0.965,0.999,0.993,0.996
1,1000,50000,5,0.999,1.0,0.999,1.0,1.0,1.0
2,500,10000,40,0.987,0.997,0.992,0.998,0.991,0.994
1,1000,5000,10,0.993,0.978,0.985,0.997,0.999,0.998
1,20,50000,50,1.0,1.0,1.0,1.0,1.0,1.0
1,500,10000,50,0.993,1.0,0.996,1.0,0.993,0.996
1,20,1000,5,1.0,0.5,0.667,0.97,1.0,0.985
