FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,500,500,40,0.8,0.936,0.863,0.933,0.792,0.857
1,50,5000,5,0.982,1,0.991,1,0.999,0.999
1,50,200,5,0.333,0.5,0.4,0.973,0.947,0.96
2,1000,200,30,0.706,1,0.828,1,0.821,0.902
2,100,1000,5,1,1,1,1,1,1
1,20,1000,40,1,1,1,1,1,1
2,1000,5000,10,0.958,0.989,0.974,0.999,0.996,0.997
1,1000,1000,10,0.092,1,0.169,0,0,0
2,500,200,5,1,1,1,1,1,1
2,1000,500,40,0.917,0.892,0.904,0.938,0.952,0.945
2,100,50000,10,0.995,0.999,0.997,1,0.999,1
2,20,200,40,0.923,0.923,0.923,0.963,0.963,0.963
2,100,200,20,1,1,1,1,1,1
1,20,10000,20,0.995,1,0.997,1,0.999,0.999
1,20,50000,40,0.998,1,0.999,1,0.999,0.999
2,500,5000,10,0.139,1,0.243,1,0.407,0.579
2,100,200,30,0.75,0.9,0.818,0.964,0.9,0.931
2,50,50000,10,0.989,0.999,0.994,1,0.999,0.999
2,20,10000,10,0.932,0.995,0.963,0.999,0.99,0.995
1,1000,50000,5,0.052,1,0.098,0,0,0
2,500,10000,40,0.997,1,0.999,1,0.998,0.999
1,1000,5000,10,0.99,1,0.995,1,0.999,0.999
1,20,50000,50,0.994,1,0.997,1,0.994,0.997
1,500,10000,50,1,1,1,1,1,1
1,20,1000,5,1,1,1,1,1,1
1,50,50000,5,0.903,1,0.949,1,0.994,0.997
2,500,1000,20,0.7,0.488,0.575,0.867,0.941,0.902
1,1000,200,20,0.857,0.857,0.857,0.923,0.923,0.923
2,50,10000,30,0.992,0.994,0.993,0.998,0.997,0.997
1,50,200,10,1,0.5,0.667,0.974,1,0.987
1,1000,1000,40,0,0,0,0.605,1,0.754
1,50,50000,30,0.998,1,0.999,1,0.999,1
1,500,5000,10,0,0,0,0.9,1,0.947
2,500,200,20,1,0.7,0.824,0.909,1,0.952
2,100,500,30,0.661,1,0.796,1,0.698,0.822
1,1000,200,5,0.222,0.667,0.333,0.968,0.811,0.882
2,1000,1000,10,0,0,0,0.933,1,0.966
1,50,500,10,0.889,0.889,0.889,0.989,0.989,0.989
2,100,500,40,1,0.857,0.923,0.917,1,0.957
1,100,50000,50,0.999,1,0.999,1,0.999,0.999
1,50,10000,10,0.984,1,0.992,1,0.998,0.999
1,20,50000,10,0.999,1,1,1,1,1
2,20,50000,30,0.999,1,0.999,1,0.999,1
2,50,10000,10,0.974,1,0.987,1,0.997,0.998
2,50,200,30,0.857,1,0.923,1,0.929,0.963
2,100,10000,40,0.995,1,0.997,1,0.997,0.998
2,20,5000,5,1,1,1,1,1,1
2,500,200,10,0.081,1,0.15,1,0.081,0.15
2,50,5000,30,0.991,1,0.995,1,0.995,0.998
1,1000,50000,30,1,1,1,1,1,1
1,500,50000,40,0.999,1,0.999,1,0.999,1
2,100,10000,5,0.989,0.949,0.969,0.997,0.999,0.998
2,100,1000,50,0.98,0.99,0.985,0.99,0.98,0.985
1,1000,50000,50,0,0,0,0.507,1,0.673
1,50,5000,50,1,1,1,1,1,1
2,500,10000,50,1,0.993,0.996,0.993,1,0.997
1,50,500,20,0.731,1,0.844,1,0.914,0.955
1,50,5000,30,0.99,1,0.995,1,0.995,0.998
1,500,1000,30,0.795,1,0.886,1,0.856,0.922
1,100,500,30,0.875,1,0.933,1,0.923,0.96
2,1000,10000,5,0,0,0,0.951,1,0.975
1,100,500,50,0.939,1,0.968,1,0.932,0.965
1,20,1000,30,0.983,1,0.991,1,0.992,0.996
2,50,5000,10,0.974,0.991,0.983,0.999,0.996,0.998
1,100,1000,10,0.762,0.889,0.821,0.987,0.969,0.978
1,50,5000,10,0.966,1,0.983,1,0.995,0.998
2,100,1000,40,1,1,1,1,1,1
1,100,10000,50,0.998,1,0.999,1,0.998,0.999
2,50,50000,30,0.999,0.999,0.999,1,1,1
2,20,5000,10,1,1,1,1,1,1
1,50,1000,20,1,1,1,1,1,1
1,500,50000,5,0.998,1,0.999,1,1,1
2,20,10000,5,0.948,0.948,0.948,0.998,0.998,0.998
2,20,500,20,1,1,1,1,1,1
2,20,500,5,0.4,1,0.571,1,0.969,0.984
1,20,1000,20,0.967,1,0.983,1,0.993,0.997
1,1000,1000,5,0.067,1,0.125,0,0,0
1,100,1000,40,0.969,1,0.984,1,0.972,0.986
2,50,50000,20,0.998,1,0.999,1,0.999,1
1,50,1000,5,1,1,1,1,1,1
1,500,200,40,0.351,1,0.52,1,0.111,0.2
2,50,200,50,0.913,0.955,0.933,0.941,0.889,0.914
1,100,500,10,0.7,1,0.824,1,0.968,0.984
1,50,200,40,0.889,0.444,0.593,0.677,0.955,0.792
2,1000,500,30,0.9,0.486,0.632,0.762,0.968,0.853
2,20,5000,30,0.993,1,0.997,1,0.997,0.999
2,500,50000,50,1,1,1,1,1,1
1,1000,1000,20,0.473,1,0.642,1,0.675,0.806
1,1000,50000,10,0,0,0,0.896,1,0.945
1,1000,10000,30,0.993,1,0.997,1,0.997,0.999
2,20,5000,50,0.998,1,0.999,1,0.998,0.999
1,100,10000,40,0.997,1,0.999,1,0.998,0.999
1,20,5000,30,1,1,1,1,1,1
1,20,5000,10,0.966,1,0.983,1,0.995,0.998
2,100,50000,5,0.981,0.996,0.989,1,0.999,0.999
2,100,5000,40,0.972,0.993,0.982,0.995,0.979,0.987
2,1000,5000,40,0.995,1,0.998,1,0.997,0.998
1,50,5000,40,1,1,1,1,1,1
2,100,5000,10,1,1,1,1,1,1
1,50,1000,40,1,0.987,0.993,0.992,1,0.996
1,20,5000,5,1,1,1,1,1,1
1,100,1000,20,0.957,1,0.978,1,0.985,0.993
2,500,5000,20,0.995,1,0.998,1,0.999,0.999
2,500,50000,10,0.997,1,0.998,1,1,1
2,20,200,10,0.5,0.667,0.571,0.972,0.946,0.959
2,500,5000,40,0.997,0.997,0.997,0.998,0.998,0.998
1,100,5000,5,1,0.966,0.983,0.998,1,0.999
1,500,200,30,0.682,1,0.811,1,0.72,0.837
1,20,50000,5,0.988,1,0.994,1,0.999,1
1,500,50000,30,1,1,1,1,1,1
2,1000,500,50,0,0,0,0.5,1,0.667
1,500,200,5,0.5,1,0.667,1,0.974,0.987
2,500,5000,5,0,0,0,0.949,1,0.974
1,20,200,10,1,0.5,0.667,0.947,1,0.973
1,50,10000,5,1,1,1,1,1,1
1,100,500,40,0.886,1,0.939,1,0.932,0.965
1,20,200,30,1,1,1,1,1,1
1,1000,500,50,0.922,0.94,0.931,0.939,0.92,0.929
1,50,200,50,1,0.944,0.971,0.957,1,0.978
2,1000,50000,5,0.047,1,0.09,1,0.016,0.032
2,1000,500,20,1,1,1,1,1,1
1,1000,200,30,0.778,1,0.875,1,0.846,0.917
1,500,1000,20,0.646,1,0.785,1,0.896,0.945
2,50,5000,5,0.965,1,0.982,1,0.998,0.999
2,1000,1000,50,0.544,1,0.704,0,0,0
1,100,10000,30,1,1,1,1,1,1
1,500,5000,40,0.361,1,0.53,0,0,0
2,100,500,10,0.8,1,0.889,1,0.978,0.989
2,20,50000,10,0.995,0.999,0.997,1,0.999,1
2,20,5000,20,0.979,1,0.989,1,0.995,0.997
1,100,50000,30,0.997,1,0.999,1,0.999,0.999
1,50,10000,20,1,1,1,1,1,1
1,100,1000,5,0.75,1,0.857,1,0.989,0.994
2,20,50000,40,0.998,1,0.999,1,0.999,0.999
1,50,5000,20,0.995,1,0.997,1,0.999,0.999
2,50,500,40,1,1,1,1,1,1
1,50,1000,10,0.95,1,0.974,1,0.994,0.997
2,500,50000,30,1,1,1,1,1,1
2,500,50000,20,0.205,1,0.34,0,0,0
1,20,10000,40,1,1,1,1,1,1
2,50,1000,50,1,1,1,1,1,1
2,20,1000,50,0.963,1,0.981,1,0.958,0.978
2,20,1000,10,0.778,0.933,0.848,0.994,0.976,0.985
2,100,5000,20,1,1,1,1,1,1
2,100,500,50,0.9,0.973,0.935,0.98,0.925,0.951
2,20,200,20,0.75,1,0.857,1,0.973,0.986
2,1000,200,20,0.385,0.714,0.5,0.926,0.758,0.833
1,20,500,50,0.957,1,0.978,1,0.957,0.978
2,500,1000,50,0.824,0.947,0.881,0.943,0.812,0.872
2,1000,500,5,0.5,0.5,0.5,0.99,0.99,0.99
1,500,5000,20,0.18,1,0.305,0,0,0
2,1000,10000,40,0.995,1,0.997,1,0.997,0.998
2,1000,5000,5,0,0,0,0.942,1,0.97
2,500,200,50,0.87,1,0.93,1,0.85,0.919
1,50,500,50,0.977,1,0.988,1,0.979,0.989
1,500,1000,10,0.113,1,0.203,0,0,0
2,20,1000,40,0.974,1,0.987,1,0.984,0.992
1,1000,5000,5,1,1,1,1,1,1
2,1000,10000,10,0,0,0,0.908,1,0.952
1,500,500,5,0.333,1,0.5,1,0.98,0.99
2,100,10000,20,1,0.995,0.997,0.999,1,0.999
2,500,500,10,1,1,1,1,1,1
2,500,10000,10,0.14,1,0.246,1,0.395,0.566
1,500,50000,10,0,0,0,0.902,1,0.948
2,50,10000,20,0.995,0.995,0.995,0.999,0.999,0.999
1,50,500,40,0.755,1,0.86,1,0.74,0.851
1,1000,1000,30,0.663,1,0.797,1,0.779,0.876
2,1000,50000,50,1,0.981,0.99,0.981,1,0.99
1,500,10000,10,1,1,1,1,1,1
2,50,500,10,1,1,1,1,1,1
2,100,10000,10,0.958,0.99,0.974,0.999,0.994,0.997
2,50,5000,40,0.995,1,0.998,1,0.997,0.998
2,1000,500,10,0.714,0.833,0.769,0.989,0.979,0.984
1,1000,200,10,0,0,0,0.875,1,0.933
1,100,10000,20,0.953,0.994,0.973,0.999,0.988,0.993
1,1000,10000,20,0.995,1,0.997,1,0.999,0.999
1,50,50000,10,0.996,1,0.998,1,1,1
1,1000,500,10,0,0,0,0.95,1,0.974
2,1000,10000,20,0,0,0,0.809,1,0.895
2,100,200,10,0.667,0.5,0.571,0.946,0.972,0.959
1,20,1000,10,1,1,1,1,1,1
1,500,10000,40,0.999,1,0.999,1,0.999,1
2,20,200,50,0.773,0.895,0.829,0.889,0.762,0.821
1,500,10000,20,0.982,1,0.991,1,0.995,0.997
2,1000,1000,30,0.69,0.891,0.778,0.952,0.843,0.894
2,50,200,20,0.556,1,0.714,1,0.886,0.939
1,500,1000,50,0.915,1,0.956,1,0.908,0.952
2,100,500,20,0.955,1,0.977,1,0.987,0.994
2,20,1000,5,0.7,0.875,0.778,0.994,0.983,0.988
2,1000,1000,20,0.195,1,0.326,0,0,0
1,100,1000,30,0.893,1,0.943,1,0.954,0.976
