FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0.5,1,0.667,0,0,0
2,100,50000,40,0.995,0.999,0.997,0.999,0.997,0.998
1,50,200,20,0,0,0,0.825,1,0.904
1,20,10000,10,0.754,1,0.86,1,0.962,0.981
1,20,5000,20,0,0,0,0.823,1,0.903
1,1000,50000,40,0.996,1,0.998,1,0.997,0.999
1,500,500,40,0.38,1,0.551,0,0,0
2,20,10000,40,0.984,0.986,0.985,0.99,0.989,0.99
2,1000,10000,30,0,0,0,0.699,1,0.822
2,1000,50000,40,0.389,1,0.561,0,0,0
2,100,5000,30,0.99,0.974,0.982,0.988,0.995,0.992
2,50,500,50,0.756,0.775,0.765,0.816,0.8,0.808
2,500,5000,50,0,0,0,0.508,1,0.674
2,500,200,30,0.579,0.846,0.688,0.905,0.704,0.792
2,20,5000,40,0,0,0,0.604,1,0.753
1,100,10000,10,0.937,1,0.967,1,0.992,0.996
1,500,200,50,0.789,1,0.882,1,0.84,0.913
2,50,200,5,0.05,1,0.095,0,0,0
1,500,200,20,0,0,0,0.875,1,0.933
2,500,50000,40,0.996,0.993,0.994,0.995,0.997,0.996
1,500,1000,5,0.051,1,0.098,0,0,0
1,20,500,30,0.28,1,0.438,0,0,0
2,1000,50000,30,0.988,0.994,0.991,0.998,0.995,0.996
1,100,50000,40,0.996,1,0.998,1,0.997,0.999
2,100,10000,50,0.984,0.913,0.947,0.915,0.984,0.948
2,500,50000,5,0.046,1,0.089,0,0,0
1,1000,500,5,0,0,0,0.97,1,0.985
1,1000,10000,5,0,0,0,0.948,1,0.973
2,100,5000,50,0.489,1,0.657,0,0,0
1,1000,500,20,0.917,1,0.957,1,0.974,0.987
2,20,50000,5,0.802,1,0.89,1,0.987,0.993
1,100,5000,40,0.796,1,0.887,1,0.851,0.92
2,500,1000,5,0.143,0.917,0.247,0.992,0.639,0.777
2,20,10000,20,0.918,0.991,0.953,0.998,0.979,0.989
2,1000,5000,30,0.99,1,0.995,1,0.996,0.998
1,100,50000,20,0.996,1,0.998,1,0.999,1
1,100,50000,10,0.462,1,0.632,1,0.873,0.932
1,50,10000,50,0.986,1,0.993,1,0.985,0.992
1,20,1000,50,0.789,1,0.882,1,0.782,0.878
1,500,10000,5,0,0,0,0.956,1,0.977
1,1000,5000,40,0,0,0,0.611,1,0.759
1,20,10000,5,0.664,1,0.798,1,0.976,0.988
1,100,500,5,0,0,0,0.95,1,0.974
2,50,1000,20,0.614,0.675,0.643,0.904,0.879,0.891
2,20,1000,30,0.647,0.772,0.704,0.884,0.805,0.843
2,20,10000,30,0,0,0,0.689,1,0.816
2,500,500,5,0.036,0.5,0.067,0.986,0.724,0.835
2,20,50000,20,0.962,0.99,0.976,0.997,0.99,0.994
1,1000,1000,50,0.538,1,0.7,0,0,0
1,1000,200,40,0,0,0,0.5,1,0.667
1,500,500,10,0.727,0.889,0.8,0.989,0.967,0.978
1,500,5000,5,0.971,1,0.985,1,0.998,0.999
1,20,200,5,0.091,0.333,0.143,0.931,0.73,0.818
1,50,1000,30,0,0,0,0.733,1,0.846
1,50,50000,50,0.99,1,0.995,1,0.99,0.995
2,50,500,5,0,0,0,0.97,1,0.985
1,1000,5000,30,0.845,1,0.916,1,0.927,0.962
1,100,200,40,0.765,0.867,0.812,0.913,0.84,0.875
2,20,10000,50,0.963,0.994,0.978,0.994,0.963,0.978
2,100,200,50,0.833,0.87,0.851,0.812,0.765,0.788
2,100,50000,30,0.421,0.734,0.535,0.835,0.572,0.679
1,50,1000,50,0.475,1,0.644,0,0,0
1,500,200,10,0.7,1,0.824,1,0.909,0.952
2,50,1000,40,0,0,0,0.615,1,0.762
2,50,1000,5,0.231,0.6,0.333,0.974,0.882,0.926
2,20,500,40,0,0,0,0.511,1,0.676
1,20,5000,50,0.99,0.982,0.986,0.982,0.99,0.986
2,20,500,30,0.547,1,0.707,1,0.662,0.797
1,20,10000,30,0.96,0.986,0.973,0.993,0.981,0.987
1,20,50000,30,0.978,1,0.989,1,0.99,0.995
2,20,200,30,0,0,0,0.6,1,0.75
1,1000,10000,50,0,0,0,0.484,1,0.653
2,100,50000,50,0.991,1,0.995,1,0.99,0.995
1,1000,50000,20,0.198,1,0.33,0,0,0
1,100,200,30,0,0,0,0.575,1,0.73
2,50,50000,50,0,0,0,0.5,1,0.667
1,100,5000,10,0.909,1,0.952,1,0.988,0.994
1,1000,500,40,0,0,0,0.65,1,0.788
1,1000,200,50,0.45,1,0.621,0,0,0
2,500,10000,20,0.942,0.979,0.96,0.995,0.986,0.99
1,100,5000,30,0.908,1,0.952,1,0.955,0.977
2,1000,200,10,0.2,1,0.333,1,0.676,0.806
2,1000,1000,40,0.838,0.671,0.745,0.78,0.9,0.835
2,100,1000,30,0.686,0.923,0.787,0.964,0.828,0.891
1,500,5000,50,0.515,1,0.68,0,0,0
2,1000,50000,10,0.97,1,0.985,1,0.997,0.998
2,50,200,40,0,0,0,0.7,1,0.824
2,100,1000,10,0.769,0.526,0.625,0.946,0.981,0.963
2,50,1000,30,0.83,0.898,0.863,0.961,0.931,0.946
1,1000,10000,10,0.089,1,0.164,0,0,0
2,1000,200,5,0,0,0,0.95,1,0.974
1,500,500,30,0,0,0,0.65,1,0.788
2,20,500,10,0,0,0,0.92,1,0.958
1,20,500,5,0.667,1,0.8,1,0.99,0.995
2,50,1000,10,0.643,0.562,0.6,0.958,0.97,0.964
1,1000,5000,50,0.966,1,0.983,1,0.963,0.981
2,50,200,10,0,0,0,0.9,1,0.947
1,100,50000,5,0.9,1,0.947,1,0.995,0.997
1,20,200,20,0,0,0,0.825,1,0.904
1,500,1000,40,0.647,0.987,0.781,0.987,0.655,0.788
1,500,5000,30,0.306,1,0.469,0,0,0
2,500,500,40,0.933,0.718,0.812,0.843,0.967,0.901
1,50,5000,5,0.618,1,0.764,1,0.972,0.986
1,50,200,5,0.5,0.333,0.4,0.947,0.973,0.96
2,1000,200,30,0.615,0.667,0.64,0.852,0.821,0.836
2,100,1000,5,0.875,0.636,0.737,0.977,0.994,0.985
1,20,1000,40,0.908,0.988,0.946,0.991,0.933,0.961
2,1000,5000,10,0.928,0.947,0.937,0.994,0.992,0.993
1,1000,1000,10,0.108,1,0.194,0,0,0
2,500,200,5,0.167,0.4,0.235,0.893,0.714,0.794
