FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,1.0,0.059,0.111,0.59,1.0,0.742
2,100,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
1,50,200,20,0.217,1.0,0.357,1.0,0.486,0.654
1,20,10000,10,0.262,0.902,0.406,0.986,0.73,0.839
1,20,5000,20,0.407,0.705,0.516,0.909,0.742,0.817
1,1000,50000,40,0.996,1.0,0.998,1.0,0.997,0.998
1,500,500,40,0.61,1.0,0.758,1.0,0.36,0.529
2,20,10000,40,1.0,1.0,1.0,1.0,1.0,1.0
2,1000,10000,30,1.0,0.997,0.998,0.999,1.0,0.999
2,1000,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
2,100,5000,30,1.0,1.0,1.0,1.0,1.0,1.0
2,50,500,50,0.911,0.891,0.901,0.889,0.909,0.899
2,500,5000,50,1.0,1.0,1.0,1.0,1.0,1.0
2,500,200,30,0.846,1.0,0.917,1.0,0.931,0.964
2,20,5000,40,1.0,1.0,1.0,1.0,1.0,1.0
1,100,10000,10,0.318,0.963,0.479,0.994,0.755,0.858
1,500,200,50,0.6,1.0,0.75,0.0,0.0,0.0
2,50,200,5,0.111,0.5,0.182,0.968,0.789,0.87
1,500,200,20,0.0,0.0,0.0,0.8,1.0,0.889
2,500,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
1,500,1000,5,0.353,0.6,0.444,0.978,0.942,0.96
1,20,500,30,0.65,0.52,0.578,0.85,0.907,0.877
2,1000,50000,30,1.0,1.0,1.0,1.0,1.0,1.0
1,100,50000,40,0.956,0.981,0.968,0.987,0.971,0.979
2,100,10000,50,1.0,1.0,1.0,1.0,1.0,1.0
2,500,50000,5,1.0,1.0,1.0,1.0,1.0,1.0
1,1000,500,5,0.0,0.0,0.0,0.95,1.0,0.974
1,1000,10000,5,0.277,0.905,0.424,0.994,0.869,0.927
2,100,5000,50,0.994,0.996,0.995,0.996,0.994,0.995
1,1000,500,20,0.0,0.0,0.0,0.84,1.0,0.913
2,20,50000,5,1.0,1.0,1.0,1.0,1.0,1.0
1,100,5000,40,0.417,1.0,0.589,0.0,0.0,0.0
2,500,1000,5,0.0,0.0,0.0,0.955,1.0,0.977
2,20,10000,20,1.0,1.0,1.0,1.0,1.0,1.0
2,1000,5000,30,1.0,1.0,1.0,1.0,1.0,1.0
1,100,50000,20,0.946,1.0,0.972,1.0,0.986,0.993
1,100,50000,10,0.86,1.0,0.925,1.0,0.982,0.991
1,50,10000,50,0.853,1.0,0.921,1.0,0.83,0.907
1,20,1000,50,0.0,0.0,0.0,0.455,1.0,0.625
1,500,10000,5,0.315,0.988,0.478,0.999,0.907,0.951
1,1000,5000,40,0.0,0.0,0.0,0.613,1.0,0.76
1,20,10000,5,0.211,1.0,0.349,1.0,0.831,0.908
1,100,500,5,0.172,1.0,0.294,1.0,0.747,0.855
2,50,1000,20,0.973,0.947,0.96,0.986,0.993,0.989
2,20,1000,30,0.0,0.0,0.0,0.717,1.0,0.835
2,20,10000,30,1.0,1.0,1.0,1.0,1.0,1.0
2,500,500,5,0.0,0.0,0.0,0.94,1.0,0.969
2,20,50000,20,1.0,1.0,1.0,1.0,1.0,1.0
1,1000,1000,50,0.77,0.845,0.806,0.816,0.732,0.772
1,1000,200,40,1.0,0.375,0.545,0.706,1.0,0.828
1,500,500,10,0.0,0.0,0.0,0.84,1.0,0.913
1,500,5000,5,0.117,0.562,0.194,0.973,0.787,0.87
1,20,200,5,0.1,1.0,0.182,0.0,0.0,0.0
1,50,1000,30,0.0,0.0,0.0,0.728,1.0,0.842
1,50,50000,50,0.963,1.0,0.981,1.0,0.962,0.981
2,50,500,5,0.05,1.0,0.095,0.0,0.0,0.0
1,1000,5000,30,0.323,1.0,0.488,0.0,0.0,0.0
1,100,200,40,0.484,1.0,0.652,1.0,0.36,0.529
2,20,10000,50,0.997,0.962,0.979,0.965,0.997,0.981
2,100,200,50,0.0,0.0,0.0,0.625,1.0,0.769
2,100,50000,30,1.0,1.0,1.0,1.0,1.0,1.0
1,50,1000,50,0.801,1.0,0.89,1.0,0.703,0.826
1,500,200,10,0.5,0.143,0.222,0.842,0.97,0.901
2,50,1000,40,0.975,1.0,0.988,1.0,0.983,0.992
2,50,1000,5,0.833,1.0,0.909,1.0,0.988,0.994
2,20,500,40,0.73,0.818,0.771,0.887,0.825,0.855
1,20,5000,50,0.779,0.95,0.856,0.935,0.728,0.819
2,20,500,30,0.36,1.0,0.529,0.0,0.0,0.0
1,20,10000,30,0.571,0.832,0.677,0.915,0.743,0.82
1,20,50000,30,0.58,0.927,0.713,0.96,0.72,0.823
2,20,200,30,0.0,0.0,0.0,0.725,1.0,0.841
1,1000,10000,50,0.877,0.909,0.892,0.902,0.868,0.884
2,100,50000,50,1.0,1.0,1.0,1.0,1.0,1.0
1,1000,50000,20,0.968,1.0,0.984,1.0,0.991,0.996
1,100,200,30,0.0,0.0,0.0,0.775,1.0,0.873
2,50,50000,50,1.0,1.0,1.0,1.0,1.0,1.0
1,100,5000,10,0.648,0.85,0.735,0.986,0.958,0.972
1,1000,500,40,0.0,0.0,0.0,0.63,1.0,0.773
1,1000,200,50,0.375,1.0,0.545,0.0,0.0,0.0
2,500,10000,20,1.0,1.0,1.0,1.0,1.0,1.0
1,100,5000,30,0.779,1.0,0.876,1.0,0.878,0.935
2,1000,200,10,0.6,1.0,0.75,1.0,0.946,0.972
2,1000,1000,40,1.0,0.988,0.994,0.991,1.0,0.996
2,100,1000,30,1.0,1.0,1.0,1.0,1.0,1.0
1,500,5000,50,0.491,1.0,0.659,0.0,0.0,0.0
2,1000,50000,10,1.0,1.0,1.0,1.0,1.0,1.0
2,50,200,40,0.556,0.435,0.488,0.409,0.529,0.462
2,100,1000,10,1.0,0.909,0.952,0.988,1.0,0.994
2,50,1000,30,0.982,0.982,0.982,0.992,0.992,0.992
1,1000,10000,10,0.618,0.863,0.72,0.986,0.947,0.966
2,1000,200,5,0.0,0.0,0.0,0.947,0.947,0.947
1,500,500,30,0.0,0.0,0.0,0.71,1.0,0.83
2,20,500,10,0.0,0.0,0.0,0.96,1.0,0.98
1,20,500,5,0.154,1.0,0.267,1.0,0.771,0.871
2,50,1000,10,0.933,0.933,0.933,0.994,0.994,0.994
1,1000,5000,50,0.494,1.0,0.661,0.0,0.0,0.0
2,50,200,10,0.143,0.25,0.182,0.909,0.833,0.87
1,100,50000,5,0.49,0.97,0.651,0.998,0.945,0.971
1,20,200,20,0.0,0.0,0.0,0.8,1.0,0.889
1,500,1000,40,0.0,0.0,0.0,0.59,1.0,0.742
1,500,5000,30,0.67,1.0,0.802,1.0,0.806,0.893
2,500,500,40,0.975,0.951,0.963,0.967,0.983,0.975
1,50,5000,5,0.333,0.391,0.36,0.969,0.961,0.965
1,50,200,5,0.0,0.0,0.0,0.971,0.872,0.919
2,1000,200,30,0.0,0.0,0.0,0.75,1.0,0.857
2,100,1000,5,1.0,1.0,1.0,1.0,1.0,1.0
1,20,1000,40,0.623,0.398,0.485,0.66,0.829,0.735
2,1000,5000,10,1.0,1.0,1.0,1.0,1.0,1.0
1,1000,1000,10,0.519,0.778,0.622,0.977,0.929,0.952
2,500,200,5,0.0,0.0,0.0,0.972,0.897,0.933
2,1000,500,40,1.0,1.0,1.0,1.0,1.0,1.0
2,100,50000,10,0.998,0.995,0.996,0.999,1.0,1.0
2,20,200,40,0.0,0.0,0.0,0.575,1.0,0.73
2,100,200,20,1.0,0.2,0.333,0.897,1.0,0.946
1,20,10000,20,0.0,0.0,0.0,0.811,1.0,0.896
1,20,50000,40,0.927,0.958,0.942,0.973,0.951,0.962
2,500,5000,10,1.0,1.0,1.0,1.0,1.0,1.0
2,100,200,30,0.0,0.0,0.0,0.6,1.0,0.75
2,50,50000,10,1.0,1.0,1.0,1.0,1.0,1.0
2,20,10000,10,1.0,1.0,1.0,1.0,1.0,1.0
1,1000,50000,5,0.046,1.0,0.087,0.0,0.0,0.0
2,500,10000,40,1.0,1.0,1.0,1.0,1.0,1.0
1,1000,5000,10,0.0,0.0,0.0,0.908,1.0,0.952
1,20,50000,50,0.947,0.883,0.914,0.893,0.952,0.922
1,500,10000,50,0.0,0.0,0.0,0.502,1.0,0.668
1,20,1000,5,0.114,1.0,0.205,1.0,0.591,0.743
1,50,50000,5,0.996,1.0,0.998,1.0,1.0,1.0
2,500,1000,20,1.0,1.0,1.0,1.0,1.0,1.0
1,1000,200,20,0.516,1.0,0.681,1.0,0.375,0.545
2,50,10000,30,1.0,1.0,1.0,1.0,1.0,1.0
1,50,200,10,0.0,0.0,0.0,0.8,1.0,0.889
1,1000,1000,40,0.355,1.0,0.524,0.0,0.0,0.0
1,50,50000,30,0.906,1.0,0.951,1.0,0.956,0.977
1,500,5000,10,0.0,0.0,0.0,0.888,1.0,0.941
2,500,200,20,1.0,0.8,0.889,0.972,1.0,0.986
2,100,500,30,1.0,1.0,1.0,1.0,1.0,1.0
1,1000,200,5,0.333,0.5,0.4,0.973,0.947,0.96
2,1000,1000,10,0.867,0.929,0.897,0.995,0.989,0.992
1,50,500,10,0.0,0.0,0.0,0.93,1.0,0.964
2,100,500,40,1.0,1.0,1.0,1.0,1.0,1.0
1,100,50000,50,0.992,0.972,0.982,0.973,0.992,0.983
1,50,10000,10,0.673,0.961,0.792,0.995,0.948,0.971
