FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,1.0,0.211,0.348,0.583,1.0,0.737
2,100,50000,40,0.996,0.997,0.997,0.998,0.998,0.998
1,50,200,20,0.0,0.0,0.0,0.8,1.0,0.889
1,20,10000,10,0.978,1.0,0.989,1.0,0.998,0.999
1,20,5000,20,0.0,0.0,0.0,0.815,1.0,0.898
1,1000,50000,40,0.399,1.0,0.57,0.0,0.0,0.0
1,500,500,40,0.0,0.0,0.0,0.61,1.0,0.758
2,20,10000,40,0.98,1.0,0.99,1.0,0.986,0.993
2,1000,10000,30,0.971,0.996,0.984,0.999,0.989,0.994
2,1000,50000,40,0.997,0.992,0.995,0.995,0.998,0.997
2,100,5000,30,0.874,0.953,0.912,0.98,0.944,0.962
2,50,500,50,0.522,1.0,0.686,0.0,0.0,0.0
2,500,5000,50,0.987,0.992,0.99,0.991,0.985,0.988
2,500,200,30,0.375,0.333,0.353,0.812,0.839,0.825
2,20,5000,40,0.942,1.0,0.97,1.0,0.96,0.98
1,100,10000,10,0.966,1.0,0.983,1.0,0.996,0.998
1,500,200,50,0.0,0.0,0.0,0.4,1.0,0.571
2,50,200,5,0.192,1.0,0.323,1.0,0.4,0.571
1,500,200,20,1.0,0.1,0.182,0.769,1.0,0.87
2,500,50000,40,0.995,0.998,0.996,0.999,0.996,0.998
1,500,1000,5,0.235,0.8,0.364,0.988,0.863,0.921
1,20,500,30,0.0,0.0,0.0,0.76,1.0,0.864
2,1000,50000,30,0.987,1.0,0.993,1.0,0.994,0.997
1,100,50000,40,0.997,1.0,0.999,1.0,0.998,0.999
2,100,10000,50,0.993,0.999,0.996,0.999,0.993,0.996
2,500,50000,5,0.906,0.998,0.95,1.0,0.995,0.997
1,1000,500,5,0.0,0.0,0.0,0.96,1.0,0.98
1,1000,10000,5,0.789,1.0,0.882,1.0,0.985,0.993
2,100,5000,50,0.961,0.977,0.969,0.978,0.962,0.97
1,1000,500,20,0.5,0.529,0.514,0.902,0.892,0.897
2,20,50000,5,0.939,0.996,0.966,1.0,0.997,0.998
1,100,5000,40,0.97,1.0,0.985,1.0,0.98,0.99
2,500,1000,5,0.5,0.25,0.333,0.969,0.99,0.979
2,20,10000,20,0.897,0.995,0.943,0.999,0.971,0.984
2,1000,5000,30,0.973,1.0,0.986,1.0,0.989,0.994
1,100,50000,20,0.987,1.0,0.993,1.0,0.997,0.998
1,100,50000,10,0.987,1.0,0.993,1.0,0.999,0.999
1,50,10000,50,0.998,1.0,0.999,1.0,0.998,0.999
1,20,1000,50,0.571,0.899,0.699,0.85,0.459,0.596
1,500,10000,5,0.0,0.0,0.0,0.948,1.0,0.973
1,1000,5000,40,0.988,1.0,0.994,1.0,0.991,0.996
1,20,10000,5,0.776,1.0,0.874,1.0,0.984,0.992
1,100,500,5,0.161,0.833,0.27,0.986,0.723,0.834
2,50,1000,20,0.592,0.967,0.734,0.992,0.867,0.925
2,20,1000,30,0.838,0.851,0.844,0.911,0.903,0.907
2,20,10000,30,0.96,0.996,0.978,0.998,0.982,0.99
2,500,500,5,1.0,0.4,0.571,0.969,1.0,0.984
2,20,50000,20,0.983,0.998,0.991,1.0,0.996,0.998
1,1000,1000,50,0.916,0.961,0.938,0.957,0.908,0.932
1,1000,200,40,0.0,0.0,0.0,0.575,1.0,0.73
1,500,500,10,0.478,0.733,0.579,0.948,0.859,0.901
1,500,5000,5,0.913,0.977,0.944,0.999,0.996,0.997
1,20,200,5,0.05,1.0,0.095,0.0,0.0,0.0
1,50,1000,30,0.707,0.964,0.815,0.981,0.824,0.896
1,50,50000,50,0.999,1.0,0.999,1.0,0.999,0.999
2,50,500,5,0.3,1.0,0.462,1.0,0.851,0.92
1,1000,5000,30,0.993,1.0,0.997,1.0,0.997,0.999
1,100,200,40,0.0,0.0,0.0,0.525,1.0,0.689
2,20,10000,50,0.981,0.988,0.984,0.989,0.982,0.986
2,100,200,50,0.778,0.333,0.467,0.548,0.895,0.68
2,100,50000,30,0.992,0.999,0.995,0.999,0.996,0.998
1,50,1000,50,0.52,1.0,0.685,1.0,0.041,0.078
1,500,200,10,0.0,0.0,0.0,0.85,1.0,0.919
2,50,1000,40,0.0,0.0,0.0,0.55,1.0,0.71
2,50,1000,5,0.316,0.75,0.444,0.988,0.924,0.955
2,20,500,40,0.0,0.0,0.0,0.6,1.0,0.75
1,20,5000,50,0.921,0.988,0.953,0.987,0.915,0.95
2,20,500,30,0.755,1.0,0.86,1.0,0.81,0.895
1,20,10000,30,0.996,1.0,0.998,1.0,0.998,0.999
1,20,50000,30,0.997,1.0,0.998,1.0,0.999,0.999
2,20,200,30,0.45,1.0,0.621,0.0,0.0,0.0
1,1000,10000,50,0.482,1.0,0.651,0.0,0.0,0.0
2,100,50000,50,0.995,1.0,0.997,1.0,0.995,0.998
1,1000,50000,20,0.992,1.0,0.996,1.0,0.998,0.999
1,100,200,30,0.714,0.625,0.667,0.769,0.833,0.8
2,50,50000,50,0.998,1.0,0.999,1.0,0.998,0.999
1,100,5000,10,0.096,1.0,0.175,0.0,0.0,0.0
1,1000,500,40,0.0,0.0,0.0,0.57,1.0,0.726
1,1000,200,50,0.5,1.0,0.667,1.0,0.4,0.571
2,500,10000,20,0.966,0.99,0.978,0.997,0.991,0.994
1,100,5000,30,0.95,1.0,0.974,1.0,0.976,0.988
2,1000,200,10,0.0,0.0,0.0,0.875,1.0,0.933
2,1000,1000,40,1.0,0.176,0.3,0.622,1.0,0.767
2,100,1000,30,0.918,0.957,0.938,0.985,0.97,0.977
1,500,5000,50,0.984,1.0,0.992,1.0,0.984,0.992
2,1000,50000,10,0.965,0.998,0.981,1.0,0.996,0.998
2,50,200,40,0.45,1.0,0.621,0.0,0.0,0.0
2,100,1000,10,0.778,0.7,0.737,0.963,0.975,0.969
2,50,1000,30,0.847,0.962,0.901,0.983,0.93,0.956
1,1000,10000,10,0.944,1.0,0.971,1.0,0.993,0.997
2,1000,200,5,0.0,0.0,0.0,0.925,1.0,0.961
1,500,500,30,0.0,0.0,0.0,0.67,1.0,0.802
2,20,500,10,0.357,0.769,0.488,0.958,0.793,0.868
1,20,500,5,0.051,1.0,0.097,1.0,0.021,0.041
2,50,1000,10,0.0,0.0,0.0,0.917,1.0,0.957
1,1000,5000,50,0.957,0.996,0.976,0.996,0.957,0.976
2,50,200,10,0.0,0.0,0.0,0.875,1.0,0.933
1,100,50000,5,0.962,1.0,0.981,1.0,0.998,0.999
1,20,200,20,0.0,0.0,0.0,0.85,1.0,0.919
1,500,1000,40,0.864,0.864,0.864,0.908,0.908,0.908
1,500,5000,30,0.95,1.0,0.975,1.0,0.979,0.989
2,500,500,40,0.976,0.872,0.921,0.897,0.981,0.937
1,50,5000,5,0.932,1.0,0.965,1.0,0.996,0.998
1,50,200,5,0.2,1.0,0.333,1.0,0.789,0.882
2,1000,200,30,0.3,1.0,0.462,0.0,0.0,0.0
2,100,1000,5,0.128,0.833,0.222,0.993,0.805,0.889
1,20,1000,40,0.601,0.978,0.745,0.962,0.459,0.621
2,1000,5000,10,0.76,0.989,0.86,0.999,0.968,0.983
1,1000,1000,10,0.0,0.0,0.0,0.905,1.0,0.95
2,500,200,5,0.0,0.0,0.0,0.975,1.0,0.987
2,1000,500,40,0.0,0.0,0.0,0.63,1.0,0.773
2,100,50000,10,0.986,0.999,0.992,1.0,0.999,0.999
2,20,200,40,0.0,0.0,0.0,0.675,1.0,0.806
2,100,200,20,0.444,0.8,0.571,0.968,0.857,0.909
1,20,10000,20,0.981,1.0,0.991,1.0,0.995,0.998
1,20,50000,40,0.999,1.0,0.999,1.0,0.999,1.0
2,500,5000,10,0.0,0.0,0.0,0.913,1.0,0.955
2,100,200,30,0.0,0.0,0.0,0.75,1.0,0.857
2,50,50000,10,0.991,0.992,0.992,0.999,0.999,0.999
2,20,10000,10,0.818,1.0,0.9,1.0,0.969,0.984
1,1000,50000,5,0.94,1.0,0.969,1.0,0.997,0.998
2,500,10000,40,0.966,1.0,0.983,1.0,0.977,0.988
1,1000,5000,10,0.917,1.0,0.957,1.0,0.99,0.995
1,20,50000,50,1.0,1.0,1.0,1.0,1.0,1.0
1,500,10000,50,0.951,1.0,0.975,1.0,0.946,0.972
1,20,1000,5,0.04,0.8,0.075,0.987,0.446,0.614
1,50,50000,5,0.96,1.0,0.979,1.0,0.998,0.999
2,500,1000,20,0.683,0.977,0.804,0.993,0.872,0.928
1,1000,200,20,0.0,0.0,0.0,0.65,1.0,0.788
2,50,10000,30,0.985,0.996,0.991,0.998,0.994,0.996
1,50,200,10,0.077,0.5,0.133,0.963,0.684,0.8
1,1000,1000,40,0.851,0.988,0.914,0.991,0.882,0.933
1,50,50000,30,0.99,1.0,0.995,1.0,0.996,0.998
1,500,5000,10,0.926,1.0,0.962,1.0,0.991,0.996
2,500,200,20,0.4,0.2,0.267,0.771,0.9,0.831
2,100,500,30,0.761,0.946,0.843,0.963,0.825,0.889
1,1000,200,5,0.4,0.667,0.5,0.971,0.919,0.944
2,1000,1000,10,0.5,0.308,0.381,0.953,0.979,0.966
1,50,500,10,0.143,0.111,0.125,0.914,0.934,0.924
2,100,500,40,0.744,0.829,0.784,0.882,0.818,0.849
1,100,50000,50,0.998,1.0,0.999,1.0,0.998,0.999
1,50,10000,10,0.957,1.0,0.978,1.0,0.995,0.998
1,20,50000,10,0.963,1.0,0.981,1.0,0.995,0.998
2,20,50000,30,0.991,0.999,0.995,1.0,0.996,0.998
2,50,10000,10,0.963,0.995,0.979,0.999,0.996,0.998
2,50,200,30,0.0,0.0,0.0,0.7,1.0,0.824
2,100,10000,40,0.982,0.993,0.988,0.996,0.988,0.992
2,20,5000,5,0.142,1.0,0.249,1.0,0.724,0.84
