FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,500,500,40,0,0,0,0.61,1,0.758
1,50,5000,5,0.438,1,0.609,1,0.941,0.97
1,50,200,5,0,0,0,0.925,1,0.961
2,1000,200,30,0,0,0,0.7,1,0.824
2,100,1000,5,0.5,0.909,0.645,0.994,0.941,0.967
1,20,1000,40,0.975,0.988,0.981,0.992,0.983,0.987
2,1000,5000,10,0.969,1,0.984,1,0.997,0.998
1,1000,1000,10,0.108,1,0.194,0,0,0
2,500,200,5,0,0,0,0.875,1,0.933
2,1000,500,40,0,0,0,0.57,1,0.726
2,100,50000,10,0.974,0.995,0.984,0.999,0.997,0.998
2,20,200,40,0,0,0,0.6,1,0.75
2,100,200,20,0,0,0,0.9,1,0.947
1,20,10000,20,0.933,0.984,0.958,0.996,0.981,0.988
1,20,50000,40,1,1,1,1,1,1
2,500,5000,10,0.103,1,0.187,0,0,0
2,100,200,30,0,0,0,0.675,1,0.806
2,50,50000,10,0.93,0.997,0.962,1,0.991,0.995
2,20,10000,10,0,0,0,0.892,1,0.943
1,1000,50000,5,0.049,1,0.093,0,0,0
2,500,10000,40,0.994,0.989,0.991,0.992,0.996,0.994
1,1000,5000,10,0.99,1,0.995,1,0.999,0.999
1,20,50000,50,0.97,0.957,0.964,0.956,0.97,0.963
1,500,10000,50,0,0,0,0.508,1,0.674
1,20,1000,5,0,0,0,0.956,1,0.977
1,50,50000,5,0.303,1,0.466,1,0.892,0.943
2,500,1000,20,0,0,0,0.779,1,0.876
1,1000,200,20,0,0,0,0.7,1,0.824
2,50,10000,30,0.968,0.998,0.983,0.999,0.986,0.992
1,50,200,10,0.125,1,0.222,1,0.821,0.901
1,1000,1000,40,0.415,1,0.587,0,0,0
1,50,50000,30,0,0,0,0.696,1,0.82
1,500,5000,10,0,0,0,0.892,1,0.943
2,500,200,20,0.15,1,0.261,0,0,0
2,100,500,30,0,0,0,0.72,1,0.837
1,1000,200,5,0,0,0,0.925,1,0.961
2,1000,1000,10,0,0,0,0.908,1,0.952
1,50,500,10,0.636,0.7,0.667,0.966,0.956,0.961
2,100,500,40,0.951,0.975,0.963,0.98,0.96,0.97
1,100,50000,50,0.999,1,0.999,1,0.999,1
1,50,10000,10,0.489,1,0.656,1,0.889,0.941
1,20,50000,10,0.099,1,0.18,0,0,0
2,20,50000,30,0.975,0.982,0.979,0.992,0.99,0.991
2,50,10000,10,0.906,0.994,0.948,0.999,0.989,0.994
2,50,200,30,0.325,1,0.491,0,0,0
2,100,10000,40,0.992,0.992,0.992,0.995,0.995,0.995
2,20,5000,5,0.714,1,0.833,1,0.969,0.984
2,500,200,10,0,0,0,0.85,1,0.919
2,50,5000,30,0.977,0.993,0.985,0.997,0.989,0.993
1,1000,50000,30,0,0,0,0.701,1,0.824
1,500,50000,40,0.395,1,0.566,0,0,0
2,100,10000,5,0.807,0.967,0.88,0.998,0.988,0.993
2,100,1000,50,0.981,0.99,0.986,0.989,0.979,0.984
1,1000,50000,50,0,0,0,0.507,1,0.673
1,50,5000,50,0.51,1,0.676,0,0,0
2,500,10000,50,0.517,1,0.682,0,0,0
1,50,500,20,0,0,0,0.8,1,0.889
1,50,5000,30,0.981,1,0.99,1,0.991,0.995
1,500,1000,30,0.272,1,0.427,0,0,0
1,100,500,30,0.49,1,0.658,1,0.671,0.803
2,1000,10000,5,0.052,1,0.1,0,0,0
1,100,500,50,0.909,1,0.952,1,0.92,0.958
1,20,1000,30,0.902,0.92,0.911,0.969,0.962,0.965
2,50,5000,10,0.918,1,0.957,1,0.991,0.995
1,100,1000,10,0,0,0,0.911,1,0.953
1,50,5000,10,0.971,1,0.985,1,0.997,0.998
2,100,1000,40,1,0.919,0.958,0.942,1,0.97
1,100,10000,50,0.61,1,0.758,1,0.352,0.521
2,50,50000,30,0.979,0.984,0.982,0.993,0.991,0.992
2,20,5000,10,0,0,0,0.905,1,0.95
1,50,1000,20,0.605,1,0.754,1,0.89,0.942
1,500,50000,5,0.701,1,0.824,1,0.977,0.988
2,20,10000,5,0.769,0.976,0.86,0.999,0.986,0.992
2,20,500,20,0,0,0,0.77,1,0.87
2,20,500,5,0.4,1,0.571,1,0.969,0.984
1,20,1000,20,0.696,0.889,0.78,0.97,0.903,0.935
1,1000,1000,5,0.046,1,0.088,0,0,0
1,100,1000,40,0,0,0,0.56,1,0.718
2,50,50000,20,0.979,0.998,0.989,0.999,0.995,0.997
1,50,1000,5,0,0,0,0.967,1,0.983
1,500,200,40,0,0,0,0.525,1,0.689
2,50,200,50,0,0,0,0.475,1,0.644
1,100,500,10,0.06,1,0.113,0,0,0
1,50,200,40,0.525,1,0.689,0,0,0
2,1000,500,30,0.35,1,0.519,0,0,0
2,20,5000,30,0.939,0.98,0.959,0.991,0.971,0.981
2,500,50000,50,0.497,1,0.664,0,0,0
1,1000,1000,20,0,0,0,0.744,1,0.853
1,1000,50000,10,0.098,1,0.179,0,0,0
1,1000,10000,30,0.302,1,0.464,0,0,0
2,20,5000,50,0.98,0.982,0.981,0.981,0.979,0.98
1,20,5000,30,0,0,0,0.685,1,0.813
1,20,5000,10,0.959,1,0.979,1,0.995,0.998
2,100,50000,5,0.87,0.998,0.929,1,0.993,0.996
2,100,5000,40,0.979,0.992,0.986,0.995,0.987,0.991
2,1000,5000,40,0,0,0,0.58,1,0.734
1,50,5000,40,0,0,0,0.636,1,0.778
2,100,5000,10,0.942,0.964,0.953,0.997,0.994,0.995
1,50,1000,40,0.405,1,0.577,0,0,0
1,20,5000,5,0.976,1,0.988,1,0.999,0.999
1,100,1000,20,0.435,1,0.607,1,0.664,0.798
2,500,5000,20,0,0,0,0.796,1,0.886
2,500,50000,10,0.1,1,0.181,0,0,0
2,20,200,10,1,0.5,0.667,0.947,1,0.973
2,500,5000,40,0,0,0,0.59,1,0.742
1,100,5000,5,0.414,1,0.586,1,0.929,0.963
1,500,200,30,0,0,0,0.75,1,0.857
1,20,50000,5,0.968,0.989,0.978,0.999,0.998,0.999
1,500,50000,30,0.961,1,0.98,1,0.982,0.991
2,1000,500,50,0,0,0,0.51,1,0.675
1,500,200,5,0,0,0,0.975,1,0.987
2,500,5000,5,0,0,0,0.951,1,0.975
1,20,200,10,0.125,1,0.222,1,0.821,0.901
1,50,10000,5,0.337,1,0.504,1,0.899,0.947
1,100,500,40,0,0,0,0.656,1,0.792
1,20,200,30,0,0,0,0.8,1,0.889
1,1000,500,50,0,0,0,0.53,1,0.693
1,50,200,50,0,0,0,0.5,1,0.667
2,1000,50000,5,0.048,1,0.091,0,0,0
2,1000,500,20,0,0,0,0.79,1,0.883
1,1000,200,30,0,0,0,0.725,1,0.841
1,500,1000,20,0.215,1,0.354,0,0,0
2,50,5000,5,0.78,1,0.876,1,0.986,0.993
2,1000,1000,50,0,0,0,0.503,1,0.669
1,100,10000,30,0.897,0.595,0.716,0.848,0.971,0.905
1,500,5000,40,0.993,1,0.996,1,0.995,0.998
2,100,500,10,0.692,0.818,0.75,0.977,0.955,0.966
2,20,50000,10,0.959,0.99,0.974,0.999,0.996,0.997
2,20,5000,20,0.941,0.985,0.963,0.996,0.984,0.99
1,100,50000,30,0,0,0,0.694,1,0.819
1,50,10000,20,0.893,1,0.944,1,0.973,0.986
1,100,1000,5,0.167,0.143,0.154,0.966,0.971,0.968
2,20,50000,40,0,0,0,0.599,1,0.749
1,50,5000,20,0.866,1,0.928,1,0.958,0.978
2,50,500,40,0,0,0,0.689,1,0.816
1,50,1000,10,0,0,0,0.867,1,0.929
2,500,50000,30,0,0,0,0.694,1,0.82
2,500,50000,20,0,0,0,0.804,1,0.891
2,50,1000,50,0.989,0.836,0.906,0.832,0.989,0.904
2,20,1000,50,0.99,0.941,0.964,0.942,0.99,0.966
2,20,1000,10,0.536,1,0.698,1,0.921,0.959
2,100,5000,20,0.995,0.986,0.99,0.996,0.999,0.997
2,100,500,50,0.849,0.849,0.849,0.784,0.784,0.784
2,20,200,20,1,0.667,0.8,0.974,1,0.987
2,1000,200,20,0,0,0,0.75,1,0.857
1,20,500,50,0.786,1,0.88,1,0.739,0.85
2,500,1000,50,0.462,1,0.632,0,0,0
2,1000,500,5,0.6,0.75,0.667,0.989,0.979,0.984
1,500,5000,20,0,0,0,0.785,1,0.88
2,1000,10000,40,0.968,1,0.984,1,0.98,0.99
2,1000,5000,5,0,0,0,0.955,1,0.977
2,500,200,50,0,0,0,0.5,1,0.667
1,50,500,50,0.942,1,0.97,1,0.927,0.962
1,500,1000,10,0,0,0,0.933,1,0.966
2,20,1000,40,0.935,1,0.967,1,0.947,0.973
1,1000,5000,5,0,0,0,0.951,1,0.975
2,1000,10000,10,0.1,1,0.182,0,0,0
1,500,500,5,0,0,0,0.96,1,0.98
2,100,10000,20,0,0,0,0.806,1,0.893
2,500,500,10,0,0,0,0.93,1,0.964
2,500,10000,10,0.698,0.866,0.773,0.983,0.955,0.969
1,500,50000,10,0.99,1,0.995,1,0.999,0.999
2,50,10000,20,0.953,0.992,0.972,0.998,0.987,0.993
1,50,500,40,0.456,1,0.626,0,0,0
1,1000,1000,30,0.338,1,0.506,0,0,0
2,1000,50000,50,0.997,0.993,0.995,0.993,0.997,0.995
1,500,10000,10,0.11,1,0.198,0,0,0
2,50,500,10,0,0,0,0.9,1,0.947
2,100,10000,10,0.903,0.995,0.947,0.999,0.987,0.993
2,50,5000,40,0.987,0.99,0.988,0.993,0.992,0.993
2,1000,500,10,0,0,0,0.88,1,0.936
1,1000,200,10,0,0,0,0.875,1,0.933
1,100,10000,20,0,0,0,0.81,1,0.895
1,1000,10000,20,0.204,1,0.339,0,0,0
1,50,50000,10,0.995,1,0.998,1,0.999,1
1,1000,500,10,0,0,0,0.94,1,0.969
2,1000,10000,20,0.978,0.978,0.978,0.994,0.994,0.994
2,100,200,10,0.05,1,0.095,0,0,0
1,20,1000,10,0.8,0.75,0.774,0.976,0.982,0.979
1,500,10000,40,0,0,0,0.612,1,0.759
2,20,200,50,0,0,0,0.525,1,0.689
1,500,10000,20,0,0,0,0.796,1,0.886
2,1000,1000,30,0,0,0,0.687,1,0.815
2,50,200,20,0.3,1,0.462,0,0,0
1,500,1000,50,0.441,1,0.612,0,0,0
2,100,500,20,0,0,0,0.76,1,0.864
2,20,1000,5,0,0,0,0.956,1,0.977
2,1000,1000,20,0,0,0,0.785,1,0.879
1,100,1000,30,0.709,0.875,0.783,0.921,0.802,0.857
1,100,5000,20,0.694,1,0.82,1,0.889,0.941
1,20,10000,50,0.959,1,0.979,1,0.959,0.979
