FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0,0,0,0.575,1,0.73
2,100,50000,40,1,1,1,1,1,1
1,50,200,20,0,0,0,0.875,1,0.933
1,20,10000,10,0.205,1,0.34,1,0.588,0.74
1,20,5000,20,0.201,1,0.335,0,0,0
1,1000,50000,40,0,0,0,0.595,1,0.746
1,500,500,40,0,0,0,0.5,1,0.667
2,20,10000,40,0.985,0.943,0.964,0.962,0.991,0.976
2,1000,10000,30,0,0,0,0.7,1,0.824
2,1000,50000,40,0.998,0.998,0.998,0.999,0.999,0.999
2,100,5000,30,1,1,1,1,1,1
2,50,500,50,0,0,0,0.489,1,0.657
2,500,5000,50,0.514,1,0.679,0,0,0
2,500,200,30,0,0,0,0.725,1,0.841
2,20,5000,40,1,1,1,1,1,1
1,100,10000,10,0,0,0,0.894,1,0.944
1,500,200,50,0.6,1,0.75,0,0,0
2,50,200,5,0.4,1,0.571,1,0.921,0.959
1,500,200,20,0,0,0,0.8,1,0.889
2,500,50000,40,0.4,1,0.572,0,0,0
1,500,1000,5,0.051,1,0.098,0,0,0
1,20,500,30,0.435,0.8,0.563,0.907,0.653,0.76
2,1000,50000,30,0,0,0,0.705,1,0.827
1,100,50000,40,0,0,0,0.604,1,0.753
2,100,10000,50,0.999,0.995,0.997,0.995,0.999,0.997
2,500,50000,5,0,0,0,0.955,1,0.977
1,1000,500,5,0.5,1,0.667,1,0.947,0.973
1,1000,10000,5,0.052,1,0.1,0,0,0
2,100,5000,50,0,0,0,0.484,1,0.652
1,1000,500,20,0,0,0,0.84,1,0.913
2,20,50000,5,1,1,1,1,1,1
1,100,5000,40,0,0,0,0.583,1,0.736
2,500,1000,5,0.615,1,0.762,1,0.973,0.986
2,20,10000,20,0.192,1,0.322,0,0,0
2,1000,5000,30,0.996,0.993,0.995,0.997,0.999,0.998
1,100,50000,20,0.688,0.965,0.804,0.99,0.891,0.938
1,100,50000,10,0.289,1,0.449,1,0.729,0.843
1,50,10000,50,0.869,1,0.93,1,0.851,0.92
1,20,1000,50,0.717,1,0.835,1,0.527,0.691
1,500,10000,5,0.042,1,0.08,0,0,0
1,1000,5000,40,0,0,0,0.613,1,0.76
1,20,10000,5,0.109,0.91,0.194,0.994,0.662,0.795
1,100,500,5,0,0,0,0.95,1,0.974
2,50,1000,20,0.8,0.632,0.706,0.907,0.958,0.932
2,20,1000,30,1,1,1,1,1,1
2,20,10000,30,0,0,0,0.711,1,0.831
2,500,500,5,0,0,0,0.94,1,0.969
2,20,50000,20,0.954,0.958,0.956,0.989,0.988,0.989
1,1000,1000,50,0,0,0,0.492,1,0.66
1,1000,200,40,0,0,0,0.6,1,0.75
1,500,500,10,0,0,0,0.84,1,0.913
1,500,5000,5,0,0,0,0.952,1,0.975
1,20,200,5,0,0,0,0.9,1,0.947
1,50,1000,30,0,0,0,0.728,1,0.842
1,50,50000,50,0.831,0.962,0.892,0.956,0.807,0.875
2,50,500,5,0,0,0,0.95,1,0.974
1,1000,5000,30,0.748,0.935,0.831,0.965,0.849,0.903
1,100,200,40,0,0,0,0.625,1,0.769
2,20,10000,50,1,1,1,1,1,1
2,100,200,50,0.375,1,0.545,0,0,0
2,100,50000,30,0.998,0.996,0.997,0.998,0.999,0.999
1,50,1000,50,0.794,0.917,0.851,0.878,0.714,0.788
1,500,200,10,0,0,0,0.825,1,0.904
2,50,1000,40,0.952,1,0.975,1,0.967,0.983
2,50,1000,5,0.643,0.9,0.75,0.994,0.971,0.982
2,20,500,40,1,1,1,1,1,1
1,20,5000,50,0.797,0.831,0.814,0.822,0.787,0.804
2,20,500,30,1,1,1,1,1,1
1,20,10000,30,0.597,0.943,0.731,0.969,0.738,0.838
1,20,50000,30,0.562,0.924,0.699,0.957,0.7,0.808
2,20,200,30,0,0,0,0.725,1,0.841
1,1000,10000,50,0.509,1,0.675,0,0,0
2,100,50000,50,1,1,1,1,1,1
1,1000,50000,20,0.206,1,0.342,0,0,0
1,100,200,30,0,0,0,0.775,1,0.873
2,50,50000,50,0,0,0,0.501,1,0.667
1,100,5000,10,0,0,0,0.917,1,0.957
1,1000,500,40,0,0,0,0.63,1,0.773
1,1000,200,50,0,0,0,0.625,1,0.769
2,500,10000,20,1,1,1,1,1,1
1,100,5000,30,0,0,0,0.699,1,0.823
2,1000,200,10,0,0,0,0.925,1,0.961
2,1000,1000,40,0,0,0,0.579,1,0.734
2,100,1000,30,0.922,0.855,0.887,0.938,0.968,0.953
1,500,5000,50,0.491,1,0.659,0,0,0
2,1000,50000,10,0,0,0,0.897,1,0.946
2,50,200,40,0,0,0,0.425,1,0.596
2,100,1000,10,1,1,1,1,1,1
2,50,1000,30,0.898,0.786,0.838,0.908,0.96,0.933
1,1000,10000,10,0,0,0,0.909,1,0.952
2,1000,200,5,0,0,0,0.95,1,0.974
1,500,500,30,0,0,0,0.71,1,0.83
2,20,500,10,0,0,0,0.96,1,0.98
1,20,500,5,0,0,0,0.96,1,0.98
2,50,1000,10,0,0,0,0.917,1,0.957
1,1000,5000,50,0.494,1,0.661,0,0,0
2,50,200,10,0,0,0,0.9,1,0.947
1,100,50000,5,0.291,0.935,0.443,0.996,0.876,0.932
1,20,200,20,0,0,0,0.8,1,0.889
1,500,1000,40,0,0,0,0.59,1,0.742
1,500,5000,30,0.282,1,0.44,0,0,0
2,500,500,40,1,0.951,0.975,0.967,1,0.983
1,50,5000,5,0,0,0,0.952,1,0.975
1,50,200,5,0,0,0,0.974,0.974,0.974
2,1000,200,30,0,0,0,0.75,1,0.857
2,100,1000,5,0.667,0.75,0.706,0.988,0.983,0.985
1,20,1000,40,0,0,0,0.585,1,0.738
2,1000,5000,10,0.113,1,0.203,0,0,0
1,1000,1000,10,0,0,0,0.908,1,0.952
2,500,200,5,0,0,0,0.975,1,0.987
2,1000,500,40,0,0,0,0.6,1,0.75
2,100,50000,10,1,1,1,1,1,1
2,20,200,40,0.778,0.412,0.538,0.677,0.913,0.778
2,100,200,20,0,0,0,0.875,1,0.933
1,20,10000,20,0,0,0,0.811,1,0.896
1,20,50000,40,0,0,0,0.609,1,0.757
2,500,5000,10,0.11,1,0.198,0,0,0
2,100,200,30,0,0,0,0.6,1,0.75
2,50,50000,10,0.998,0.993,0.995,0.999,1,0.999
2,20,10000,10,0.854,0.988,0.916,0.999,0.982,0.99
1,1000,50000,5,0.046,1,0.087,0,0,0
2,500,10000,40,0.413,1,0.585,0,0,0
1,1000,5000,10,0.162,1,0.279,1,0.476,0.645
1,20,50000,50,0,0,0,0.507,1,0.672
1,500,10000,50,0.567,1,0.724,1,0.242,0.39
1,20,1000,5,0.189,0.778,0.304,0.986,0.825,0.898
1,50,50000,5,0.142,0.965,0.248,0.998,0.71,0.83
2,500,1000,20,0,0,0,0.826,1,0.904
1,1000,200,20,0,0,0,0.6,1,0.75
2,50,10000,30,0.977,0.994,0.986,0.998,0.991,0.994
1,50,200,10,0,0,0,0.8,1,0.889
1,1000,1000,40,0,0,0,0.646,1,0.785
1,50,50000,30,0.741,0.911,0.817,0.958,0.864,0.909
1,500,5000,10,0,0,0,0.888,1,0.941
2,500,200,20,0,0,0,0.875,1,0.933
2,100,500,30,0.788,0.929,0.852,0.97,0.903,0.935
1,1000,200,5,0,0,0,0.95,1,0.974
2,1000,1000,10,0.067,1,0.125,0,0,0
1,50,500,10,0.189,1,0.318,1,0.677,0.808
2,100,500,40,0,0,0,0.567,1,0.723
1,100,50000,50,0.753,0.923,0.83,0.905,0.708,0.794
1,50,10000,10,0.337,0.944,0.497,0.992,0.794,0.882
1,20,50000,10,0.261,0.715,0.382,0.959,0.766,0.852
2,20,50000,30,1,1,1,1,1,1
2,50,10000,10,0.869,1,0.93,1,0.984,0.992
2,50,200,30,1,0.706,0.828,0.821,1,0.902
2,100,10000,40,0.395,1,0.566,0,0,0
2,20,5000,5,0.695,0.911,0.788,0.996,0.98,0.988
2,500,200,10,0,0,0,0.875,1,0.933
2,50,5000,30,0.997,1,0.998,1,0.999,0.999
1,1000,50000,30,0,0,0,0.702,1,0.825
1,500,50000,40,0,0,0,0.598,1,0.748
