FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0,0,0,0.5,1,0.667
2,100,50000,40,0.995,0.984,0.989,0.989,0.996,0.993
1,50,200,20,0.875,1,0.933,1,0.97,0.985
1,20,10000,10,0.969,1,0.984,1,0.996,0.998
1,20,5000,20,0.994,1,0.997,1,0.999,0.999
1,1000,50000,40,0,0,0,0.595,1,0.746
1,500,500,40,0,0,0,0.62,1,0.765
2,20,10000,40,0.996,0.996,0.996,0.997,0.997,0.997
2,1000,10000,30,0,0,0,0.699,1,0.822
2,1000,50000,40,0,0,0,0.611,1,0.758
2,100,5000,30,0.995,0.669,0.8,0.863,0.998,0.926
2,50,500,50,1,0.9,0.947,0.926,1,0.962
2,500,5000,50,0,0,0,0.508,1,0.674
2,500,200,30,0,0,0,0.675,1,0.806
2,20,5000,40,0.963,0.99,0.976,0.993,0.975,0.984
1,100,10000,10,0.99,1,0.995,1,0.999,0.999
1,500,200,50,1,1,1,1,1,1
2,50,200,5,0.333,1,0.5,1,0.895,0.944
1,500,200,20,0.556,1,0.714,1,0.886,0.939
2,500,50000,40,0,0,0,0.602,1,0.752
1,500,1000,5,0,0,0,0.949,1,0.974
1,20,500,30,1,1,1,1,1,1
2,1000,50000,30,0,0,0,0.699,1,0.823
1,100,50000,40,0.94,1,0.969,1,0.957,0.978
2,100,10000,50,0.871,0.916,0.893,0.907,0.858,0.882
2,500,50000,5,0,0,0,0.954,1,0.976
1,1000,500,5,0,0,0,0.97,1,0.985
1,1000,10000,5,0,0,0,0.948,1,0.973
2,100,5000,50,0.487,0.994,0.654,0,0,0
1,1000,500,20,0,0,0,0.78,1,0.876
2,20,50000,5,0.992,1,0.996,1,1,1
1,100,5000,40,0.894,1,0.944,1,0.931,0.964
2,500,1000,5,0,0,0,0.938,1,0.968
2,20,10000,20,0.974,0.988,0.981,0.997,0.994,0.996
2,1000,5000,30,0,0,0,0.701,1,0.824
1,100,50000,20,0.457,1,0.628,1,0.717,0.835
1,100,50000,10,0.86,1,0.925,1,0.982,0.991
1,50,10000,50,0.991,1,0.996,1,0.99,0.995
1,20,1000,50,1,0.967,0.983,0.973,1,0.987
1,500,10000,5,0,0,0,0.956,1,0.977
1,1000,5000,40,0,0,0,0.611,1,0.759
1,20,10000,5,0.976,1,0.988,1,0.999,0.999
1,100,500,5,1,1,1,1,1,1
2,50,1000,20,0.759,0.55,0.638,0.881,0.95,0.914
2,20,1000,30,1,0.947,0.973,0.976,1,0.988
2,20,10000,30,0.97,0.991,0.981,0.996,0.986,0.991
2,500,500,5,0,0,0,0.98,1,0.99
2,20,50000,20,0.996,1,0.998,1,0.999,0.999
1,1000,1000,50,0,0,0,0.462,1,0.632
1,1000,200,40,1,0.9,0.947,0.909,1,0.952
1,500,500,10,0,0,0,0.91,1,0.953
1,500,5000,5,0,0,0,0.934,1,0.966
1,20,200,5,0.5,0.333,0.4,0.947,0.973,0.96
1,50,1000,30,0.906,1,0.95,1,0.962,0.981
1,50,50000,50,1,1,1,1,1,1
2,50,500,5,0.429,1,0.6,1,0.959,0.979
1,1000,5000,30,0,0,0,0.717,1,0.835
1,100,200,40,0.824,0.933,0.875,0.957,0.88,0.917
2,20,10000,50,0.997,0.999,0.998,0.999,0.997,0.998
2,100,200,50,0.88,0.957,0.917,0.933,0.824,0.875
2,100,50000,30,0.987,0.573,0.725,0.847,0.997,0.916
1,50,1000,50,0.96,1,0.979,1,0.962,0.981
1,500,200,10,0.583,1,0.737,1,0.848,0.918
2,50,1000,40,0.903,0.727,0.806,0.848,0.951,0.897
2,50,1000,5,0.714,1,0.833,1,0.976,0.988
2,20,500,40,1,0.977,0.989,0.979,1,0.989
1,20,5000,50,0.996,1,0.998,1,0.996,0.998
2,20,500,30,1,1,1,1,1,1
1,20,10000,30,0.991,1,0.996,1,0.996,0.998
1,20,50000,30,0.999,1,0.999,1,0.999,1
2,20,200,30,1,0.938,0.968,0.96,1,0.98
1,1000,10000,50,0,0,0,0.484,1,0.653
2,100,50000,50,0.987,0.822,0.897,0.846,0.989,0.912
1,1000,50000,20,0,0,0,0.802,1,0.89
1,100,200,30,0,0,0,0.575,1,0.73
2,50,50000,50,1,0.402,0.573,0.626,1,0.77
1,100,5000,10,0.99,0.97,0.98,0.997,0.999,0.998
1,1000,500,40,0,0,0,0.65,1,0.788
1,1000,200,50,0,0,0,0.55,1,0.71
2,500,10000,20,0,0,0,0.8,1,0.889
1,100,5000,30,0.761,0.998,0.86,0.998,0.84,0.901
2,1000,200,10,1,1,1,1,1,1
2,1000,1000,40,0,0,0,0.564,1,0.721
2,100,1000,30,0.851,0.611,0.709,0.881,0.91,0.923
1,500,5000,50,0,0,0,0.501,1,0.668
2,1000,50000,10,0,0,0,0.901,1,0.948
2,50,200,40,0.917,0.917,0.917,0.964,0.964,0.964
2,100,1000,10,1,0.684,0.813,0.964,1,0.982
2,50,1000,30,1,0.959,0.979,0.985,1,0.992
1,1000,10000,10,0,0,0,0.899,1,0.947
2,1000,200,5,0,0,0,0.949,0.974,0.961
1,500,500,30,0,0,0,0.65,1,0.788
2,20,500,10,1,1,1,1,1,1
1,20,500,5,0.667,1,0.8,1,0.99,0.995
2,50,1000,10,1,0.875,0.933,0.988,1,0.994
1,1000,5000,50,0,0,0,0.51,1,0.675
2,50,200,10,0.75,0.75,0.75,0.972,0.972,0.972
1,100,50000,5,0.987,1,0.993,1,0.999,1
1,20,200,20,0.778,1,0.875,1,0.939,0.969
1,500,1000,40,0,0,0,0.61,1,0.758
1,500,5000,30,0,0,0,0.694,1,0.819
2,500,500,40,0,0,0,0.61,1,0.758
1,50,5000,5,0.764,1,0.866,1,0.986,0.993
1,50,200,5,0.75,1,0.857,1,0.973,0.986
2,1000,200,30,1,0.5,0.667,0.824,1,0.903
2,100,1000,5,1,0.545,0.706,0.971,1,0.985
1,20,1000,40,1,1,1,1,1,1
2,1000,5000,10,0,0,0,0.905,1,0.95
1,1000,1000,10,0,0,0,0.892,1,0.943
2,500,200,5,0,0,0,0.875,1,0.933
2,1000,500,40,0,0,0,0.57,1,0.726
2,100,50000,10,0.714,0.909,0.8,0.99,0.96,0.975
2,20,200,40,1,0.875,0.933,0.923,1,0.96
2,100,200,20,0.333,0.25,0.286,0.919,0.944,0.932
1,20,10000,20,0.982,1,0.991,1,0.995,0.998
1,20,50000,40,0.983,1,0.991,1,0.988,0.994
2,500,5000,10,0,0,0,0.897,1,0.946
2,100,200,30,1,0.923,0.96,0.964,1,0.982
2,50,50000,10,0.9,0.989,0.942,0.999,0.987,0.993
2,20,10000,10,0.919,0.995,0.955,0.999,0.989,0.994
1,1000,50000,5,0,0,0,0.951,1,0.975
2,500,10000,40,0,0,0,0.593,1,0.744
1,1000,5000,10,0,0,0,0.904,1,0.95
1,20,50000,50,1,1,1,1,1,1
1,500,10000,50,0,0,0,0.508,1,0.674
1,20,1000,5,1,0.875,0.933,0.994,1,0.997
1,50,50000,5,0.813,1,0.897,1,0.989,0.995
2,500,1000,20,0,0,0,0.779,1,0.876
1,1000,200,20,0,0,0,0.7,1,0.824
2,50,10000,30,0.973,0.998,0.986,0.999,0.988,0.994
1,50,200,10,0.143,1,0.25,1,0.846,0.917
1,1000,1000,40,0,0,0,0.585,1,0.738
1,50,50000,30,0.996,1,0.998,1,0.998,0.999
1,500,5000,10,0,0,0,0.892,1,0.943
2,500,200,20,0,0,0,0.85,1,0.919
2,100,500,30,0.962,0.893,0.926,0.959,0.986,0.973
1,1000,200,5,0,0,0,0.925,1,0.961
2,1000,1000,10,0,0,0,0.908,1,0.952
1,50,500,10,0.714,1,0.833,1,0.956,0.977
2,100,500,40,0.796,0.975,0.876,0.976,0.8,0.879
1,100,50000,50,0.983,1,0.991,1,0.983,0.992
1,50,10000,10,0.894,0.977,0.933,0.998,0.988,0.993
1,20,50000,10,0.996,1,0.998,1,1,1
2,20,50000,30,0.996,0.993,0.994,0.997,0.998,0.998
2,50,10000,10,0.937,0.68,0.788,0.967,0.995,0.981
2,50,200,30,0.812,1,0.897,1,0.889,0.941
2,100,10000,40,0.985,0.851,0.913,0.909,0.991,0.948
2,20,5000,5,0.985,0.957,0.971,0.997,0.999,0.998
2,500,200,10,0,0,0,0.85,1,0.919
2,50,5000,30,0.969,0.95,0.96,0.977,0.986,0.982
1,1000,50000,30,0,0,0,0.701,1,0.824
1,500,50000,40,0,0,0,0.606,1,0.754
2,100,10000,5,0.726,0.758,0.742,0.987,0.985,0.986
2,100,1000,50,0.99,0.942,0.966,0.941,0.99,0.964
1,1000,50000,50,0,0,0,0.507,1,0.673
1,50,5000,50,1,1,1,1,1,1
2,500,10000,50,0,0,0,0.483,1,0.651
1,50,500,20,0,0,0,0.796,0.975,0.876
1,50,5000,30,0.817,0.971,0.887,0.985,0.895,0.938
1,500,1000,30,0,0,0,0.728,1,0.843
1,100,500,30,0.828,1,0.906,1,0.934,0.966
2,1000,10000,5,0,0,0,0.948,1,0.973
1,100,500,50,0.833,0.75,0.789,0.815,0.88,0.846
1,20,1000,30,1,0.98,0.99,0.992,1,0.996
2,50,5000,10,0.842,0.944,0.89,0.994,0.982,0.988
1,100,1000,10,0.6,0.938,0.732,0.994,0.939,0.966
1,50,5000,10,1,1,1,1,1,1
2,100,1000,40,0.966,0.651,0.778,0.789,0.982,0.875
1,100,10000,50,0.506,1,0.672,1,0.008,0.016
2,50,50000,30,0.987,0.991,0.989,0.996,0.995,0.996
2,20,5000,10,1,1,1,1,1,1
1,50,1000,20,0.963,1,0.981,1,0.994,0.997
1,500,50000,5,0,0,0,0.949,1,0.974
2,20,10000,5,0.92,0.976,0.947,0.999,0.996,0.997
2,20,500,20,1,1,1,1,1,1
2,20,500,5,1,1,1,1,1,1
1,20,1000,20,0.923,1,0.96,1,0.979,0.989
1,1000,1000,5,0,0,0,0.954,1,0.976
1,100,1000,40,0,0,0,0.56,1,0.718
2,50,50000,20,0.98,0.988,0.984,0.997,0.995,0.996
1,50,1000,5,0.375,1,0.545,1,0.943,0.97
1,500,200,40,0,0,0,0.525,1,0.689
2,50,200,50,1,0.524,0.688,0.655,1,0.792
1,100,500,10,0.4,1,0.571,1,0.904,0.95
1,50,200,40,0.955,1,0.977,1,0.947,0.973
2,1000,500,30,0,0,0,0.65,1,0.788
2,20,5000,30,0.99,0.983,0.987,0.992,0.995,0.994
2,500,50000,50,0,0,0,0.503,1,0.669
1,1000,1000,20,0,0,0,0.744,1,0.853
1,1000,50000,10,0,0,0,0.902,1,0.948
1,1000,10000,30,0,0,0,0.698,1,0.822
2,20,5000,50,0.994,0.642,0.78,0.727,0.996,0.841
1,100,10000,40,0.835,0.983,0.903,0.988,0.874,0.927
1,20,5000,30,1,1,1,1,1,1
1,20,5000,10,0.979,1,0.989,1,0.998,0.999
2,100,50000,5,0.997,0.813,0.896,0.991,1,0.995
2,100,5000,40,0.946,0.913,0.929,0.947,0.967,0.957
2,1000,5000,40,0,0,0,0.58,1,0.734
1,50,5000,40,0.976,1,0.988,1,0.986,0.993
2,100,5000,10,0.982,0.643,0.777,0.967,0.999,0.983
1,50,1000,40,0.827,1,0.905,1,0.857,0.923
1,20,5000,5,0.976,1,0.988,1,0.999,0.999
1,100,1000,20,0.673,1,0.804,1,0.874,0.933
2,500,5000,20,0,0,0,0.796,1,0.886
2,500,50000,10,0,0,0,0.9,1,0.948
2,20,200,10,1,0.5,0.667,0.947,1,0.973
2,500,5000,40,0,0,0,0.59,1,0.742
1,100,5000,5,0.245,1,0.393,1,0.845,0.916
1,500,200,30,0.588,1,0.741,1,0.767,0.868
1,20,50000,5,0.998,1,0.999,1,1,1
1,500,50000,30,0,0,0,0.693,1,0.818
2,1000,500,50,0,0,0,0.51,1,0.675
1,500,200,5,0,0,0,0.975,1,0.987
2,500,5000,5,0,0,0,0.951,1,0.975
1,20,200,10,1,1,1,1,1,1
1,50,10000,5,0.936,1,0.967,1,0.996,0.998
1,100,500,40,0.861,1,0.925,1,0.915,0.956
1,20,200,30,0.727,1,0.842,1,0.906,0.951
1,1000,500,50,0,0,0,0.53,1,0.693
