FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,1.0,1.0,1.0,1.0,1.0,1.0
2,100,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
1,50,200,20,0.4,0.8,0.533,0.967,0.829,0.892
1,20,10000,10,1.0,1.0,1.0,1.0,1.0,1.0
1,20,5000,20,1.0,1.0,1.0,1.0,1.0,1.0
1,1000,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
1,500,500,40,0.892,0.66,0.759,0.73,0.92,0.814
2,20,10000,40,1.0,1.0,1.0,1.0,1.0,1.0
2,1000,10000,30,1.0,1.0,1.0,1.0,1.0,1.0
2,1000,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
2,100,5000,30,1.0,1.0,1.0,1.0,1.0,1.0
2,50,500,50,1.0,1.0,1.0,1.0,1.0,1.0
2,500,5000,50,1.0,1.0,1.0,1.0,1.0,1.0
2,500,200,30,1.0,0.727,0.842,0.906,1.0,0.951
2,20,5000,40,1.0,1.0,1.0,1.0,1.0,1.0
1,100,10000,10,1.0,1.0,1.0,1.0,1.0,1.0
1,500,200,50,0.857,0.5,0.632,0.538,0.875,0.667
2,50,200,5,0.5,1.0,0.667,1.0,0.947,0.973
1,500,200,20,0.348,1.0,0.516,1.0,0.531,0.694
2,500,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
1,500,1000,5,0.05,1.0,0.095,0.0,0.0,0.0
1,20,500,30,0.606,0.8,0.69,0.925,0.827,0.873
2,1000,50000,30,1.0,1.0,1.0,1.0,1.0,1.0
1,100,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
2,100,10000,50,1.0,1.0,1.0,1.0,1.0,1.0
2,500,50000,5,1.0,1.0,1.0,1.0,1.0,1.0
1,1000,500,5,0.0,0.0,0.0,0.95,1.0,0.974
1,1000,10000,5,0.991,1.0,0.995,1.0,0.999,1.0
2,100,5000,50,1.0,1.0,1.0,1.0,1.0,1.0
1,1000,500,20,0.667,1.0,0.8,1.0,0.905,0.95
2,20,50000,5,1.0,1.0,1.0,1.0,1.0,1.0
1,100,5000,40,1.0,1.0,1.0,1.0,1.0,1.0
2,500,1000,5,1.0,0.111,0.2,0.96,1.0,0.979
2,20,10000,20,1.0,1.0,1.0,1.0,1.0,1.0
2,1000,5000,30,1.0,1.0,1.0,1.0,1.0,1.0
1,100,50000,20,0.999,1.0,0.999,1.0,1.0,1.0
1,100,50000,10,1.0,1.0,1.0,1.0,1.0,1.0
1,50,10000,50,0.998,1.0,0.999,1.0,0.998,0.999
1,20,1000,50,0.689,0.569,0.623,0.573,0.692,0.627
1,500,10000,5,1.0,1.0,1.0,1.0,1.0,1.0
1,1000,5000,40,0.88,1.0,0.936,1.0,0.914,0.955
1,20,10000,5,1.0,1.0,1.0,1.0,1.0,1.0
1,100,500,5,0.333,0.6,0.429,0.978,0.937,0.957
2,50,1000,20,0.927,1.0,0.962,1.0,0.979,0.989
