FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0.867,0.65,0.743,0.72,0.9,0.8
2,100,50000,40,1,0.999,0.999,0.999,1,1
1,50,200,20,0.875,1,0.933,1,0.97,0.985
1,20,10000,10,1,1,1,1,1,1
1,20,5000,20,1,1,1,1,1,1
1,1000,50000,40,0,0,0,0.595,1,0.746
1,500,500,40,1,0.921,0.959,0.954,1,0.976
2,20,10000,40,1,1,1,1,1,1
2,1000,10000,30,0,0,0,0.699,1,0.822
2,1000,50000,40,1,0.998,0.999,0.999,1,0.999
2,100,5000,30,0.997,0.994,0.995,0.997,0.998,0.998
2,50,500,50,0.975,0.975,0.975,0.98,0.98,0.98
2,500,5000,50,0.998,1,0.999,1,0.998,0.999
2,500,200,30,0.833,0.769,0.8,0.893,0.926,0.909
2,20,5000,40,1,0.995,0.997,0.997,1,0.998
1,100,10000,10,1,1,1,1,1,1
1,500,200,50,0.938,1,0.968,1,0.96,0.98
2,50,200,5,0.5,0.5,0.5,0.974,0.974,0.974
1,500,200,20,0,0,0,0.875,1,0.933
2,500,50000,40,0.999,0.998,0.999,0.999,1,0.999
1,500,1000,5,0.444,0.4,0.421,0.968,0.973,0.97
1,20,500,30,1,1,1,1,1,1
2,1000,50000,30,0,0,0,0.699,1,0.823
1,100,50000,40,0.999,1,1,1,1,1
2,100,10000,50,0.998,0.999,0.998,0.999,0.998,0.998
2,500,50000,5,0.957,1,0.978,1,0.998,0.999
1,1000,500,5,1,1,1,1,1,1
1,1000,10000,5,1,1,1,1,1,1
2,100,5000,50,0.994,1,0.997,1,0.994,0.997
1,1000,500,20,0.786,1,0.88,1,0.923,0.96
2,20,50000,5,0.998,1,0.999,1,1,1
1,100,5000,40,0.995,1,0.997,1,0.997,0.998
2,500,1000,5,0.688,0.917,0.786,0.994,0.973,0.983
2,20,10000,20,0.994,0.997,0.996,0.999,0.999,0.999
2,1000,5000,30,0,0,0,0.701,1,0.824
1,100,50000,20,0.999,1,0.999,1,1,1
1,100,50000,10,0.996,1,0.998,1,1,1
1,50,10000,50,0.998,1,0.999,1,0.998,0.999
1,20,1000,50,1,1,1,1,1,1
1,500,10000,5,0.967,1,0.983,1,0.998,0.999
1,1000,5000,40,1,1,1,1,1,1
1,20,10000,5,0.988,1,0.994,1,0.999,1
1,100,500,5,1,1,1,1,1,1
2,50,1000,20,0.944,0.85,0.895,0.958,0.986,0.972
2,20,1000,30,1,1,1,1,1,1
