FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0.882,0.75,0.811,0.783,0.9,0.837
2,100,50000,40,0.996,1,0.998,1,0.997,0.999
1,50,200,20,0.538,1,0.7,1,0.818,0.9
1,20,10000,10,1,1,1,1,1,1
1,20,5000,20,0.994,1,0.997,1,0.999,0.999
1,1000,50000,40,0,0,0,0.595,1,0.746
1,500,500,40,1,1,1,1,1,1
2,20,10000,40,0.996,1,0.998,1,0.997,0.999
2,1000,10000,30,0,0,0,0.699,1,0.822
2,1000,50000,40,0,0,0,0.611,1,0.758
2,100,5000,30,0.997,1,0.998,1,0.998,0.999
2,50,500,50,0.975,0.975,0.975,0.98,0.98,0.98
2,500,5000,50,0.996,1,0.998,1,0.996,0.998
2,500,200,30,1,0.308,0.471,0.75,1,0.857
2,20,5000,40,0.995,0.995,0.995,0.997,0.997,0.997
1,100,10000,10,0.995,1,0.997,1,0.999,1
1,500,200,50,0.867,0.867,0.867,0.92,0.92,0.92
2,50,200,5,0.667,1,0.8,1,0.974,0.987
1,500,200,20,0.714,1,0.833,1,0.943,0.971
2,500,50000,40,1,1,1,1,1,1
1,500,1000,5,0.37,1,0.541,1,0.908,0.952
1,20,500,30,0.966,1,0.982,1,0.986,0.993
2,1000,50000,30,0.999,0.993,0.996,0.997,1,0.998
1,100,50000,40,1,1,1,1,1,1
2,100,10000,50,1,0.998,0.999,0.998,1,0.999
2,500,50000,5,0.991,1,0.996,1,1,1
1,1000,500,5,0.048,1,0.091,1,0.381,0.552
1,1000,10000,5,0,0,0,0.948,1,0.973
2,100,5000,50,1,0.998,0.999,0.998,1,0.999
1,1000,500,20,0.242,1,0.389,1,0.115,0.207
2,20,50000,5,0.99,0.998,0.994,1,0.999,1
1,100,5000,40,0.958,1,0.978,1,0.974,0.987
2,500,1000,5,1,0.667,0.8,0.979,1,0.989
2,20,10000,20,0.963,1,0.981,1,0.991,0.996
