FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0.0,0.0,0.0,0.525,1.0,0.689
2,100,50000,40,0.999,1.0,1.0,1.0,1.0,1.0
1,50,200,20,0.462,0.75,0.571,0.926,0.781,0.847
1,20,10000,10,0.995,1.0,0.997,1.0,0.999,1.0
1,20,5000,20,0.989,0.994,0.992,0.999,0.997,0.998
1,1000,50000,40,0.999,1.0,1.0,1.0,1.0,1.0
1,500,500,40,0.841,0.949,0.892,0.964,0.885,0.923
2,20,10000,40,0.994,0.994,0.994,0.996,0.996,0.996
2,1000,10000,30,0.996,0.999,0.997,0.999,0.998,0.998
2,1000,50000,40,0.0,0.0,0.0,0.604,1.0,0.753
2,100,5000,30,0.996,0.982,0.989,0.993,0.999,0.996
2,50,500,50,0.72,0.383,0.5,0.554,0.837,0.667
2,500,5000,50,0.987,0.998,0.993,0.998,0.985,0.991
2,500,200,30,0.455,0.556,0.5,0.862,0.806,0.833
2,20,5000,40,0.992,0.997,0.995,0.998,0.995,0.997
1,100,10000,10,0.988,1.0,0.994,1.0,0.999,0.999
1,500,200,50,0.828,1.0,0.906,1.0,0.688,0.815
2,50,200,5,0.0,0.0,0.0,1.0,0.975,0.987
1,500,200,20,0.5,0.4,0.444,0.812,0.867,0.839
2,500,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
1,500,1000,5,0.562,0.9,0.692,0.995,0.963,0.979
1,20,500,30,0.857,1.0,0.923,1.0,0.947,0.973
2,1000,50000,30,1.0,0.995,0.997,0.998,1.0,0.999
1,100,50000,40,0.999,1.0,1.0,1.0,0.999,1.0
2,100,10000,50,0.996,0.997,0.997,0.997,0.996,0.996
2,500,50000,5,0.956,0.998,0.977,1.0,0.998,0.999
1,1000,500,5,0.8,1.0,0.889,1.0,0.99,0.995
1,1000,10000,5,0.991,1.0,0.995,1.0,0.999,1.0
2,100,5000,50,0.915,1.0,0.956,1.0,0.911,0.953
1,1000,500,20,0.739,1.0,0.85,1.0,0.928,0.963
2,20,50000,5,0.982,1.0,0.991,1.0,0.999,1.0
1,100,5000,40,0.995,1.0,0.997,1.0,0.997,0.998
2,500,1000,5,0.857,0.75,0.8,0.99,0.995,0.992
2,20,10000,20,0.976,0.997,0.987,0.999,0.994,0.997
2,1000,5000,30,0.997,1.0,0.998,1.0,0.999,0.999
1,100,50000,20,0.997,1.0,0.999,1.0,0.999,1.0
1,100,50000,10,1.0,1.0,1.0,1.0,1.0,1.0
1,50,10000,50,0.999,1.0,0.999,1.0,0.999,0.999
1,20,1000,50,0.975,0.865,0.917,0.901,0.982,0.94
1,500,10000,5,0.981,0.99,0.986,0.999,0.999,0.999
1,1000,5000,40,0.993,1.0,0.996,1.0,0.995,0.997
1,20,10000,5,0.99,1.0,0.995,1.0,0.999,1.0
1,100,500,5,0.833,0.833,0.833,0.989,0.989,0.989
2,50,1000,20,0.659,0.967,0.784,0.993,0.9,0.944
2,20,1000,30,0.703,0.955,0.81,0.966,0.761,0.851
2,20,10000,30,0.979,0.996,0.987,0.998,0.99,0.994
2,500,500,5,0.667,0.8,0.727,0.989,0.979,0.984
2,20,50000,20,0.995,1.0,0.997,1.0,0.999,0.999
1,1000,1000,50,0.981,1.0,0.99,1.0,0.98,0.99
1,1000,200,40,0.68,1.0,0.81,1.0,0.652,0.789
1,500,500,10,1.0,1.0,1.0,1.0,1.0,1.0
1,500,5000,5,0.935,1.0,0.966,1.0,0.997,0.998
1,20,200,5,0.087,1.0,0.16,1.0,0.447,0.618
1,50,1000,30,0.965,1.0,0.982,1.0,0.984,0.992
1,50,50000,50,1.0,1.0,1.0,1.0,1.0,1.0
2,50,500,5,0.231,1.0,0.375,1.0,0.787,0.881
1,1000,5000,30,1.0,0.512,0.677,0.835,1.0,0.91
1,100,200,40,0.56,0.737,0.636,0.667,0.476,0.556
2,20,10000,50,0.998,0.996,0.997,0.996,0.998,0.997
2,100,200,50,0.652,0.714,0.682,0.647,0.579,0.611
2,100,50000,30,0.999,0.999,0.999,1.0,1.0,1.0
1,50,1000,50,0.99,1.0,0.995,1.0,0.99,0.995
1,500,200,10,0.4,0.667,0.5,0.933,0.824,0.875
2,50,1000,40,0.879,0.967,0.921,0.97,0.891,0.929
2,50,1000,5,0.167,0.125,0.143,0.96,0.971,0.965
2,20,500,40,0.744,0.889,0.81,0.915,0.796,0.851
1,20,5000,50,0.992,0.986,0.989,0.986,0.992,0.989
2,20,500,30,0.755,1.0,0.86,1.0,0.81,0.895
1,20,10000,30,0.996,1.0,0.998,1.0,0.998,0.999
1,20,50000,30,0.999,1.0,0.999,1.0,0.999,1.0
2,20,200,30,0.692,1.0,0.818,1.0,0.636,0.778
1,1000,10000,50,1.0,1.0,1.0,1.0,1.0,1.0
2,100,50000,50,0.999,1.0,0.999,1.0,0.999,0.999
1,1000,50000,20,0.0,0.0,0.0,0.801,1.0,0.89
1,100,200,30,0.458,0.688,0.55,0.688,0.458,0.55
2,50,50000,50,0.999,1.0,1.0,1.0,0.999,0.999
1,100,5000,10,1.0,1.0,1.0,1.0,1.0,1.0
1,1000,500,40,0.972,0.814,0.886,0.875,0.982,0.926
1,1000,200,50,0.636,0.933,0.757,0.944,0.68,0.791
2,500,10000,20,0.995,0.995,0.995,0.999,0.999,0.999
1,100,5000,30,1.0,0.997,0.998,0.998,1.0,0.999
2,1000,200,10,0.6,0.6,0.6,0.943,0.943,0.943
2,1000,1000,40,0.977,1.0,0.988,1.0,0.983,0.991
2,100,1000,30,0.821,0.979,0.893,0.992,0.925,0.957
1,500,5000,50,0.994,1.0,0.997,1.0,0.994,0.997
2,1000,50000,10,0.999,0.997,0.998,1.0,1.0,1.0
2,50,200,40,0.429,0.167,0.24,0.545,0.818,0.655
2,100,1000,10,0.75,0.9,0.818,0.987,0.963,0.975
2,50,1000,30,0.881,1.0,0.937,1.0,0.945,0.972
1,1000,10000,10,0.99,1.0,0.995,1.0,0.999,0.999
2,1000,200,5,0.333,1.0,0.5,1.0,0.838,0.912
1,500,500,30,1.0,1.0,1.0,1.0,1.0,1.0
2,20,500,10,0.455,0.769,0.571,0.962,0.862,0.909
1,20,500,5,1.0,0.8,0.889,0.99,1.0,0.995
2,50,1000,10,0.417,1.0,0.588,1.0,0.873,0.932
1,1000,5000,50,0.992,1.0,0.996,1.0,0.992,0.996
2,50,200,10,0.286,0.4,0.333,0.909,0.857,0.882
1,100,50000,5,1.0,1.0,1.0,1.0,1.0,1.0
1,20,200,20,0.4,0.333,0.364,0.886,0.912,0.899
1,500,1000,40,0.953,1.0,0.976,1.0,0.966,0.983
