FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0.958,0.958,0.958,0.938,0.938,0.938
2,100,50000,40,0.995,1,0.998,1,0.997,0.998
1,50,200,20,0.5,0.5,0.5,0.944,0.944,0.944
1,20,10000,10,0.995,1,0.997,1,0.999,1
1,20,5000,20,1,1,1,1,1,1
1,1000,50000,40,0.999,1,0.999,1,0.999,1
1,500,500,40,1,1,1,1,1,1
2,20,10000,40,0.999,0.999,0.999,0.999,0.999,0.999
2,1000,10000,30,0.994,0.992,0.993,0.996,0.997,0.997
2,1000,50000,40,0.999,0.999,0.999,1,0.999,0.999
2,100,5000,30,1,1,1,1,1,1
2,50,500,50,1,1,1,1,1,1
2,500,5000,50,0.994,0.996,0.995,0.996,0.994,0.995
2,500,200,30,0.667,0.75,0.706,0.935,0.906,0.921
2,20,5000,40,0.99,1,0.995,1,0.993,0.997
1,100,10000,10,1,1,1,1,1,1
1,500,200,50,0.88,0.957,0.917,0.933,0.824,0.875
2,50,200,5,0,0,0,0.975,1,0.987
1,500,200,20,0.9,1,0.947,1,0.968,0.984
2,500,50000,40,0.998,0.997,0.997,0.998,0.999,0.998
1,500,1000,5,0.375,1,0.545,1,0.947,0.973
1,20,500,30,1,1,1,1,1,1
2,1000,50000,30,0.982,0.999,0.991,1,0.992,0.996
1,100,50000,40,0.999,1,0.999,1,0.999,1
2,100,10000,50,0.997,1,0.998,1,0.997,0.998
2,500,50000,5,0.899,0.983,0.939,0.999,0.994,0.997
1,1000,500,5,0.6,1,0.75,1,0.957,0.978
1,1000,10000,5,0.98,0.99,0.985,0.999,0.999,0.999
2,100,5000,50,0.989,1,0.995,1,0.99,0.995
1,1000,500,20,0.85,1,0.919,1,0.964,0.982
2,20,50000,5,1,1,1,1,1,1
1,100,5000,40,0.998,1,0.999,1,0.998,0.999
2,500,1000,5,0.5,0.6,0.545,0.978,0.968,0.973
2,20,10000,20,0.975,0.991,0.983,0.998,0.994,0.996
2,1000,5000,30,0.964,0.981,0.972,0.993,0.986,0.99
1,100,50000,20,0.998,1,0.999,1,1,1
1,100,50000,10,0.999,1,1,1,1,1
1,50,10000,50,1,1,1,1,1,1
1,20,1000,50,1,1,1,1,1,1
1,500,10000,5,0.99,1,0.995,1,0.999,1
1,1000,5000,40,0.995,1,0.997,1,0.997,0.998
1,20,10000,5,0.976,1,0.988,1,0.999,0.999
1,100,500,5,0.8,1,0.889,1,0.99,0.995
2,50,1000,20,1,0.967,0.983,0.993,1,0.997
2,20,1000,30,1,1,1,1,1,1
2,20,10000,30,0.996,0.998,0.997,0.999,0.998,0.999
2,500,500,5,0.4,0.8,0.533,0.989,0.937,0.962
2,20,50000,20,0.997,1,0.999,1,0.999,1
1,1000,1000,50,0.99,1,0.995,1,0.99,0.995
1,1000,200,40,0.769,0.909,0.833,0.963,0.897,0.929
1,500,500,10,0.9,0.75,0.818,0.967,0.989,0.978
1,500,5000,5,1,0.931,0.964,0.996,1,0.998
1,20,200,5,1,1,1,1,1,1
1,50,1000,30,0.981,1,0.99,1,0.992,0.996
1,50,50000,50,1,1,1,1,1,1
2,50,500,5,1,0.778,0.875,0.978,1,0.989
1,1000,5000,30,1,1,1,1,1,1
1,100,200,40,1,1,1,1,1,1
2,20,10000,50,0.995,1,0.997,1,0.995,0.997
2,100,200,50,0.733,0.917,0.815,0.8,0.5,0.615
2,100,50000,30,0.995,1,0.998,1,0.998,0.999
1,50,1000,50,0.991,1,0.995,1,0.989,0.994
