FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,1,0.947,0.973,0.955,1,0.977
2,100,50000,40,0.999,1,0.999,1,0.999,1
1,50,200,20,0.8,1,0.889,1,0.938,0.968
1,20,10000,10,0.995,1,0.997,1,0.999,1
1,20,5000,20,1,1,1,1,1,1
1,1000,50000,40,1,1,1,1,1,1
1,500,500,40,0.975,1,0.987,1,0.984,0.992
2,20,10000,40,0.995,1,0.997,1,0.997,0.998
2,1000,10000,30,1,1,1,1,1,1
2,1000,50000,40,0.999,1,1,1,1,1
2,100,5000,30,0.993,1,0.996,1,0.997,0.999
2,50,500,50,0.94,1,0.969,1,0.93,0.964
2,500,5000,50,0.998,1,0.999,1,0.998,0.999
2,500,200,30,0.9,1,0.947,1,0.968,0.984
2,20,5000,40,1,0.997,0.999,0.998,1,0.999
1,100,10000,10,0.983,1,0.991,1,0.998,0.999
1,500,200,50,1,1,1,1,1,1
1,500,200,20,1,1,1,1,1,1
2,500,50000,40,0.998,1,0.999,1,0.999,0.999
1,500,1000,5,1,0.778,0.875,0.989,1,0.995
1,20,500,30,0.96,1,0.98,1,0.987,0.993
2,1000,50000,30,0.999,1,0.999,1,1,1
1,100,50000,40,1,1,1,1,1,1
2,100,10000,50,1,0.999,1,0.999,1,0.999
2,500,50000,5,0.982,1,0.991,1,0.999,1
1,1000,500,5,0.8,1,0.889,1,0.99,0.995
1,1000,10000,5,1,1,1,1,1,1
2,100,5000,50,0.994,1,0.997,1,0.994,0.997
1,1000,500,20,0.944,1,0.971,1,0.988,0.994
2,20,50000,5,0.996,1,0.998,1,1,1
1,100,5000,40,1,1,1,1,1,1
2,500,1000,5,1,0.75,0.857,0.989,1,0.995
2,20,10000,20,0.997,0.997,0.997,0.999,0.999,0.999
2,1000,5000,30,0.993,1,0.997,1,0.997,0.999
1,100,50000,20,1,1,1,1,1,1
1,100,50000,10,1,1,1,1,1,1
1,50,10000,50,1,1,1,1,1,1
1,20,1000,50,1,1,1,1,1,1
1,500,10000,5,1,0.99,0.995,0.999,1,1
1,1000,5000,40,0.995,1,0.998,1,0.997,0.998
1,20,10000,5,1,1,1,1,1,1
1,100,500,5,1,0.667,0.8,0.979,1,0.989
2,50,1000,20,1,1,1,1,1,1
2,20,1000,30,1,0.985,0.992,0.991,1,0.996
