FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,100,1000,30,0.955,0.404,0.568,0.804,0.992,0.888
1,500,5000,50,0.788,0.967,0.868,0.954,0.724,0.823
2,1000,50000,10,0.0,0.0,0.0,0.899,1.0,0.947
2,50,200,40,0.423,0.917,0.579,0.929,0.464,0.619
2,100,1000,10,0.0,0.0,0.0,0.894,1.0,0.944
2,50,1000,30,0.741,0.408,0.526,0.81,0.947,0.873
1,1000,10000,10,0.616,0.994,0.761,0.999,0.939,0.968
2,1000,200,5,0.0,0.0,0.0,0.95,1.0,0.974
1,500,500,30,0.0,0.0,0.0,0.65,1.0,0.788
2,20,500,10,0.421,1.0,0.593,1.0,0.88,0.936
1,20,500,5,0.125,0.5,0.2,0.989,0.929,0.958
2,50,1000,10,0.203,0.875,0.329,0.982,0.665,0.793
1,1000,5000,50,0.891,1.0,0.943,1.0,0.874,0.933
2,50,200,10,0.214,0.75,0.333,0.962,0.694,0.806
1,100,50000,5,0.907,1.0,0.951,1.0,0.995,0.997
1,20,200,20,0.357,0.714,0.476,0.923,0.727,0.814
1,500,1000,40,0.435,1.0,0.606,1.0,0.187,0.315
1,500,5000,30,1.0,1.0,1.0,1.0,1.0,1.0
2,500,500,40,1.0,0.923,0.96,0.953,1.0,0.976
1,50,5000,5,0.347,1.0,0.515,1.0,0.914,0.955
1,50,200,5,0.0,0.0,0.0,0.917,0.892,0.904
2,1000,200,30,0.44,0.917,0.595,0.933,0.5,0.651
2,100,1000,5,0.119,0.636,0.2,0.967,0.692,0.807
1,20,1000,40,0.557,0.975,0.709,0.967,0.483,0.644
2,1000,5000,10,0.0,0.0,0.0,0.905,1.0,0.95
1,1000,1000,10,0.0,0.0,0.0,0.895,1.0,0.945
2,500,200,5,0.0,0.0,0.0,0.875,1.0,0.933
2,1000,500,40,0.0,0.0,0.0,0.57,1.0,0.726
2,100,50000,10,0.139,0.924,0.241,0.978,0.371,0.538
2,20,200,40,0.611,0.688,0.647,0.773,0.708,0.739
2,100,200,20,0.167,0.75,0.273,0.955,0.583,0.724
1,20,10000,20,0.967,1.0,0.983,1.0,0.991,0.995
1,20,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
2,500,5000,10,0.0,0.0,0.0,0.897,1.0,0.946
2,100,200,30,0.733,0.846,0.786,0.92,0.852,0.885
2,50,50000,10,0.951,0.968,0.959,0.996,0.994,0.995
2,20,10000,10,0.552,0.954,0.699,0.994,0.907,0.948
1,1000,50000,5,0.0,0.0,0.0,0.951,1.0,0.975
2,500,10000,40,0.0,0.0,0.0,0.593,1.0,0.744
1,1000,5000,10,0.0,0.0,0.0,0.904,1.0,0.95
1,20,50000,50,1.0,1.0,1.0,1.0,1.0,1.0
1,500,10000,50,0.934,1.0,0.966,1.0,0.931,0.964
1,20,1000,5,0.229,1.0,0.372,1.0,0.843,0.915
1,50,50000,5,0.438,0.988,0.607,0.999,0.94,0.969
2,500,1000,20,0.0,0.0,0.0,0.785,1.0,0.88
1,1000,200,20,0.324,1.0,0.49,1.0,0.107,0.194
2,50,10000,30,0.606,0.856,0.709,0.923,0.755,0.831
1,50,200,10,0.0,0.0,0.0,0.975,1.0,0.987
1,1000,1000,40,0.0,0.0,0.0,0.59,1.0,0.742
1,50,50000,30,0.825,0.971,0.892,0.986,0.91,0.947
1,500,5000,10,0.0,0.0,0.0,0.892,1.0,0.943
2,500,200,20,0.0,0.0,0.0,0.85,1.0,0.919
2,100,500,30,0.714,0.536,0.612,0.835,0.917,0.874
1,1000,200,5,0.071,0.667,0.129,0.917,0.297,0.449
2,1000,1000,10,0.0,0.0,0.0,0.905,1.0,0.95
1,50,500,10,0.5,1.0,0.667,1.0,0.889,0.941
2,100,500,40,0.892,0.825,0.857,0.868,0.92,0.893
1,100,50000,50,0.853,1.0,0.921,1.0,0.834,0.909
1,50,10000,10,0.685,1.0,0.813,1.0,0.951,0.975
1,20,50000,10,0.996,1.0,0.998,1.0,1.0,1.0
2,20,50000,30,0.999,0.998,0.998,0.999,0.999,0.999
2,50,10000,10,0.907,0.891,0.899,0.988,0.99,0.989
2,50,200,30,0.524,0.846,0.647,0.895,0.63,0.739
2,100,10000,40,0.646,0.871,0.742,0.888,0.682,0.771
2,20,5000,5,0.533,0.929,0.677,0.994,0.936,0.964
2,500,200,10,0.154,0.667,0.25,0.857,0.353,0.5
2,50,5000,30,0.959,0.94,0.95,0.973,0.982,0.977
1,1000,50000,30,0.0,0.0,0.0,0.701,1.0,0.824
1,500,50000,40,0.0,0.0,0.0,0.606,1.0,0.754
2,100,10000,5,0.78,0.934,0.85,0.996,0.986,0.991
2,100,1000,50,0.99,0.942,0.966,0.941,0.99,0.964
1,1000,50000,50,0.768,0.64,0.698,0.698,0.811,0.751
1,50,5000,50,0.974,0.966,0.97,0.965,0.973,0.969
2,500,10000,50,0.0,0.0,0.0,0.483,1.0,0.651
1,50,500,20,0.571,1.0,0.727,1.0,0.812,0.897
1,50,5000,30,0.99,1.0,0.995,1.0,0.995,0.998
1,500,1000,30,0.0,0.0,0.0,0.73,1.0,0.844
1,100,500,30,0.339,0.792,0.475,0.886,0.513,0.65
2,1000,10000,5,0.0,0.0,0.0,0.948,1.0,0.973
1,100,500,50,0.471,1.0,0.64,1.0,0.1,0.182
1,20,1000,30,0.471,0.64,0.542,0.839,0.723,0.777
2,50,5000,10,0.783,0.922,0.847,0.992,0.974,0.983
1,100,1000,10,0.2,0.938,0.33,0.99,0.634,0.773
1,50,5000,10,0.935,1.0,0.967,1.0,0.992,0.996
2,100,1000,40,0.6,0.767,0.673,0.778,0.614,0.686
1,100,10000,50,0.902,0.921,0.911,0.918,0.899,0.908
2,50,50000,30,0.487,0.699,0.574,0.848,0.695,0.764
2,20,5000,10,0.389,0.791,0.522,0.975,0.87,0.92
1,50,1000,20,0.253,0.769,0.381,0.941,0.617,0.745
1,500,50000,5,0.0,0.0,0.0,0.949,1.0,0.974
2,20,10000,5,0.65,0.951,0.772,0.998,0.976,0.986
2,20,500,20,0.412,0.913,0.568,0.959,0.61,0.746
2,20,500,5,0.083,1.0,0.154,1.0,0.776,0.874
1,20,1000,20,0.686,0.667,0.676,0.917,0.924,0.92
1,1000,1000,5,0.0,0.0,0.0,0.955,1.0,0.977
1,100,1000,40,0.661,0.886,0.757,0.878,0.643,0.742
2,50,50000,20,0.97,0.948,0.959,0.988,0.993,0.99
1,50,1000,5,0.113,1.0,0.203,1.0,0.73,0.844
1,500,200,40,0.0,0.0,0.0,0.525,1.0,0.689
2,50,200,50,1.0,0.429,0.6,0.613,1.0,0.76
1,100,500,10,0.143,1.0,0.25,1.0,0.617,0.763
1,50,200,40,0.7,1.0,0.824,1.0,0.526,0.69
2,1000,500,30,0.0,0.0,0.0,0.65,1.0,0.788
2,20,5000,30,0.984,0.993,0.988,0.997,0.992,0.995
2,500,50000,50,0.0,0.0,0.0,0.503,1.0,0.669
1,1000,1000,20,0.0,0.0,0.0,0.75,1.0,0.857
1,1000,50000,10,0.0,0.0,0.0,0.902,1.0,0.948
1,1000,10000,30,0.952,0.985,0.968,0.993,0.979,0.986
2,20,5000,50,0.913,0.998,0.954,0.998,0.901,0.947
1,100,10000,40,0.697,1.0,0.821,1.0,0.719,0.836
1,20,5000,30,0.815,0.98,0.89,0.99,0.898,0.942
1,20,5000,10,0.329,1.0,0.495,1.0,0.778,0.875
2,100,50000,5,0.904,0.952,0.927,0.998,0.995,0.996
2,100,5000,40,0.826,0.861,0.843,0.911,0.887,0.899
2,1000,5000,40,0.0,0.0,0.0,0.58,1.0,0.734
1,50,5000,40,0.878,0.981,0.927,0.988,0.922,0.954
2,100,5000,10,0.804,0.929,0.862,0.993,0.978,0.986
1,50,1000,40,0.588,0.827,0.687,0.837,0.605,0.702
1,20,5000,5,0.333,0.925,0.49,0.996,0.92,0.956
1,100,1000,20,0.226,0.324,0.267,0.803,0.713,0.756
2,500,5000,20,0.0,0.0,0.0,0.796,1.0,0.886
2,500,50000,10,0.0,0.0,0.0,0.9,1.0,0.948
2,20,200,10,0.125,0.75,0.214,0.938,0.417,0.577
2,500,5000,40,0.0,0.0,0.0,0.59,1.0,0.742
1,100,5000,5,0.355,0.935,0.515,0.996,0.915,0.954
1,500,200,30,0.0,0.0,0.0,0.75,1.0,0.857
1,20,50000,5,0.991,1.0,0.996,1.0,1.0,1.0
1,500,50000,30,0.0,0.0,0.0,0.693,1.0,0.818
2,1000,500,50,0.865,0.653,0.744,0.73,0.902,0.807
1,500,200,5,0.0,0.0,0.0,0.975,1.0,0.987
2,500,5000,5,0.0,0.0,0.0,0.951,1.0,0.975
1,20,200,10,0.048,1.0,0.091,1.0,0.487,0.655
1,50,10000,5,0.373,0.886,0.525,0.994,0.923,0.957
1,100,500,40,0.508,0.968,0.667,0.968,0.508,0.667
1,20,200,30,0.292,0.875,0.438,0.938,0.469,0.625
1,1000,500,50,0.0,0.0,0.0,0.53,1.0,0.693
1,50,200,50,1.0,0.95,0.974,0.952,1.0,0.976
2,1000,50000,5,0.0,0.0,0.0,0.953,1.0,0.976
2,1000,500,20,0.0,0.0,0.0,0.79,1.0,0.883
1,1000,200,30,0.4,0.182,0.25,0.743,0.897,0.812
1,500,1000,20,0.0,0.0,0.0,0.785,1.0,0.88
2,50,5000,5,0.41,0.696,0.516,0.984,0.95,0.967
2,1000,1000,50,1.0,0.931,0.964,0.934,1.0,0.966
1,100,10000,30,0.771,0.871,0.818,0.941,0.889,0.914
1,500,5000,40,0.0,0.0,0.0,0.602,1.0,0.752
