FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0.475,1,0.644,0,0,0
2,100,50000,40,0.996,0.999,0.998,0.999,0.997,0.998
1,50,200,20,0,0,0,0.8,1,0.889
1,20,10000,10,0.933,1,0.965,1,0.992,0.996
1,20,5000,20,0.989,0.994,0.992,0.999,0.997,0.998
1,1000,50000,40,0,0,0,0.601,1,0.751
1,500,500,40,0,0,0,0.61,1,0.758
2,20,10000,40,0.831,1,0.908,1,0.864,0.927
2,1000,10000,30,0,0,0,0.727,1,0.842
2,1000,50000,40,0,0,0,0.604,1,0.753
2,100,5000,30,0.734,0.986,0.841,0.993,0.855,0.919
2,50,500,50,0.522,1,0.686,0,0,0
2,500,5000,50,0.991,0.994,0.993,0.994,0.989,0.991
2,500,200,30,0,0,0,0.775,1,0.873
2,20,5000,40,0,0,0,0.607,1,0.755
1,100,10000,10,0.305,1,0.467,1,0.761,0.864
1,500,200,50,0,0,0,0.4,1,0.571
2,50,200,5,0,0,0,1,0.975,0.987
1,500,200,20,0,0,0,0.75,1,0.857
2,500,50000,40,0,0,0,0.597,1,0.748
1,500,1000,5,0.058,1,0.109,1,0.21,0.347
1,20,500,30,0.889,1,0.941,1,0.961,0.98
2,1000,50000,30,0,0,0,0.705,1,0.827
1,100,50000,40,0.998,1,0.999,1,0.999,0.999
2,100,10000,50,0.519,1,0.683,0,0,0
2,500,50000,5,0,0,0,0.95,1,0.974
1,1000,500,5,0,0,0,0.96,1,0.98
1,1000,10000,5,0,0,0,0.948,1,0.973
2,100,5000,50,0.913,0.994,0.952,0.994,0.909,0.949
1,1000,500,20,0,0,0,0.83,1,0.907
2,20,50000,5,0.918,0.998,0.956,1,0.996,0.998
1,100,5000,40,0,0,0,0.604,1,0.753
2,500,1000,5,0,0,0,0.959,1,0.979
2,20,10000,20,0.793,1,0.884,1,0.933,0.965
2,1000,5000,30,0,0,0,0.711,1,0.831
1,100,50000,20,0.995,1,0.997,1,0.999,0.999
1,100,50000,10,0,0,0,0.906,1,0.951
